MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_090_r0			Time:	20.017822	s	4/15/2019 2:53:37 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9813318	-163.63986	0.022705078
9.9820347	-163.64928	0.032470703
9.9815664	-158.62459	0.042236328
9.9816532	-156.54689	0.052001953
9.9821281	-154.76573	0.061767578
9.9829607	-156.90863	0.071533203
9.9833879	-158.71559	0.081298828
9.9843388	-158.73959	0.091064453
9.9848213	-160.63849	0.10083008
9.9867191	-157.60968	0.1105957
9.9864979	-154.14778	0.12036133
9.9870195	-151.78023	0.13012695
9.9886446	-152.04173	0.13989258
9.9889746	-155.92627	0.1496582
9.9902754	-159.7291	0.15942383
9.991168	-155.40601	0.16918945
9.9927778	-150.35599	0.17895508
9.991745	-148.57243	0.1887207
9.9939032	-147.44861	0.19848633
9.9949398	-154.25822	0.20825195
9.9946594	-153.25697	0.21801758
9.9943247	-155.18864	0.2277832
9.997303	-153.21083	0.23754883
9.9973135	-144.33023	0.24731445
9.9975414	-142.10725	0.25708008
9.9988832	-144.66393	0.2668457
9.9998274	-151.61461	0.27661133
10.00172	-152.51907	0.28637695
10.000637	-145.20984	0.29614258
10.002871	-145.06866	0.3059082
10.002774	-137.82288	0.31567383
10.002794	-142.00891	0.32543945
10.004963	-146.18877	0.33520508
10.006317	-148.04724	0.3449707
10.005676	-151.70622	0.35473633
10.007462	-142.73026	0.36450195
10.007545	-135.10674	0.37426758
10.008858	-137.95532	0.3840332
10.010349	-140.44376	0.39379883
10.01069	-147.02586	0.40356445
10.011066	-145.82028	0.41333008
10.012074	-140.0291	0.4230957
10.012523	-134.08571	0.43286133
10.01331	-134.00653	0.44262695
10.015269	-135.86586	0.45239258
10.015349	-140.96312	0.4621582
10.016948	-142.65163	0.47192383
10.016824	-138.68311	0.48168945
10.016788	-132.26457	0.49145508
10.018678	-127.92626	0.5012207
10.02012	-132.62131	0.51098633
10.019745	-137.06541	0.52075195
10.021438	-138.79817	0.53051758
10.022138	-135.50073	0.5402832
10.022744	-130.50787	0.55004883
10.022654	-128.66331	0.55981445
10.024113	-126.34676	0.56958008
10.026221	-130.27477	0.5793457
10.025045	-135.9812	0.58911133
10.027051	-133.45627	0.59887695
10.027464	-131.27322	0.60864258
10.028634	-122.78504	0.6184082
10.029291	-122.40903	0.62817383
10.029482	-128.65825	0.63793945
10.029851	-128.79459	0.64770508
10.031593	-131.21515	0.6574707
10.031724	-127.5406	0.66723633
10.033593	-124.96684	0.67700195
10.033989	-122.5012	0.68676758
10.034447	-118.51112	0.6965332
10.035383	-125.54194	0.70629883
10.037134	-126.61494	0.71606445
10.037466	-127.6776	0.72583008
10.038615	-121.28197	0.7355957
10.037761	-116.54445	0.74536133
10.040959	-118.80684	0.75512695
10.040527	-119.24959	0.76489258
10.041759	-122.1982	0.7746582
10.042384	-124.0872	0.78442383
10.04291	-122.37048	0.79418945
10.04231	-117.84396	0.80395508
10.045588	-112.01255	0.8137207
10.046144	-112.8731	0.82348633
10.047189	-115.98135	0.83325195
10.046612	-121.87389	0.84301758
10.048627	-119.79475	0.8527832
10.048609	-114.80906	0.86254883
10.048865	-111.27132	0.87231445
10.050566	-109.28736	0.88208008
10.052031	-110.46775	0.8918457
10.051886	-115.08002	0.90161133
10.052939	-119.47411	0.91137695
10.054135	-115.76185	0.92114258
10.053339	-110.4558	0.9309082
10.055408	-105.5407	0.94067383
10.05635	-106.29776	0.95043945
10.056675	-113.97818	0.96020508
10.05888	-115.42859	0.9699707
10.057794	-110.48252	0.97973633
10.059659	-109.16612	0.98950195
10.060097	-102.04256	0.99926758
10.061367	-103.03352	1.0090332
10.061496	-105.00163	1.0187988
10.062958	-108.94434	1.0285645
10.06321	-112.18383	1.0383301
10.064613	-106.10798	1.0480957
10.065502	-99.743591	1.0578613
10.065228	-97.569618	1.067627
10.066959	-100.84814	1.0773926
10.067321	-108.72343	1.0871582
10.068525	-104.95156	1.0969238
10.068845	-105.0793	1.1066895
10.070539	-98.423096	1.1164551
10.071016	-94.916382	1.1262207
10.071709	-96.273476	1.1359863
10.072968	-99.336693	1.145752
10.072612	-106.98544	1.1555176
10.074806	-103.12704	1.1652832
10.074015	-95.289307	1.1750488
10.074919	-91.982025	1.1848145
10.075626	-90.948189	1.1945801
10.078392	-97.064674	1.2043457
10.077975	-100.92439	1.2141113
10.079113	-99.80571	1.223877
10.078847	-94.709099	1.2336426
10.080328	-90.756599	1.2434082
10.081528	-88.666466	1.2531738
10.083195	-91.127563	1.2629395
10.08272	-96.024315	1.2727051
10.084328	-97.434082	1.2824707
10.084599	-95.161194	1.2922363
10.085355	-88.564934	1.302002
10.086158	-86.447197	1.3117676
10.086643	-86.763321	1.3215332
10.087715	-89.275223	1.3312988
10.088196	-90.673996	1.3410645
10.09035	-91.055298	1.3508301
10.089801	-87.66153	1.3605957
10.090357	-85.159943	1.3703613
10.091469	-80.325089	1.380127
10.092075	-83.848068	1.3898926
10.093409	-86.604385	1.3996582
10.095136	-89.966812	1.4094238
10.095204	-86.091972	1.4191895
10.094667	-78.945168	1.4289551
10.097136	-80.40303	1.4387207
10.098741	-79.474022	1.4484863
10.098835	-81.516396	1.458252
10.098974	-84.27655	1.4680176
10.100514	-84.050873	1.4777832
10.100555	-82.859177	1.4875488
10.101852	-75.282745	1.4973145
10.102824	-73.124237	1.5070801
10.103168	-76.284637	1.5168457
10.103965	-83.529427	1.5266113
10.104723	-83.992805	1.536377
10.107221	-77.912155	1.5461426
10.105887	-74.173035	1.5559082
10.107382	-71.542236	1.5656738
10.108795	-72.856224	1.5754395
10.10897	-75.176498	1.5852051
10.110028	-79.959038	1.5949707
10.110719	-80.024139	1.6047363
10.111559	-73.272713	1.614502
10.111974	-66.399178	1.6242676
10.113009	-66.261597	1.6340332
10.114269	-73.49501	1.6437988
10.115835	-76.247322	1.6535645
10.115099	-74.892288	1.6633301
10.116046	-71.619835	1.6730957
10.116969	-65.285309	1.6828613
10.118112	-64.353271	1.692627
10.118962	-65.090599	1.7023926
10.119254	-70.335327	1.7121582
10.11978	-75.479088	1.7219238
10.120915	-68.506439	1.7316895
10.121305	-63.308006	1.7414551
10.123305	-59.603291	1.7512207
10.123906	-64.550186	1.7609863
10.124629	-69.32695	1.770752
10.124907	-68.153389	1.7805176
