MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_090_r0			Time:	20.022705	s	4/15/2019 2:51:23 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9823132	-153.28941	0.02734375
9.9822655	-151.07765	0.037109375
9.9825277	-148.37459	0.046875
9.9835863	-149.36456	0.056640625
9.9832306	-147.52078	0.06640625
9.9834728	-150.33415	0.076171875
9.9824486	-155.09422	0.0859375
9.982832	-152.36661	0.095703125
9.9843874	-152.44377	0.10546875
9.9859362	-144.75107	0.11523438
9.9864931	-144.99626	0.125
9.9865675	-147.82191	0.13476563
9.9892082	-146.88397	0.14453125
9.9901524	-148.75627	0.15429688
9.9905987	-146.7001	0.1640625
9.9915962	-146.39639	0.17382813
9.9920692	-143.77457	0.18359375
9.9937572	-139.80496	0.19335938
9.9931355	-144.38281	0.203125
9.9943905	-145.2231	0.21289063
9.994812	-144.98334	0.22265625
9.9966297	-141.39648	0.23242188
9.9971199	-140.61423	0.2421875
9.9972429	-141.23616	0.25195313
9.9978647	-141.94296	0.26171875
9.9986591	-139.53462	0.27148438
9.9997034	-141.63812	0.28125
10.001213	-143.03745	0.29101563
10.002689	-138.99123	0.30078125
10.001977	-136.45528	0.31054688
10.003063	-134.28528	0.3203125
10.00354	-137.26103	0.33007813
10.004473	-142.07901	0.33984375
10.005976	-137.61557	0.34960938
10.00703	-136.34352	0.359375
10.006994	-135.56871	0.36914063
10.008795	-130.9147	0.37890625
10.010022	-131.22336	0.38867188
10.010152	-133.58981	0.3984375
10.010509	-137.80179	0.40820313
10.011548	-136.05241	0.41796875
10.011475	-131.05237	0.42773438
10.012698	-127.54989	0.4375
10.01356	-128.1651	0.44726563
10.014971	-133.26979	0.45703125
10.015317	-133.79294	0.46679688
10.015379	-131.95831	0.4765625
10.016734	-132.0761	0.48632813
10.018327	-123.74174	0.49609375
10.018694	-125.81992	0.50585938
10.019732	-124.41888	0.515625
10.020335	-129.72722	0.52539063
10.021096	-133.60411	0.53515625
10.022627	-127.68864	0.54492188
10.023115	-121.61329	0.5546875
10.02312	-119.53778	0.56445313
10.024572	-123.84794	0.57421875
10.02557	-126.92724	0.58398438
10.026286	-125.52719	0.59375
10.027534	-125.59184	0.60351563
10.028416	-121.23949	0.61328125
10.028337	-119.28466	0.62304688
10.029339	-118.95206	0.6328125
10.03047	-122.09065	0.64257813
10.031338	-125.76552	0.65234375
10.032035	-125.79095	0.66210938
10.03326	-118.88714	0.671875
10.033212	-115.76347	0.68164063
10.034589	-116.89764	0.69140625
10.034916	-119.21489	0.70117188
10.03549	-122.0838	0.7109375
10.03654	-119.31494	0.72070313
10.038545	-117.58015	0.73046875
10.038611	-117.12974	0.74023438
10.038441	-112.45744	0.75
10.039899	-112.43482	0.75976563
10.041231	-116.88475	0.76953125
10.041585	-116.80496	0.77929688
10.043049	-116.3474	0.7890625
10.043095	-110.39278	0.79882813
10.043462	-112.18912	0.80859375
10.044953	-111.31202	0.81835938
10.045481	-110.52842	0.828125
10.04585	-113.47771	0.83789063
10.047054	-111.07598	0.84765625
10.048765	-112.28233	0.85742188
10.048831	-109.38169	0.8671875
10.050106	-104.19533	0.87695313
10.050283	-107.06055	0.88671875
10.052286	-108.49132	0.89648438
10.052472	-111.35001	0.90625
10.053103	-108.54486	0.91601563
10.053842	-104.98427	0.92578125
10.054217	-106.64725	0.93554688
10.055243	-103.29517	0.9453125
10.056584	-104.53018	0.95507813
10.056695	-106.92951	0.96484375
10.057154	-106.68768	0.97460938
10.058856	-105.01689	0.984375
10.059504	-99.652618	0.99414063
10.061205	-97.973091	1.0039063
10.060927	-99.1082	1.0136719
10.061301	-102.91102	1.0234375
10.062991	-103.56625	1.0332031
10.064134	-102.37746	1.0429688
10.065101	-100.38047	1.0527344
10.065463	-95.913452	1.0625
10.066178	-94.731926	1.0722656
10.066398	-96.531441	1.0820313
10.067973	-100.97127	1.0917969
10.068964	-102.02541	1.1015625
10.069698	-98.370438	1.1113281
10.069733	-91.872818	1.1210938
10.070792	-90.99408	1.1308594
10.071291	-96.510208	1.140625
10.073257	-95.772263	1.1503906
10.073508	-95.521904	1.1601563
10.073597	-95.439049	1.1699219
10.075061	-88.806473	1.1796875
10.074947	-89.257492	1.1894531
10.076646	-86.907013	1.1992188
10.07807	-91.749969	1.2089844
10.077782	-96.030296	1.21875
10.078314	-92.045403	1.2285156
10.079942	-87.128632	1.2382813
10.080509	-83.076355	1.2480469
10.081279	-86.968285	1.2578125
10.082968	-89.021507	1.2675781
10.083192	-87.879433	1.2773438
10.083654	-90.549866	1.2871094
10.084524	-86.135223	1.296875
10.085503	-83.20723	1.3066406
10.086113	-81.754883	1.3164063
10.087858	-82.630104	1.3261719
10.087019	-89.232323	1.3359375
10.08865	-87.46067	1.3457031
10.08996	-82.428619	1.3554688
10.090472	-80.206543	1.3652344
10.091578	-80.144791	1.375
10.091626	-81.292679	1.3847656
10.092732	-80.941254	1.3945313
10.094303	-81.158623	1.4042969
10.094352	-81.15641	1.4140625
10.095254	-78.969025	1.4238281
10.096402	-76.254669	1.4335938
10.096927	-75.931122	1.4433594
10.09824	-77.761299	1.453125
10.098349	-79.937042	1.4628906
10.09856	-79.168686	1.4726563
10.100318	-75.850235	1.4824219
10.101346	-74.958496	1.4921875
10.102218	-73.74115	1.5019531
10.102646	-72.542801	1.5117188
10.10427	-73.873283	1.5214844
10.103835	-75.2164	1.53125
10.105209	-76.807373	1.5410156
10.106325	-70.572792	1.5507813
10.105653	-66.886162	1.5605469
10.107888	-69.870918	1.5703125
10.107941	-68.892029	1.5800781
10.109565	-73.858284	1.5898438
10.11044	-70.491089	1.5996094
10.111441	-67.980751	1.609375
10.111735	-70.520889	1.6191406
10.112901	-64.58477	1.6289063
10.111615	-64.575783	1.6386719
10.114139	-66.823837	1.6484375
10.114535	-70.846436	1.6582031
10.115925	-69.7006	1.6679688
10.116972	-63.635223	1.6777344
10.117441	-61.962696	1.6875
10.117496	-63.042595	1.6972656
10.118955	-64.744232	1.7070313
10.119519	-66.859489	1.7167969
10.119686	-64.063179	1.7265625
10.121718	-64.865211	1.7363281
10.122252	-59.133617	1.7460938
10.122915	-55.962631	1.7558594
10.123887	-56.223537	1.765625
10.12361	-62.936367	1.7753906
10.126371	-63.936607	1.7851563
10.126552	-60.367363	1.7949219
