MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_090_r0			Time:	20.019531	s	4/15/2019 2:21:31 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9710741	-122.51054	0.022460938
9.971715	-117.99417	0.032226563
9.9718056	-116.81147	0.041992188
9.972043	-117.44077	0.051757813
9.9724073	-117.25099	0.061523438
9.9736996	-119.53384	0.071289063
9.9736147	-123.71552	0.081054688
9.9748402	-121.60508	0.090820313
9.9764566	-117.01254	0.10058594
9.9762478	-111.2436	0.11035156
9.977416	-112.19429	0.12011719
9.9775124	-116.74633	0.12988281
9.9788523	-117.45193	0.13964844
9.9806433	-118.87223	0.14941406
9.9795227	-113.63026	0.15917969
9.981885	-112.1167	0.16894531
9.9833899	-108.40395	0.17871094
9.9843836	-107.91335	0.18847656
9.9846325	-114.12982	0.19824219
9.9846869	-114.72076	0.20800781
9.9863644	-113.49763	0.21777344
9.9870977	-108.7072	0.22753906
9.9883223	-104.00628	0.23730469
9.9872799	-107.749	0.24707031
9.9888849	-106.88448	0.25683594
9.9897318	-107.91933	0.26660156
9.991188	-109.94336	0.27636719
9.990428	-108.33132	0.28613281
9.9934654	-104.95645	0.29589844
9.9916668	-100.20826	0.30566406
9.9941616	-101.1689	0.31542969
9.9939661	-106.42648	0.32519531
9.9952135	-107.49553	0.33496094
9.9964876	-105.18874	0.34472656
9.9969473	-102.17632	0.35449219
9.9983606	-99.189789	0.36425781
9.9980879	-97.827187	0.37402344
9.9995508	-98.975639	0.38378906
9.9997663	-102.21761	0.39355469
10.000926	-105.34814	0.40332031
10.001462	-100.77072	0.41308594
10.002311	-95.104935	0.42285156
10.004206	-93.108055	0.43261719
10.003941	-94.843445	0.44238281
10.005372	-100.73528	0.45214844
10.00571	-101.21033	0.46191406
10.007101	-96.97068	0.47167969
10.006983	-95.490547	0.48144531
10.009232	-89.028053	0.49121094
10.008844	-90.626251	0.50097656
10.009862	-93.48909	0.51074219
10.011168	-96.944336	0.52050781
10.011509	-98.922462	0.53027344
10.01279	-92.803589	0.54003906
10.014008	-86.060905	0.54980469
10.013896	-83.603127	0.55957031
10.015229	-88.895775	0.56933594
10.016084	-95.439384	0.57910156
10.016549	-91.098938	0.58886719
10.017145	-89.743622	0.59863281
10.017806	-84.664925	0.60839844
10.01956	-82.888794	0.61816406
10.019967	-83.584999	0.62792969
10.020291	-86.733871	0.63769531
10.023738	-93.755775	0.64746094
10.022569	-87.849297	0.65722656
10.023095	-82.021263	0.66699219
10.023953	-79.331245	0.67675781
10.02367	-80.928642	0.68652344
10.02516	-84.251068	0.69628906
10.027764	-85.849289	0.70605469
10.027413	-84.110153	0.71582031
10.027722	-81.712585	0.72558594
10.028745	-78.421631	0.73535156
10.030014	-73.74382	0.74511719
10.030338	-76.134361	0.75488281
10.030648	-82.6707	0.76464844
10.032462	-82.503273	0.77441406
10.032731	-79.151474	0.78417969
10.033551	-72.541336	0.79394531
10.033194	-73.364326	0.80371094
10.035634	-75.19101	0.81347656
10.036556	-76.282196	0.82324219
10.036666	-78.993713	0.83300781
10.038017	-75.084724	0.84277344
10.038112	-74.038101	0.85253906
10.039297	-71.096062	0.86230469
10.040292	-66.356506	0.87207031
10.040942	-74.025795	0.88183594
10.041448	-74.261581	0.89160156
10.042927	-76.062798	0.90136719
10.04429	-71.148209	0.91113281
10.044787	-66.197731	0.92089844
10.046584	-67.288963	0.93066406
10.046179	-67.875725	0.94042969
10.046402	-67.094032	0.95019531
10.047686	-72.249168	0.95996094
10.048617	-69.215881	0.96972656
10.050233	-67.280876	0.97949219
10.050091	-60.431164	0.98925781
10.050793	-59.928036	0.99902344
10.052001	-63.641041	1.0087891
10.052737	-66.493866	1.0185547
10.053676	-68.158546	1.0283203
10.054064	-63.744507	1.0380859
10.055095	-59.889271	1.0478516
10.055653	-59.453388	1.0576172
10.056478	-59.203911	1.0673828
10.057334	-60.638912	1.0771484
10.058987	-65.704628	1.0869141
10.059347	-62.611618	1.0966797
10.060373	-59.126335	1.1064453
10.060078	-51.893803	1.1162109
10.061181	-51.714478	1.1259766
10.061238	-59.524773	1.1357422
10.062542	-61.001129	1.1455078
10.064126	-59.353481	1.1552734
10.065524	-55.806156	1.1650391
10.06512	-51.182262	1.1748047
10.065871	-51.083393	1.1845703
10.067354	-51.410305	1.1943359
10.067978	-55.822598	1.2041016
10.068386	-60.324818	1.2138672
10.069658	-53.90308	1.2236328
10.070967	-48.255257	1.2333984
10.070506	-47.125008	1.2431641
10.072627	-48.497215	1.2529297
10.072246	-54.482597	1.2626953
10.073823	-52.797935	1.2724609
10.075014	-51.557964	1.2822266
10.074938	-45.405113	1.2919922
10.076006	-43.104931	1.3017578
10.076528	-43.300648	1.3115234
10.078761	-45.959015	1.3212891
10.079377	-52.46772	1.3310547
10.078968	-48.613461	1.3408203
10.081103	-45.559334	1.3505859
10.079971	-40.516609	1.3603516
10.082031	-39.044563	1.3701172
10.082633	-43.366776	1.3798828
10.082912	-45.439632	1.3896484
10.084038	-45.138382	1.3994141
10.085178	-42.95179	1.4091797
10.085185	-40.440361	1.4189453
10.086714	-35.956718	1.4287109
10.086965	-36.603271	1.4384766
10.088758	-39.616344	1.4482422
10.089493	-42.858803	1.4580078
10.089511	-41.827358	1.4677734
10.090865	-35.605858	1.4775391
10.090818	-33.99324	1.4873047
10.093284	-33.467342	1.4970703
10.092966	-35.100113	1.5068359
10.093566	-37.17503	1.5166016
10.095721	-36.248634	1.5263672
10.095418	-36.328411	1.5361328
10.096514	-33.51754	1.5458984
10.097731	-27.506544	1.5556641
10.09833	-28.774126	1.5654297
10.099471	-32.565052	1.5751953
10.100453	-35.236038	1.5849609
10.09965	-34.383007	1.5947266
10.101507	-28.227442	1.6044922
10.101638	-28.507511	1.6142578
10.102981	-23.177204	1.6240234
10.103189	-27.517841	1.6337891
10.104374	-30.130259	1.6435547
10.105537	-31.922235	1.6533203
10.105905	-30.364302	1.6630859
10.106374	-22.70801	1.6728516
10.107108	-18.480747	1.6826172
10.108743	-22.71586	1.6923828
10.108969	-27.235029	1.7021484
10.109191	-29.676245	1.7119141
10.11068	-26.11553	1.7216797
10.111844	-20.739872	1.7314453
10.112164	-18.257994	1.7412109
10.113468	-16.259138	1.7509766
10.113966	-19.698317	1.7607422
10.115319	-23.68556	1.7705078
