MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_4545_r0			Time:	20.021973	s	4/15/2019 4:08:35 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
13.816926	-156.30324	0.024658203
13.816306	-153.86548	0.034423828
13.816154	-156.51563	0.044189453
13.816464	-158.36441	0.053955078
13.816343	-162.51024	0.063720703
13.816855	-162.1409	0.073486328
13.818336	-153.6629	0.083251953
13.819158	-152.72151	0.093017578
13.819532	-152.84088	0.1027832
13.819286	-156.631	0.11254883
13.820754	-161.22523	0.12231445
13.821324	-158.64348	0.13208008
13.823239	-158.97758	0.1418457
13.823399	-151.42062	0.15161133
13.823202	-148.32788	0.16137695
13.825992	-152.12711	0.17114258
13.825099	-156.84846	0.1809082
13.827443	-160.71094	0.19067383
13.828041	-156.03862	0.20043945
13.827876	-150.93678	0.21020508
13.828421	-149.51314	0.2199707
13.829001	-150.53822	0.22973633
13.830151	-154.76158	0.23950195
13.832078	-157.40465	0.24926758
13.832296	-158.36455	0.2590332
13.832862	-152.8116	0.26879883
13.83357	-146.85413	0.27856445
13.834467	-146.17146	0.28833008
13.83584	-152.32333	0.2980957
13.837247	-158.68906	0.30786133
13.83682	-157.06474	0.31762695
13.836932	-152.54051	0.32739258
13.838316	-147.06985	0.3371582
13.839673	-146.64024	0.34692383
13.841318	-149.02579	0.35668945
13.841283	-153.57791	0.36645508
13.842308	-156.50293	0.3762207
13.842884	-152.808	0.38598633
13.84403	-148.16264	0.39575195
13.843852	-143.72044	0.40551758
13.845163	-145.4816	0.4152832
13.846852	-151.62621	0.42504883
13.846987	-153.98196	0.43481445
13.847702	-152.29942	0.44458008
13.849	-147.90627	0.4543457
13.849472	-145.93135	0.46411133
13.850781	-146.84209	0.47387695
13.85072	-143.28506	0.48364258
13.850928	-151.91599	0.4934082
13.852464	-152.0011	0.50317383
13.85379	-149.47031	0.51293945
13.854193	-146.20163	0.52270508
13.854796	-140.75119	0.5324707
13.855349	-145.57719	0.54223633
13.855681	-149.82133	0.55200195
13.858136	-148.77769	0.56176758
13.858739	-149.70335	0.5715332
13.858459	-145.37009	0.58129883
13.860787	-144.00667	0.59106445
13.860859	-141.43466	0.60083008
13.86085	-143.16002	0.6105957
13.862098	-147.47752	0.62036133
13.862544	-150.98361	0.63012695
13.86424	-147.99077	0.63989258
13.864662	-140.51106	0.6496582
13.866124	-139.2951	0.65942383
13.865462	-141.03986	0.66918945
13.867216	-144.74788	0.67895508
13.868432	-146.63223	0.6887207
13.869279	-147.44209	0.69848633
13.870123	-144.7692	0.70825195
13.871016	-140.18536	0.71801758
13.870794	-138.22865	0.7277832
13.872716	-140.97197	0.73754883
13.872653	-147.32971	0.74731445
13.873897	-148.51984	0.75708008
13.873211	-140.24899	0.7668457
13.87557	-138.95233	0.77661133
13.876072	-133.78015	0.78637695
13.876823	-138.96317	0.79614258
13.877799	-143.07904	0.8059082
13.879254	-144.63078	0.81567383
13.880621	-146.43251	0.82543945
13.878942	-136.56596	0.83520508
13.880871	-132.07339	0.8449707
13.882127	-133.79306	0.85473633
13.88208	-140.45619	0.86450195
13.88254	-147.43378	0.87426758
13.884478	-142.04047	0.8840332
13.884711	-135.89676	0.89379883
13.886047	-133.3084	0.90356445
13.885804	-133.29269	0.91333008
13.887108	-136.99495	0.9230957
13.887381	-139.69005	0.93286133
13.890044	-144.99733	0.94262695
13.890001	-137.23077	0.95239258
13.890181	-133.27785	0.9621582
13.890611	-129.90485	0.97192383
13.892196	-134.86992	0.98168945
13.893552	-141.07091	0.99145508
13.89396	-142.76648	1.0012207
13.894642	-137.35303	1.0109863
13.895989	-132.81984	1.020752
13.896173	-130.34853	1.0305176
13.897076	-131.60034	1.0402832
13.897258	-133.54485	1.0500488
13.89987	-139.36374	1.0598145
13.899033	-137.79593	1.0695801
13.900083	-135.72252	1.0793457
13.901735	-128.42627	1.0891113
13.901534	-127.46759	1.098877
13.903152	-135.29974	1.1086426
13.903907	-136.54245	1.1184082
13.904442	-137.58388	1.1281738
13.904732	-132.07396	1.1379395
13.905225	-129.65422	1.1477051
13.906064	-129.12509	1.1574707
13.907724	-126.81286	1.1672363
13.908255	-132.31113	1.177002
13.909518	-135.45331	1.1867676
13.91093	-135.00412	1.1965332
13.911061	-130.56537	1.2062988
13.91269	-124.24139	1.2160645
13.912952	-129.90048	1.2258301
13.912853	-126.80912	1.2355957
13.914471	-132.44734	1.2453613
13.914812	-133.24266	1.255127
13.915814	-129.0208	1.2648926
13.91679	-129.39595	1.2746582
13.91794	-124.82256	1.2844238
13.918526	-124.55256	1.2941895
13.919886	-130.08644	1.3039551
13.920167	-133.46033	1.3137207
13.920846	-130.01433	1.3234863
13.921251	-124.47513	1.333252
13.922283	-122.13558	1.3430176
13.922836	-120.16791	1.3527832
13.923458	-124.61328	1.3625488
13.924711	-129.06726	1.3723145
13.92525	-131.07228	1.3820801
13.926351	-126.94603	1.3918457
13.928036	-122.84017	1.4016113
13.927389	-117.23716	1.411377
13.928617	-119.64839	1.4211426
13.929991	-128.09325	1.4309082
13.930076	-130.21841	1.4406738
13.931291	-125.35599	1.4504395
13.932062	-119.558	1.4602051
13.932384	-116.21154	1.4699707
13.933906	-120.79699	1.4797363
13.93445	-123.11571	1.489502
13.93567	-127.53249	1.4992676
13.935317	-128.66087	1.5090332
13.936677	-119.3927	1.5187988
13.937115	-115.98556	1.5285645
13.938996	-114.20339	1.5383301
13.93956	-119.55657	1.5480957
13.940913	-127.838	1.5578613
13.941383	-125.45495	1.567627
13.941338	-119.54205	1.5773926
13.943036	-115.43277	1.5871582
13.943192	-114.7294	1.5969238
13.943716	-117.00061	1.6066895
13.946445	-119.35767	1.6164551
13.945251	-125.70561	1.6262207
13.947185	-123.36958	1.6359863
13.948854	-114.29526	1.645752
13.949135	-112.01588	1.6555176
13.949244	-111.00299	1.6652832
13.950771	-120.30288	1.6750488
13.951303	-121.25347	1.6848145
13.952679	-118.37106	1.6945801
13.953561	-116.67339	1.7043457
13.952906	-112.42372	1.7141113
13.954988	-111.52509	1.723877
13.954529	-112.68146	1.7336426
13.956193	-117.50658	1.7434082
13.956815	-120.32658	1.7531738
13.957223	-115.63708	1.7629395
13.958133	-110.87933	1.7727051
13.958871	-107.56155	1.7824707
13.959671	-112.74519	1.7922363
13.961094	-113.98764	1.802002
