MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_090_r0			Time:	20.017578	s	4/14/2019 2:01:57 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-36.993435	-27.891973	1.6730957
-36.991619	-28.658636	1.6828613
-36.992325	-28.18882	1.692627
-36.990612	-26.118759	1.7023926
-36.990429	-20.84347	1.7121582
-36.989479	-23.477055	1.7219238
-36.988621	-23.687227	1.7316895
-36.987797	-25.941938	1.7414551
-36.986923	-26.718513	1.7512207
-36.986595	-21.728916	1.7609863
-36.985035	-21.889242	1.770752
-36.986156	-19.081163	1.7805176
-36.983181	-18.933249	1.7902832
-36.983837	-22.917673	1.8000488
-36.982635	-22.599262	1.8098145
-36.981392	-25.198896	1.8195801
-36.981026	-17.882868	1.8293457
-36.979485	-14.136071	1.8391113
-36.978451	-15.381644	1.848877
-36.977776	-20.006132	1.8586426
-36.977928	-21.63843	1.8684082
-36.975658	-20.432377	1.8781738
-36.97551	-17.396284	1.8879395
-36.9744	-13.150506	1.8977051
-36.974445	-13.798128	1.9074707
-36.973598	-13.326696	1.9172363
-36.97348	-17.473236	1.927002
-36.972218	-20.255007	1.9367676
-36.971184	-13.815589	1.9465332
-36.970997	-9.9442816	1.9562988
-36.969181	-7.2112093	1.9660645
-36.967636	-12.983699	1.9758301
-36.967476	-15.954843	1.9855957
-36.968296	-13.331729	1.9953613
-36.967117	-13.280432	2.005127
-36.965939	-6.0324578	2.0148926
-36.964607	-7.4550505	2.0246582
-36.963818	-5.9095325	2.0344238
-36.963051	-8.2865067	2.0441895
-36.962288	-14.300517	2.0539551
-36.960846	-9.7233391	2.0637207
-36.96003	-5.8164973	2.0734863
-36.959393	-3.0419149	2.083252
-36.958233	-2.730361	2.0930176
-36.957664	-9.0575819	2.1027832
-36.95726	-7.4689288	2.1125488
-36.956604	-6.9229064	2.1223145
-36.954956	-5.0601802	2.1320801
-36.955151	-2.1587887	2.1418457
-36.95377	-2.0303538	2.1516113
-36.952423	0.48939919	2.161377
-36.952961	-6.9243565	2.1711426
-36.951427	-5.9935989	2.1809082
-36.95052	-2.4842517	2.1906738
-36.949841	0.22455454	2.2004395
-36.948296	2.1948676	2.2102051
-36.948505	-1.3513811	2.2199707
-36.947525	0.21991467	2.2297363
-36.947365	-0.32540312	2.239502
-36.946022	0.28837326	2.2492676
-36.945229	1.5998578	2.2590332
-36.944061	4.2216358	2.2687988
-36.94363	6.7433872	2.2785645
-36.942459	4.2147484	2.2883301
-36.942207	3.0462606	2.2980957
-36.941006	0.9196009	2.3078613
-36.94067	4.8574309	2.317627
-36.939594	8.945673	2.3273926
-36.93832	6.1458507	2.3371582
-36.936726	9.7669792	2.3469238
