MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.019287	s	4/15/2019 3:31:24 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9814482	-207.13216	0.022216797
9.9805841	-205.63544	0.031982422
9.9809275	-210.45941	0.041748047
9.9812946	-211.11008	0.051513672
9.9818935	-210.10605	0.061279297
9.9808493	-211.90675	0.071044922
9.9806089	-210.85468	0.080810547
9.9809513	-209.0137	0.090576172
9.9816074	-204.84198	0.1003418
9.9822578	-206.62811	0.11010742
9.984416	-209.6611	0.11987305
9.9851027	-212.08578	0.12963867
9.9859152	-211.17717	0.1394043
9.9865541	-207.93373	0.14916992
9.9876566	-205.68579	0.15893555
9.9903603	-205.16673	0.16870117
9.9899769	-205.23943	0.1784668
9.9901352	-207.67906	0.18823242
9.990593	-214.16765	0.19799805
9.9913092	-211.21605	0.20776367
9.9934168	-205.30603	0.2175293
9.9921246	-202.63631	0.22729492
9.9945374	-201.99298	0.23706055
9.9948301	-208.48878	0.24682617
9.9953289	-210.32944	0.2565918
9.9957943	-209.36406	0.26635742
9.9969378	-208.65741	0.27612305
9.9981441	-201.17357	0.28588867
9.9987736	-199.58406	0.2956543
9.9998817	-202.239	0.30541992
9.9992876	-207.88255	0.31518555
10.001846	-211.85585	0.32495117
10.002767	-205.82233	0.3347168
10.004055	-199.28935	0.34448242
10.003868	-198.33833	0.35424805
10.004402	-200.97627	0.36401367
10.005101	-206.30504	0.3737793
10.006273	-206.13588	0.38354492
10.007228	-207.62076	0.39331055
10.007298	-199.90105	0.40307617
10.008232	-195.52295	0.4128418
10.010082	-197.17274	0.42260742
10.00984	-202.2372	0.43237305
10.010302	-207.52431	0.44213867
10.011995	-206.53395	0.4519043
10.013041	-199.63106	0.46166992
10.013814	-194.95142	0.47143555
10.014155	-196.74176	0.48120117
10.0144	-200.25732	0.4909668
10.015784	-202.59154	0.50073242
10.016836	-204.50023	0.51049805
10.017297	-202.10265	0.52026367
10.019079	-197.5674	0.5300293
10.018617	-193.28717	0.53979492
10.020385	-195.286	0.54956055
10.021203	-204.11348	0.55932617
10.021968	-202.67172	0.5690918
10.02136	-200.55659	0.57885742
10.02245	-193.8317	0.58862305
10.024806	-194.28816	0.59838867
10.02553	-196.32974	0.6081543
10.025575	-196.1297	0.61791992
10.026723	-199.58372	0.62768555
10.026814	-199.23354	0.63745117
10.02828	-201.76114	0.6472168
10.029019	-193.67795	0.65698242
10.029898	-190.22884	0.66674805
10.030703	-195.70667	0.67651367
10.03083	-196.34589	0.6862793
10.031413	-199.0531	0.69604492
10.033602	-197.0114	0.70581055
10.033674	-191.14969	0.71557617
10.03313	-192.60524	0.7253418
10.035793	-188.60014	0.73510742
10.036923	-192.60231	0.74487305
10.036778	-196.95055	0.75463867
10.037846	-196.4865	0.7644043
10.038471	-196.08926	0.77416992
10.038662	-189.01666	0.78393555
10.039988	-187.13658	0.79370117
10.041348	-190.29652	0.8034668
10.041756	-194.32155	0.81323242
10.041242	-194.45935	0.82299805
10.043416	-194.60144	0.83276367
10.045135	-192.17778	0.8425293
10.045158	-187.8997	0.85229492
10.045949	-185.08723	0.86206055
10.046805	-188.89336	0.87182617
10.047603	-195.74915	0.8815918
10.048087	-194.16533	0.89135742
10.049081	-188.74229	0.90112305
10.050397	-184.78421	0.91088867
10.050611	-183.63823	0.9206543
10.052479	-190.41919	0.93041992
10.053164	-191.00784	0.94018555
10.053388	-191.46465	0.94995117
10.054042	-192.94707	0.9597168
10.055263	-184.25337	0.96948242
10.055717	-182.75833	0.97924805
10.056355	-181.13895	0.98901367
10.056564	-189.47769	0.9987793
10.05855	-195.44893	1.0085449
10.059463	-187.6163	1.0183105
10.059167	-184.95857	1.0280762
10.060602	-180.56046	1.0378418
10.062017	-182.62354	1.0476074
10.063223	-187.83284	1.057373
10.062427	-186.96938	1.0671387
10.063372	-191.28902	1.0769043
10.064256	-185.57718	1.0866699
10.064954	-180.30319	1.0964355
10.066819	-178.80536	1.1062012
10.06667	-181.09883	1.1159668
10.067762	-190.17444	1.1257324
10.068885	-188.35867	1.135498
10.069373	-181.81116	1.1452637
10.070605	-179.47504	1.1550293
10.070934	-178.51819	1.1647949
10.072617	-180.65845	1.1745605
10.073041	-183.7935	1.1843262
10.072869	-186.26587	1.1940918
10.073035	-185.28204	1.2038574
10.074856	-180.02667	1.213623
10.075833	-176.10478	1.2233887
10.077576	-175.16522	1.2331543
10.076872	-180.73288	1.2429199
10.077857	-183.67593	1.2526855
10.078975	-183.00444	1.2624512
10.080336	-177.19403	1.2722168
10.080836	-176.18442	1.2819824
10.082333	-175.81247	1.291748
10.082296	-175.69373	1.3015137
10.082936	-178.8028	1.3112793
10.084942	-179.93828	1.3210449
10.083803	-180.63136	1.3308105
10.084688	-174.46854	1.3405762
10.087078	-170.52885	1.3503418
10.087596	-175.53099	1.3601074
10.087594	-173.45572	1.369873
10.089094	-180.76357	1.3796387
10.089987	-176.8257	1.3894043
10.089931	-174.87907	1.3991699
10.09118	-173.67064	1.4089355
10.092092	-168.13161	1.4187012
10.092883	-171.08841	1.4284668
10.093297	-174.72546	1.4382324
10.094513	-178.01772	1.447998
10.095617	-177.03307	1.4577637
10.095835	-169.07378	1.4675293
10.096849	-170.26741	1.4772949
10.097644	-169.698	1.4870605
10.098796	-171.73596	1.4968262
10.099069	-176.06805	1.5065918
10.100213	-173.9904	1.5163574
10.101991	-174.34698	1.526123
10.10146	-167.47029	1.5358887
10.102351	-163.15651	1.5456543
10.103815	-167.46037	1.5554199
10.104342	-172.93358	1.5651855
10.104852	-175.53609	1.5749512
10.106559	-170.01945	1.5847168
10.106369	-164.16418	1.5944824
10.10773	-162.62961	1.604248
10.108873	-166.00838	1.6140137
10.109161	-168.87021	1.6237793
10.110127	-171.53949	1.6335449
10.110079	-171.81326	1.6433105
10.111184	-164.43556	1.6530762
10.113019	-160.29402	1.6628418
10.112952	-158.82123	1.6726074
10.114261	-167.59422	1.682373
10.114953	-171.95255	1.6921387
10.116546	-168.00905	1.7019043
10.116363	-162.55756	1.7116699
10.117044	-158.16965	1.7214355
10.118582	-161.11061	1.7312012
10.119596	-161.74556	1.7409668
10.119104	-164.30952	1.7507324
10.119773	-168.78102	1.760498
10.121508	-163.35493	1.7702637
10.122094	-158.08894	1.7800293
