MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_090_r0			Time:	20.020508	s	4/15/2019 2:56:36 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.121594	-18.998278	1.763916
10.121633	-15.370138	1.7736816
10.123499	-13.99411	1.7834473
10.124166	-17.307112	1.7932129
10.125259	-20.555531	1.8029785
10.126047	-23.811321	1.8127441
10.127182	-15.88393	1.8225098
10.127504	-11.620192	1.8322754
10.128832	-11.930741	1.842041
10.128194	-13.04643	1.8518066
10.129812	-18.170748	1.8615723
10.130924	-18.37228	1.8713379
10.131454	-15.418401	1.8811035
10.131852	-13.028958	1.8908691
10.13355	-6.3283005	1.9006348
10.134003	-8.643755	1.9104004
10.135018	-10.5041	1.920166
10.13509	-16.958294	1.9299316
10.135716	-15.851916	1.9396973
10.137856	-6.3286839	1.9494629
10.137141	-4.468298	1.9592285
10.138426	-3.252583	1.9689941
10.139034	-7.6066432	1.9787598
10.140803	-11.944143	1.9885254
10.141212	-11.135078	1.998291
10.142679	-8.4147968	2.0080566
10.143915	-2.2023079	2.0178223
10.144548	2.8402116	2.0275879
10.14487	-1.4675329	2.0373535
10.145755	-6.3260531	2.0471191
10.145836	-12.343626	2.0568848
10.146345	-6.1771631	2.0666504
10.148056	3.3742509	2.076416
10.149352	4.6830115	2.0861816
10.149834	1.4125857	2.0959473
10.149134	-1.0789138	2.1057129
10.150843	-4.9146252	2.1154785
10.152045	-5.042377	2.1252441
10.153157	2.2270877	2.1350098
10.153828	6.358849	2.1447754
10.153955	9.061038	2.154541
10.155742	3.3096759	2.1643066
10.155668	-2.6003206	2.1740723
10.157223	-1.9115194	2.1838379
10.15848	2.848062	2.1936035
10.158105	11.081675	2.2033691
10.158851	9.8113689	2.2131348
10.159908	7.3960743	2.2229004
10.160754	7.2549939	2.232666
10.161721	1.0585791	2.2424316
10.161336	5.5746098	2.2521973
10.162918	8.9548492	2.2619629
10.164576	16.226135	2.2717285
10.164521	14.973572	2.2814941
10.165481	7.7510028	2.2912598
10.167663	5.8757963	2.3010254
10.167567	7.8681383	2.310791
10.16881	12.078135	2.3205566
10.16896	16.734371	2.3303223
10.169601	15.516688	2.3400879
10.17021	16.641911	2.3498535
10.172252	11.874002	2.3596191
10.171488	8.5380688	2.3693848
10.172945	11.580158	2.3791504
10.175035	15.973783	2.388916
10.175149	22.327179	2.3986816
10.175619	18.558369	2.4084473
10.175997	16.28092	2.4182129
10.176608	14.132494	2.4279785
10.177801	14.802694	2.4377441
10.178662	17.857754	2.4475098
10.178483	22.101868	2.4572754
10.180748	23.878698	2.467041
10.181203	25.001596	2.4768066
10.181625	19.963598	2.4865723
10.182854	14.399897	2.4963379
10.184407	20.49917	2.5061035
10.184872	26.457336	2.5158691
10.184885	27.85194	2.5256348
10.185462	27.938601	2.5354004
10.186751	22.909056	2.545166
10.187841	22.145584	2.5549316
10.18883	21.672607	2.5646973
10.189742	24.008184	2.5744629
10.189942	31.303413	2.5842285
10.189572	34.541378	2.5939941
10.191424	32.773647	2.6037598
10.192136	23.413725	2.6135254
10.193003	22.695862	2.623291
10.194309	29.632837	2.6330566
10.19534	33.48703	2.6428223
10.195459	37.39938	2.6525879
10.19715	33.45002	2.6623535
10.197246	28.561872	2.6721191
10.198458	27.992125	2.6818848
10.199916	26.453321	2.6916504
10.19979	36.321667	2.701416
10.201065	39.591263	2.7111816
10.201129	40.373653	2.7209473
10.204281	35.306019	2.7307129
10.201262	28.35424	2.7404785
10.203532	30.818111	2.7502441
