MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_4545_r0			Time:	20.018066	s	4/14/2019 4:45:08 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9578209	-134.67821	0.0234375
9.9576273	-140.8542	0.033203125
9.9576073	-144.49979	0.04296875
9.9584875	-140.40495	0.052734375
9.9583168	-133.79077	0.0625
9.959156	-125.16373	0.072265625
9.9604931	-127.85889	0.08203125
9.9605236	-136.82112	0.091796875
9.9617891	-138.67896	0.1015625
9.9620667	-140.57539	0.11132813
9.9635639	-134.49283	0.12109375
9.9639845	-125.83559	0.13085938
9.9644346	-123.47909	0.140625
9.9658146	-125.82986	0.15039063
9.9664192	-135.19124	0.16015625
9.9670076	-140.13478	0.16992188
9.9674215	-133.54619	0.1796875
9.968194	-123.00881	0.18945313
9.9696217	-119.76782	0.19921875
9.9704399	-126.08272	0.20898438
9.971384	-130.77815	0.21875
9.9714489	-133.00447	0.22851563
9.9729996	-133.12297	0.23828125
9.9740057	-124.98561	0.24804688
9.9751377	-120.64355	0.2578125
9.974864	-116.92962	0.26757813
9.9759092	-123.03429	0.27734375
9.9775372	-133.18433	0.28710938
9.977129	-131.99908	0.296875
9.9786339	-125.01065	0.30664063
9.9790525	-117.43117	0.31640625
9.9807291	-115.43567	0.32617188
9.9806528	-121.28246	0.3359375
9.9810772	-124.80118	0.34570313
9.9829493	-128.20364	0.35546875
9.9831419	-125.68208	0.36523438
9.9846592	-118.94481	0.375
9.9848633	-113.37656	0.38476563
9.9853706	-112.43784	0.39453125
9.9869528	-121.45916	0.40429688
9.9870186	-126.48806	0.4140625
9.9880466	-124.0681	0.42382813
9.9893084	-117.64758	0.43359375
9.9904804	-112.26324	0.44335938
9.9898214	-111.77507	0.453125
9.9919214	-114.87263	0.46289063
9.9916954	-118.94749	0.47265625
9.993103	-122.27778	0.48242188
9.9942808	-120.14056	0.4921875
9.995019	-110.83658	0.50195313
9.9945202	-105.68472	0.51171875
9.9962416	-106.59327	0.52148438
9.9972248	-113.76418	0.53125
9.9974556	-118.61892	0.54101563
9.9978657	-116.01466	0.55078125
9.9990129	-111.6698	0.56054688
9.9994802	-106.19971	0.5703125
10.001719	-103.43132	0.58007813
10.003239	-108.6468	0.58984375
10.002767	-112.01738	0.59960938
10.003082	-119.31586	0.609375
10.003656	-112.2886	0.61914063
10.005582	-102.5818	0.62890625
10.005622	-100.47122	0.63867188
10.006831	-102.02717	0.6484375
10.006767	-110.56999	0.65820313
10.008247	-114.55089	0.66796875
10.008703	-110.65102	0.67773438
10.01041	-104.91757	0.6875
10.01083	-97.106087	0.69726563
10.011353	-96.742081	0.70703125
10.012195	-103.2066	0.71679688
10.013741	-108.9896	0.7265625
10.014146	-112.09073	0.73632813
10.014552	-104.05444	0.74609375
10.015266	-93.869926	0.75585938
10.015703	-92.660416	0.765625
10.016894	-98.015289	0.77539063
10.019372	-105.39608	0.78515625
10.018744	-106.68855	0.79492188
10.019881	-103.11671	0.8046875
10.020938	-97.050117	0.81445313
10.020993	-90.667229	0.82421875
10.021523	-90.92878	0.83398438
10.023298	-98.481819	0.84375
10.023952	-106.15536	0.85351563
10.024169	-103.11629	0.86328125
10.025998	-93.958748	0.87304688
10.025673	-87.641418	0.8828125
10.028021	-88.423569	0.89257813
10.028626	-95.079086	0.90234375
10.029688	-98.192719	0.91210938
10.029242	-100.47169	0.921875
10.029634	-93.759483	0.93164063
10.030766	-89.786896	0.94140625
10.031	-83.123482	0.95117188
10.032173	-85.695724	0.9609375
10.033368	-95.87265	0.97070313
10.034032	-99.311882	0.98046875
10.034401	-94.631996	0.99023438
10.036646	-86.551872	1
10.037871	-83.052841	1.0097656
10.036764	-83.815628	1.0195313
10.038845	-86.134453	1.0292969
10.03919	-92.938248	1.0390625
10.039684	-92.904175	1.0488281
10.040568	-87.977287	1.0585938
10.040664	-81.250755	1.0683594
10.043418	-75.565781	1.078125
10.042856	-84.107422	1.0878906
10.04455	-88.569901	1.0976563
10.045147	-90.868248	1.1074219
10.045363	-86.813553	1.1171875
10.046897	-79.028931	1.1269531
10.047346	-76.642349	1.1367188
10.048296	-76.87384	1.1464844
10.048414	-79.370682	1.15625
10.0498	-88.319855	1.1660156
10.051005	-86.466293	1.1757813
10.051443	-79.872078	1.1855469
10.050883	-72.038612	1.1953125
10.05292	-71.049812	1.2050781
10.054016	-78.699837	1.2148438
10.054875	-82.180923	1.2246094
10.055392	-83.052101	1.234375
10.056655	-80.423065	1.2441406
10.057236	-74.480606	1.2539063
10.057888	-67.697136	1.2636719
10.059558	-68.145958	1.2734375
10.059334	-75.454063	1.2832031
10.05958	-84.062737	1.2929688
10.061619	-79.629211	1.3027344
10.06302	-71.801506	1.3125
10.064133	-64.390388	1.3222656
10.06454	-63.509541	1.3320313
10.064107	-75.032608	1.3417969
10.06474	-77.082237	1.3515625
10.064959	-78.82666	1.3613281
10.066521	-75.091202	1.3710938
10.069042	-61.54504	1.3808594
10.068685	-60.506611	1.390625
10.070135	-63.391724	1.4003906
10.069248	-72.984467	1.4101563
10.070862	-80.216202	1.4199219
10.072207	-70.76152	1.4296875
10.072275	-63.022018	1.4394531
10.074386	-57.533314	1.4492188
10.074504	-61.091328	1.4589844
10.07462	-67.436829	1.46875
10.075249	-70.704147	1.4785156
10.076905	-74.482414	1.4882813
10.077254	-63.145294	1.4980469
10.079411	-54.519733	1.5078125
10.07976	-54.608257	1.5175781
10.079851	-61.555771	1.5273438
10.080354	-70.206154	1.5371094
10.081387	-71.406487	1.546875
10.082511	-60.885838	1.5566406
10.082932	-54.694241	1.5664063
10.083973	-53.048592	1.5761719
10.083842	-54.946636	1.5859375
10.087459	-62.190228	1.5957031
10.086101	-65.74614	1.6054688
10.087856	-63.756222	1.6152344
10.087641	-55.59808	1.625
10.088778	-48.473392	1.6347656
10.090225	-49.788658	1.6445313
10.090559	-58.684586	1.6542969
10.092021	-62.613503	1.6640625
10.091404	-61.213684	1.6738281
10.093382	-53.696072	1.6835938
10.093231	-48.885769	1.6933594
10.094961	-47.219841	1.703125
10.095746	-50.443665	1.7128906
10.09663	-57.3997	1.7226563
10.097943	-57.710155	1.7324219
10.097966	-55.489891	1.7421875
10.098564	-47.40229	1.7519531
10.098511	-41.685436	1.7617188
10.101051	-45.547218	1.7714844
10.100776	-50.156761	1.78125
