MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_4545_r0			Time:	20.022217	s	4/14/2019 4:17:34 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.093302	-29.317736	1.7353516
10.094688	-37.308952	1.7451172
10.093931	-47.637306	1.7548828
10.094914	-52.35854	1.7646484
10.096319	-46.000019	1.7744141
10.096517	-31.784046	1.7841797
10.09679	-23.827988	1.7939453
10.097901	-30.370485	1.8037109
10.09863	-37.994823	1.8134766
10.10019	-48.559166	1.8232422
10.101467	-43.763649	1.8330078
10.10207	-35.338547	1.8427734
10.102965	-26.253212	1.8525391
10.103313	-22.626087	1.8623047
10.104025	-30.037315	1.8720703
10.104958	-40.300449	1.8818359
10.106106	-46.507233	1.8916016
10.107976	-39.266083	1.9013672
10.107486	-20.140697	1.9111328
10.108847	-19.950691	1.9208984
10.10932	-22.291965	1.9306641
10.10976	-35.510754	1.9404297
10.111426	-42.758797	1.9501953
10.11142	-38.038342	1.9599609
10.113252	-29.076368	1.9697266
10.112739	-15.944082	1.9794922
10.114463	-14.476883	1.9892578
10.115538	-28.043503	1.9990234
10.116187	-39.165073	2.0087891
10.116746	-41.559708	2.0185547
10.117491	-27.794411	2.0283203
10.117665	-13.60517	2.0380859
10.118043	-12.866282	2.0478516
10.120052	-18.590542	2.0576172
10.122008	-31.230339	2.0673828
10.121248	-36.475922	2.0771484
10.122623	-32.101078	2.0869141
10.122814	-16.49465	2.0966797
10.124515	-7.7954478	2.1064453
10.125283	-9.9526815	2.1162109
10.125209	-24.494965	2.1259766
10.125711	-36.612045	2.1357422
10.127627	-31.685654	2.1455078
10.126905	-18.106359	2.1552734
10.128329	-5.9634194	2.1650391
10.129659	-7.1582546	2.1748047
10.129894	-16.512993	2.1845703
10.131792	-26.160736	2.1943359
10.132113	-32.266365	2.2041016
10.133671	-19.715107	2.2138672
10.133678	-7.0091476	2.2236328
10.135262	-0.054727558	2.2333984
10.135537	-6.8207364	2.2431641
10.136085	-24.457558	2.2529297
10.137144	-26.637793	2.2626953
10.138517	-22.037477	2.2724609
10.138896	-8.3094883	2.2822266
10.139316	1.0871743	2.2919922
10.140347	-3.1041284	2.3017578
10.14232	-8.786109	2.3115234
10.142303	-21.849377	2.3212891
10.143995	-21.827578	2.3310547
10.1436	-12.470642	2.3408203
10.144108	0.35436696	2.3505859
10.14526	6.2939224	2.3603516
10.145496	-6.2214389	2.3701172
10.146953	-15.292627	2.3798828
10.14723	-19.376726	2.3896484
10.148502	-11.579976	2.3994141
10.149822	-1.0409871	2.4091797
10.149651	5.4228201	2.4189453
10.151296	3.9819582	2.4287109
10.151402	-6.0949302	2.4384766
10.153579	-16.694248	2.4482422
10.154036	-15.564505	2.4580078
10.154825	-3.659544	2.4677734
10.15456	8.1344328	2.4775391
10.155781	8.865303	2.4873047
10.156585	1.3446138	2.4970703
10.157957	-10.272438	2.5068359
10.158453	-11.926039	2.5166016
10.159554	-6.45193	2.5263672
10.160202	6.0722032	2.5361328
10.160415	14.192294	2.5458984
10.163078	9.8507147	2.5556641
10.162671	-2.300905	2.5654297
10.163348	-11.768367	2.5751953
10.1637	-7.7000203	2.5849609
10.165351	7.8645134	2.5947266
10.1649	14.474817	2.6044922
10.166178	17.710806	2.6142578
10.167992	3.68538	2.6240234
10.169415	-6.3652949	2.6337891
10.168673	-5.4259105	2.6435547
10.169504	-0.23802261	2.6533203
10.170851	16.425747	2.6630859
10.17061	22.839956	2.6728516
10.172195	13.563004	2.6826172
10.173627	1.3847569	2.6923828
10.174746	-10.22578	2.7021484
10.175266	1.5469551	2.7119141
10.175726	15.515616	2.7216797
10.176842	22.301388	2.7314453
10.177388	20.746481	2.7412109
10.17758	8.614234	2.7509766
10.178554	0.18667962	2.7607422
10.180151	-0.22179347	2.7705078
10.180836	12.957585	2.7802734
10.18138	26.758627	2.7900391
10.183053	28.779516	2.7998047
10.182363	16.361364	2.8095703
10.182958	4.3320599	2.8193359
10.185536	1.3540075	2.8291016
10.18638	11.448015	2.8388672
10.18615	25.746971	2.8486328
10.186657	30.003155	2.8583984
10.187643	25.882137	2.8681641
10.188405	13.533601	2.8779297
10.189605	3.9477186	2.8876953
10.190089	9.54496	2.8974609
10.190948	22.096451	2.9072266
10.192634	34.89463	2.9169922
10.191813	32.976978	2.9267578
10.194535	19.121412	2.9365234
10.194444	10.419781	2.9462891
10.195746	11.577766	2.9560547
10.19635	22.537289	2.9658203
10.19691	33.261227	2.9755859
10.196226	34.722126	2.9853516
10.198861	31.044781	2.9951172
10.200116	16.192528	3.0048828
10.199835	12.422406	3.0146484
10.200833	19.118677	3.0244141
10.201936	31.39653	3.0341797
10.202724	42.837738	3.0439453
10.202868	34.703709	3.0537109
10.204195	24.670099	3.0634766
10.205043	18.198505	3.0732422
10.206656	18.114174	3.0830078
10.207698	30.293177	3.0927734
10.208702	37.999203	3.1025391
10.208867	41.586002	3.1123047
10.207794	35.783039	3.1220703
10.210387	21.357227	3.1318359
10.211146	18.68762	3.1416016
10.211344	25.048891	3.1513672
10.2125	41.615582	3.1611328
10.21242	46.960232	3.1708984
10.213606	41.346497	3.1806641
10.215293	29.161259	3.1904297
10.216767	23.108627	3.2001953
10.216809	26.01655	3.2099609
10.216218	35.333473	3.2197266
10.218124	49.469997	3.2294922
10.219044	50.019295	3.2392578
10.219505	39.960369	3.2490234
10.220899	25.241257	3.2587891
10.220281	24.203199	3.2685547
10.221964	37.035564	3.2783203
10.222322	48.673923	3.2880859
10.222487	54.93911	3.2978516
10.22463	45.431973	3.3076172
10.226252	35.397644	3.3173828
10.226151	27.82378	3.3271484
10.227213	30.785364	3.3369141
10.228043	48.406422	3.3466797
10.229446	58.85545	3.3564453
10.229383	54.166039	3.3662109
10.230294	44.03767	3.3759766
10.231421	28.247734	3.3857422
10.230561	34.805683	3.3955078
10.233611	46.436058	3.4052734
10.233927	58.430237	3.4150391
10.234588	59.692184	3.4248047
10.235783	50.262264	3.4345703
10.23542	38.645695	3.4443359
10.236363	32.179649	3.4541016
10.238277	42.652149	3.4638672
10.238528	58.257359	3.4736328
10.239182	65.118065	3.4833984
10.240386	59.065563	3.4931641
10.240138	43.611771	3.5029297
10.241503	37.092701	3.5126953
10.242404	44.377258	3.5224609
10.243371	55.320217	3.5322266
10.243986	64.604568	3.5419922
10.24559	64.166153	3.5517578
10.245392	53.559341	3.5615234
10.246302	41.653374	3.5712891
10.247097	43.275597	3.5810547
10.24826	51.213169	3.5908203
10.24896	66.19976	3.6005859
10.250278	70.67601	3.6103516
10.251079	61.542015	3.6201172
10.25164	51.064018	3.6298828
10.252353	45.764153	3.6396484
10.253842	54.12463	3.6494141
10.25417	63.272259	3.6591797
10.25446	69.549095	3.6689453
10.25622	71.334686	3.6787109
10.256487	58.739548	3.6884766
10.25684	50.185894	3.6982422
10.258714	50.519066	3.7080078
10.25961	60.838627	3.7177734
10.260976	76.325058	3.7275391
10.260833	72.266434	3.7373047
10.261859	68.638008	3.7470703
10.262306	56.172413	3.7568359
10.264059	51.409321	3.7666016
10.263966	60.288265	3.7763672
10.264977	70.612953	3.7861328
10.264722	79.57254	3.7958984
10.266294	76.781616	3.8056641
10.267321	63.515202	3.8154297
10.267727	54.821857	3.8251953
10.268632	56.779278	3.8349609
10.269675	71.014824	3.8447266
10.271343	81.048409	3.8544922
10.271504	81.655396	3.8642578
10.272846	73.329369	3.8740234
10.272962	61.79958	3.8837891
10.272903	59.396969	3.8935547
10.274132	66.873451	3.9033203
10.274368	82.510048	3.9130859
10.276529	87.91967	3.9228516
10.276794	81.700951	3.9326172
10.277533	67.194588	3.9423828
10.277717	60.216778	3.9521484
10.279208	70.294212	3.9619141
10.280556	80.603958	3.9716797
10.281504	90.969337	3.9814453
10.28136	85.873749	3.9912109
10.282439	77.266541	4.0009766
10.283337	66.738022	4.0107422
10.284698	63.077972	4.0205078
10.285745	79.332947	4.0302734
10.286326	90.153542	4.0400391
10.287484	94.861992	4.0498047
10.287291	82.743935	4.0595703
10.289246	67.880753	4.0693359
10.289328	68.881889	4.0791016
10.28919	77.437294	4.0888672
10.290533	89.167725	4.0986328
10.292303	97.250778	4.1083984
10.292519	90.943329	4.1181641
10.293363	81.744354	4.1279297
10.294323	69.908493	4.1376953
10.294646	74.162651	4.1474609
10.295259	87.94088	4.1572266
10.29688	97.873802	4.1669922
10.297603	98.701317	4.1767578
10.298615	84.657799	4.1865234
10.299311	75.150948	4.1962891
10.300319	78.254593	4.2060547
10.30015	85.201126	4.2158203
10.301267	98.000114	4.2255859
10.301507	99.438248	4.2353516
10.303556	96.336746	4.2451172
10.304186	83.909027	4.2548828
10.304536	78.536911	4.2646484
10.305643	83.578926	4.2744141
10.306558	96.327393	4.2841797
10.307892	106.12314	4.2939453
10.306557	101.6953	4.3037109
10.309086	92.948204	4.3134766
10.309501	83.115967	4.3232422
10.311108	84.310013	4.3330078
10.310874	93.386429	4.3427734
10.313021	103.60091	4.3525391
10.312694	109.94905	4.3623047
10.314311	101.57644	4.3720703
10.314948	89.604118	4.3818359
10.316092	83.589691	4.3916016
10.316051	90.739738	4.4013672
10.317107	107.78464	4.4111328
10.317867	108.94939	4.4208984
10.318521	109.98067	4.4306641
10.319696	96.541245	4.4404297
10.320261	86.910019	4.4501953
10.32058	92.105461	4.4599609
10.322398	99.246002	4.4697266
10.322861	114.96349	4.4794922
10.323569	117.7908	4.4892578
10.323347	104.33766	4.4990234
10.325487	93.732887	4.5087891
10.326827	90.16848	4.5185547
10.326756	101.5628	4.5283203
10.328356	114.05099	4.5380859
10.32787	119.87479	4.5478516
10.328741	114.15276	4.5576172
10.32935	102.64346	4.5673828
10.330881	95.237823	4.5771484
10.332075	98.063713	4.5869141
10.332339	110.52269	4.5966797
10.332964	124.83221	4.6064453
10.334221	122.97112	4.6162109
10.335572	108.29974	4.6259766
10.335309	96.689278	4.6357422
10.336096	97.937202	4.6455078
10.336831	110.17784	4.6552734
10.338248	122.40472	4.6650391
10.338845	125.69688	4.6748047
10.339315	117.71973	4.6845703
10.339858	106.50931	4.6943359
10.341293	98.737679	4.7041016
10.34249	109.72469	4.7138672
10.343009	121.26997	4.7236328
10.343751	132.02356	4.7333984
10.344387	126.24409	4.7431641
10.345305	109.89307	4.7529297
10.345778	104.76955	4.7626953
10.347685	108.51951	4.7724609
10.347721	119.1498	4.7822266
10.34874	130.11162	4.7919922
10.350709	129.36691	4.8017578
10.350414	123.23911	4.8115234
10.351029	108.81114	4.8212891
10.352069	109.49453	4.8310547
10.353124	118.52876	4.8408203
10.354363	131.38419	4.8505859
10.354181	138.78778	4.8603516
10.355638	127.473	4.8701172
10.356057	115.758	4.8798828
10.357714	114.31941	4.8896484
10.357395	116.22109	4.8994141
10.358692	128.72995	4.9091797
10.359959	136.44682	4.9189453
10.359908	136.83636	4.9287109
10.360827	126.18005	4.9384766
10.361341	115.0089	4.9482422
10.361991	116.33363	4.9580078
10.36322	126.16012	4.9677734
10.363769	140.17125	4.9775391
10.365413	141.61208	4.9873047
10.366256	133.30963	4.9970703
10.365809	122.83414	5.0068359
10.367791	117.75015	5.0166016
10.367943	124.46339	5.0263672
10.369676	135.46841	5.0361328
10.370537	145.57309	5.0458984
10.370493	142.33498	5.0556641
10.372823	131.75296	5.0654297
10.37256	120.33193	5.0751953
10.373838	122.69059	5.0849609
10.373611	137.13371	5.0947266
10.375463	145.12144	5.1044922
10.376092	150.35245	5.1142578
10.376454	137.29163	5.1240234
10.378019	127.20293	5.1337891
10.37893	125.40096	5.1435547
10.378801	129.19063	5.1533203
10.379851	146.57335	5.1630859
10.380943	154.7774	5.1728516
10.381774	146.80756	5.1826172
10.382195	134.77271	5.1923828
10.383348	124.90488	5.2021484
10.384011	131.91609	5.2119141
10.38352	144.33252	5.2216797
10.386419	153.2719	5.2314453
10.385473	153.56256	5.2412109
10.386909	143.50224	5.2509766
10.388981	132.64809	5.2607422
10.389373	129.37756	5.2705078
10.38938	141.57159	5.2802734
10.389656	156.62144	5.2900391
10.391011	160.87035	5.2998047
10.391795	150.00011	5.3095703
10.392975	136.1342	5.3193359
10.394081	132.42493	5.3291016
10.394077	142.30687	5.3388672
10.395225	155.13837	5.3486328
10.396135	160.45778	5.3583984
10.397727	157.68083	5.3681641
10.396869	147.61617	5.3779297
10.397923	137.29086	5.3876953
10.399166	141.10905	5.3974609
10.399642	150.8633	5.4072266
