MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_090_r0			Time:	20.017578	s	4/14/2019 1:22:42 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.040371	-321.11209	0.022705078
-40.041546	-318.31827	0.032470703
-40.04063	-316.33304	0.042236328
-40.041443	-315.75864	0.052001953
-40.040359	-315.71698	0.061767578
-40.039986	-319.22244	0.071533203
-40.041409	-318.2298	0.081298828
-40.041382	-317.69083	0.091064453
-40.040409	-317.87299	0.10083008
-40.040386	-319.57175	0.1105957
-40.038853	-315.85477	0.12036133
-40.039337	-309.83972	0.13012695
-40.03643	-315.10663	0.13989258
-40.036659	-314.18683	0.1496582
-40.034569	-316.23373	0.15942383
-40.034	-313.18326	0.16918945
-40.034405	-310.14932	0.17895508
-40.032845	-314.65985	0.1887207
-40.03194	-308.05591	0.19848633
-40.032551	-308.16415	0.20825195
-40.030045	-312.17426	0.21801758
-40.029186	-312.67053	0.2277832
-40.028271	-314.11026	0.23754883
-40.02816	-305.09979	0.24731445
-40.026699	-305.44583	0.25708008
-40.026749	-306.86954	0.2668457
-40.025726	-308.40341	0.27661133
-40.024765	-311.08701	0.28637695
-40.023823	-306.78781	0.29614258
-40.02372	-307.11673	0.3059082
-40.021679	-302.46393	0.31567383
-40.02158	-299.91586	0.32543945
-40.02055	-304.242	0.33520508
-40.019585	-306.6485	0.3449707
-40.019234	-308.547	0.35473633
-40.017601	-304.151	0.36450195
-40.017601	-298.71185	0.37426758
-40.017406	-297.68881	0.3840332
-40.0154	-300.81201	0.39379883
-40.01524	-302.13245	0.40356445
-40.014099	-302.67459	0.41333008
-40.013668	-303.06622	0.4230957
-40.012108	-297.74234	0.43286133
-40.010761	-295.30121	0.44262695
-40.01049	-294.48642	0.45239258
-40.009846	-298.00235	0.4621582
-40.009392	-302.58325	0.47192383
-40.008377	-298.28784	0.48168945
-40.009068	-295.2475	0.49145508
-40.008213	-291.96448	0.5012207
-40.005116	-293.73038	0.51098633
-40.004913	-297.52545	0.52075195
-40.005329	-294.92548	0.53051758
-40.003548	-298.71927	0.5402832
-40.0028	-292.58112	0.55004883
-40.001953	-291.30624	0.55981445
-40.001434	-288.80872	0.56958008
-39.999874	-288.59253	0.5793457
-40.000351	-297.3078	0.58911133
-39.998985	-294.12213	0.59887695
-39.998016	-289.78137	0.60864258
-39.997692	-288.43951	0.6184082
-39.996479	-285.89313	0.62817383
-39.995144	-290.31128	0.63793945
-39.995052	-286.96234	0.64770508
-39.993969	-290.46866	0.6574707
-39.99358	-290.33508	0.66723633
-39.992329	-286.04825	0.67700195
-39.990795	-284.58951	0.68676758
-39.989712	-281.97974	0.6965332
-39.990311	-285.65372	0.70629883
-39.987938	-287.37189	0.71606445
-39.987946	-285.08719	0.72583008
-39.988472	-282.88043	0.7355957
-39.98745	-281.23734	0.74536133
-39.98547	-281.35306	0.75512695
-39.985264	-281.29822	0.76489258
-39.984589	-281.11343	0.7746582
-39.983585	-283.64896	0.78442383
-39.982792	-285.27853	0.79418945
-39.982044	-281.14304	0.80395508
-39.980228	-275.79977	0.8137207
-39.98048	-279.48709	0.82348633
-39.980225	-276.39435	0.83325195
-39.978516	-281.24643	0.84301758
-39.978222	-277.82089	0.8527832
-39.976742	-279.03406	0.86254883
-39.976982	-279.5672	0.87231445
-39.974724	-273.50076	0.88208008
-39.974121	-273.04993	0.8918457
-39.974552	-275.01715	0.90161133
-39.972309	-278.61694	0.91137695
-39.973278	-279.22656	0.92114258
-39.970531	-271.26596	0.9309082
-39.969791	-271.75772	0.94067383
-39.969711	-269.37653	0.95043945
-39.969296	-273.05261	0.96020508
-39.967197	-274.36887	0.9699707
-39.967651	-270.75302	0.97973633
-39.966625	-273.13696	0.98950195
-39.966091	-266.97113	0.99926758
-39.965317	-264.90729	1.0090332
-39.964352	-268.38348	1.0187988
-39.962658	-270.60165	1.0285645
-39.961597	-273.8793	1.0383301
-39.961502	-269.23889	1.0480957
-39.960953	-263.89313	1.0578613
-39.959389	-263.66922	1.067627
-39.958286	-265.59158	1.0773926
-39.958549	-266.38174	1.0871582
-39.956989	-266.88223	1.0969238
-39.956619	-269.10526	1.1066895
-39.955933	-262.98969	1.1164551
-39.954304	-259.17975	1.1262207
-39.954781	-258.8519	1.1359863
-39.953587	-264.02069	1.145752
-39.954021	-266.74728	1.1555176
-39.952553	-265.19379	1.1652832
-39.950474	-260.67273	1.1750488
-39.949684	-256.29797	1.1848145
-39.948006	-259.11978	1.1945801
-39.947975	-261.46457	1.2043457
-39.949287	-259.55475	1.2141113
-39.94651	-264.53931	1.223877
-39.945602	-258.21838	1.2336426
-39.944908	-256.36099	1.2434082
-39.945713	-254.53404	1.2531738
-39.944733	-253.79347	1.2629395
-39.942093	-260.50958	1.2727051
-39.941555	-257.14368	1.2824707
-39.941555	-256.70187	1.2922363
-39.940166	-253.72643	1.302002
-39.93866	-251.57616	1.3117676
-39.939419	-252.34428	1.3215332
-39.937897	-252.07001	1.3312988
-39.937225	-253.26714	1.3410645
-39.937408	-255.34045	1.3508301
-39.935509	-251.55708	1.3605957
-39.934574	-251.19984	1.3703613
-39.93491	-245.09636	1.380127
-39.932369	-250.63655	1.3898926
-39.932899	-249.97952	1.3996582
-39.931297	-249.74475	1.4094238
-39.929947	-250.62555	1.4191895
-39.930485	-246.61824	1.4289551
-39.929657	-247.55328	1.4387207
-39.927872	-245.77005	1.4484863
-39.927155	-244.8839	1.458252
-39.9258	-247.20966	1.4680176
-39.925648	-250.17178	1.4777832
-39.924107	-246.52863	1.4875488
-39.925579	-241.17302	1.4973145
-39.924068	-242.0679	1.5070801
-39.922688	-241.22997	1.5168457
-39.922482	-244.34691	1.5266113
-39.921631	-243.76093	1.536377
-39.920258	-243.56595	1.5461426
-39.919415	-243.47746	1.5559082
-39.917934	-238.50443	1.5656738
-39.918156	-236.91974	1.5754395
-39.916359	-237.1051	1.5852051
-39.915134	-242.96768	1.5949707
-39.914879	-242.76497	1.6047363
-39.914806	-237.24748	1.614502
-39.912861	-234.83752	1.6242676
-39.912579	-232.61237	1.6340332
-39.912426	-236.05846	1.6437988
-39.912216	-236.88962	1.6535645
-39.909962	-236.56018	1.6633301
-39.908749	-239.79182	1.6730957
-39.908367	-233.15239	1.6828613
-39.907764	-229.84744	1.692627
-39.906422	-231.5106	1.7023926
