MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_4545_r0			Time:	20.019287	s	4/14/2019 4:49:37 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9566774	-146.47897	0.022460938
9.9577341	-137.2657	0.032226563
9.9574575	-129.01204	0.041992188
9.9580927	-125.20921	0.051757813
9.9580088	-128.45302	0.061523438
9.9578648	-140.19202	0.071289063
9.9586697	-140.81796	0.081054688
9.9575758	-139.39275	0.090820313
9.9598274	-135.5842	0.10058594
9.9603424	-127.43212	0.11035156
9.9606085	-123.30452	0.12011719
9.9608526	-127.26643	0.12988281
9.9626322	-137.9037	0.13964844
9.9637089	-140.37241	0.14941406
9.9641829	-133.3367	0.15917969
9.9652853	-125.54081	0.16894531
9.965518	-120.89558	0.17871094
9.9669189	-125.79046	0.18847656
9.9679499	-132.99641	0.19824219
9.9678802	-133.55202	0.20800781
9.9690819	-135.59584	0.21777344
9.9689512	-126.06245	0.22753906
9.9713173	-117.95834	0.23730469
9.9712486	-121.06107	0.24707031
9.973134	-126.40118	0.25683594
9.9728832	-133.85629	0.26660156
9.9736652	-131.75157	0.27636719
9.9744596	-123.70555	0.28613281
9.9756861	-117.91188	0.29589844
9.9768095	-115.48277	0.30566406
9.9777117	-120.72855	0.31542969
9.9783239	-127.9481	0.32519531
9.9777498	-129.10606	0.33496094
9.980052	-126.96741	0.34472656
9.9801092	-117.91531	0.35449219
9.9813957	-111.35446	0.36425781
9.981246	-116.53716	0.37402344
9.98172	-122.73464	0.38378906
9.983448	-127.80894	0.39355469
9.983695	-124.58232	0.40332031
9.9850235	-117.50103	0.41308594
9.9863434	-113.68992	0.42285156
9.9877663	-111.13825	0.43261719
9.9886446	-116.4521	0.44238281
9.9876833	-121.94611	0.45214844
9.9885654	-123.25476	0.46191406
9.9901218	-120.21099	0.47167969
9.9904747	-110.42438	0.48144531
9.9913158	-106.03657	0.49121094
9.9918756	-111.7571	0.50097656
9.9939976	-114.94038	0.51074219
9.9929237	-119.81715	0.52050781
9.9953671	-116.78353	0.53027344
9.9958735	-111.63772	0.54003906
9.9964581	-107.73493	0.54980469
9.9977541	-103.40382	0.55957031
9.9980602	-107.35896	0.56933594
9.9984875	-116.31424	0.57910156
9.999054	-117.67744	0.58886719
10.000219	-113.26849	0.59863281
10.00182	-102.42462	0.60839844
10.001768	-101.71352	0.61816406
10.003838	-105.41675	0.62792969
10.004102	-111.06437	0.63769531
10.004267	-114.36989	0.64746094
10.004553	-110.42699	0.65722656
10.006952	-106.50488	0.66699219
10.007142	-100.17719	0.67675781
10.008362	-97.132286	0.68652344
10.008019	-103.34814	0.69628906
10.009166	-112.48492	0.70605469
10.009706	-110.54402	0.71582031
10.011492	-102.75724	0.72558594
10.01252	-95.29155	0.73535156
10.011827	-94.33812	0.74511719
10.013173	-100.43761	0.75488281
10.014239	-104.15628	0.76464844
10.015428	-108.2418	0.77441406
10.015183	-104.98737	0.78417969
10.017397	-96.514641	0.79394531
10.017558	-90.950691	0.80371094
10.019696	-90.384277	0.81347656
10.018773	-100.92116	0.82324219
10.020376	-107.62702	0.83300781
10.019791	-103.16422	0.84277344
10.021216	-96.289078	0.85253906
10.022255	-86.048409	0.86230469
10.023822	-89.262741	0.87207031
10.023687	-95.005905	0.88183594
10.025744	-100.10113	0.89160156
10.025259	-104.62769	0.90136719
10.025963	-95.128281	0.91113281
10.02763	-88.385704	0.92089844
10.027779	-83.02977	0.93066406
10.028699	-88.126221	0.94042969
10.030058	-98.984619	0.95019531
10.030899	-99.135666	0.95996094
10.031145	-93.174858	0.96972656
10.032411	-85.624451	0.97949219
10.032976	-81.560738	0.98925781
10.033816	-84.218384	0.99902344
10.035048	-88.094673	1.0087891
10.035463	-94.467033	1.0185547
10.037158	-95.221054	1.0283203
10.03636	-86.952629	1.0380859
10.037505	-79.007385	1.0478516
10.038698	-78.026321	1.0576172
10.039657	-85.529594	1.0673828
10.03954	-90.30217	1.0771484
10.041052	-91.164978	1.0869141
10.041823	-83.906479	1.0966797
10.04261	-80.200676	1.1064453
10.043746	-76.490456	1.1162109
10.045249	-76.747078	1.1259766
10.04533	-83.457947	1.1357422
10.045988	-87.774605	1.1455078
10.047119	-88.048164	1.1552734
10.048108	-76.059631	1.1650391
10.04768	-70.819214	1.1748047
10.050074	-71.739464	1.1845703
10.04967	-76.58139	1.1943359
10.051072	-84.204048	1.2041016
10.051744	-83.021835	1.2138672
10.052656	-78.562599	1.2236328
10.052604	-74.967445	1.2333984
10.054645	-68.934486	1.2431641
10.055461	-70.332321	1.2529297
10.055764	-78.110161	1.2626953
10.056736	-83.086342	1.2724609
10.056702	-80.933701	1.2822266
10.057547	-68.822357	1.2919922
10.059606	-66.329758	1.3017578
10.059546	-65.225769	1.3115234
10.060819	-73.333694	1.3212891
10.061837	-77.58268	1.3310547
10.062099	-76.784546	1.3408203
10.064074	-73.890083	1.3505859
10.065165	-64.660019	1.3603516
10.065042	-60.098461	1.3701172
10.066588	-65.615845	1.3798828
10.065891	-73.992805	1.3896484
10.067113	-77.122963	1.3994141
10.06735	-70.73037	1.4091797
10.06859	-61.386505	1.4189453
10.069678	-58.26545	1.4287109
10.069984	-62.506908	1.4384766
10.071082	-67.925529	1.4482422
10.072009	-72.32914	1.4580078
10.07256	-71.085213	1.4677734
10.074695	-62.131546	1.4775391
10.073749	-55.816071	1.4873047
10.075783	-53.89349	1.4970703
10.076506	-62.475796	1.5068359
10.07726	-69.777962	1.5166016
10.077592	-69.458549	1.5263672
10.078164	-61.996826	1.5361328
10.079566	-52.940426	1.5458984
10.079635	-53.290939	1.5556641
10.08144	-54.459389	1.5654297
10.081714	-62.563351	1.5751953
10.082671	-66.198479	1.5849609
10.08338	-60.766041	1.5947266
10.083647	-54.162632	1.6044922
10.084826	-47.921177	1.6142578
10.085324	-48.333805	1.6240234
10.085907	-59.330494	1.6337891
10.08764	-61.850346	1.6435547
10.088405	-60.862503	1.6533203
10.08986	-53.768951	1.6630859
10.089684	-45.476883	1.6728516
10.091354	-46.795422	1.6826172
10.09167	-49.864262	1.6923828
10.092935	-55.746708	1.7021484
10.093868	-59.9701	1.7119141
10.094501	-53.49461	1.7216797
10.095354	-45.511196	1.7314453
10.095341	-40.577156	1.7412109
10.097368	-45.347507	1.7509766
10.097599	-51.700195	1.7607422
