MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.017822	s	4/14/2019 12:34:26 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.04158	-190.72646	0.022705078
-40.042004	-189.3199	0.032470703
-40.040596	-189.44818	0.042236328
-40.041229	-186.95491	0.052001953
-40.041527	-185.77933	0.061767578
-40.041725	-186.77422	0.071533203
-40.040051	-190.51262	0.081298828
-40.038567	-191.41682	0.091064453
-40.039295	-187.65794	0.10083008
-40.037949	-187.34901	0.1105957
-40.036243	-186.1667	0.12036133
-40.035603	-184.49907	0.13012695
-40.035961	-185.35132	0.13989258
-40.034351	-185.80231	0.1496582
-40.033943	-187.03513	0.15942383
-40.032375	-188.59558	0.16918945
-40.032032	-182.2541	0.17895508
-40.032177	-181.25067	0.1887207
-40.030605	-181.32866	0.19848633
-40.030533	-179.9379	0.20825195
-40.028698	-184.75735	0.21801758
-40.02877	-181.76059	0.2277832
-40.027519	-182.79686	0.23754883
-40.025166	-182.24864	0.24731445
-40.02594	-178.10289	0.25708008
-40.024441	-177.36916	0.2668457
-40.024464	-178.92339	0.27661133
-40.023106	-183.45996	0.28637695
-40.022114	-181.94911	0.29614258
-40.021797	-174.53128	0.3059082
-40.021599	-174.62038	0.31567383
-40.020439	-172.90796	0.32543945
-40.01865	-177.08841	0.33520508
-40.018791	-176.92888	0.3449707
-40.018547	-177.01433	0.35473633
-40.017242	-177.75974	0.36450195
-40.017151	-172.85854	0.37426758
-40.01461	-170.31584	0.3840332
-40.013905	-170.78558	0.39379883
-40.01392	-175.7085	0.40356445
-40.012127	-177.54085	0.41333008
-40.012608	-172.12311	0.4230957
-40.011467	-168.37865	0.43286133
-40.010395	-166.41222	0.44262695
-40.00975	-168.7485	0.45239258
-40.008335	-171.54233	0.4621582
-40.008926	-172.45616	0.47192383
-40.008007	-172.73109	0.48168945
-40.005352	-167.16956	0.49145508
-40.006737	-164.13959	0.5012207
-40.004677	-161.93962	0.51098633
-40.00346	-166.757	0.52075195
-40.001823	-169.95709	0.53051758
-40.002132	-169.18697	0.5402832
-40.000908	-164.57811	0.55004883
-40.001381	-160.07784	0.55981445
-40.000576	-163.56375	0.56958008
-39.998608	-163.23875	0.5793457
-39.997471	-164.99989	0.58911133
-39.997452	-166.22147	0.59887695
-39.996246	-162.67206	0.60864258
-39.996872	-161.95918	0.6184082
-39.994846	-156.50685	0.62817383
-39.993889	-158.79404	0.63793945
-39.993683	-164.00937	0.64770508
-39.993015	-162.99895	0.6574707
-39.99152	-161.16896	0.66723633
-39.990757	-157.94833	0.67700195
-39.990318	-158.2951	0.68676758
-39.989494	-158.41428	0.6965332
-39.989017	-155.79474	0.70629883
-39.987862	-158.99315	0.71606445
-39.986744	-159.68616	0.72583008
-39.98727	-158.30862	0.7355957
-39.985111	-154.5752	0.74536133
-39.983738	-149.88113	0.75512695
-39.98344	-153.33966	0.76489258
-39.982437	-153.73892	0.7746582
-39.982025	-154.90448	0.78442383
-39.979755	-154.77873	0.79418945
-39.979755	-153.22237	0.80395508
-39.978893	-152.41164	0.8137207
-39.979122	-150.98813	0.82348633
-39.977989	-148.25638	0.83325195
-39.975899	-151.99368	0.84301758
-39.976425	-154.7858	0.8527832
-39.975426	-150.81775	0.86254883
-39.975906	-146.97415	0.87231445
-39.974545	-147.48468	0.88208008
-39.973476	-146.58061	0.8918457
-39.9725	-149.07755	0.90161133
-39.971451	-147.66235	0.91137695
-39.971352	-149.67293	0.92114258
-39.970917	-146.46672	0.9309082
-39.968307	-143.47198	0.94067383
-39.967773	-142.25533	0.95043945
-39.966488	-142.79965	0.96020508
-39.965698	-148.37598	0.9699707
-39.965397	-149.341	0.97973633
-39.964458	-142.38181	0.98950195
-39.963848	-140.69289	0.99926758
-39.963512	-138.25679	1.0090332
-39.962017	-141.967	1.0187988
-39.961475	-143.13554	1.0285645
-39.960808	-142.79771	1.0383301
-39.960892	-146.06645	1.0480957
-39.958298	-137.84367	1.0578613
-39.957703	-136.11989	1.067627
-39.957268	-135.90266	1.0773926
-39.95816	-138.06541	1.0871582
-39.956429	-144.83548	1.0969238
-39.955418	-139.25613	1.1066895
-39.954231	-136.49858	1.1164551
-39.953514	-133.04172	1.1262207
-39.952087	-134.07069	1.1359863
-39.951012	-136.487	1.145752
-39.951599	-137.32011	1.1555176
-39.950066	-137.51964	1.1652832
-39.949192	-133.21971	1.1750488
-39.949001	-131.95848	1.1848145
-39.946526	-128.55476	1.1945801
-39.947002	-131.25897	1.2043457
-39.946041	-134.03357	1.2141113
-39.945286	-135.61218	1.223877
-39.944847	-131.20685	1.2336426
-39.943581	-127.72296	1.2434082
-39.94371	-128.13362	1.2531738
-39.941349	-127.65804	1.2629395
-39.940849	-129.86261	1.2727051
-39.940365	-131.72917	1.2824707
-39.939678	-130.42105	1.2922363
-39.938435	-130.1548	1.302002
-39.937771	-123.99554	1.3117676
-39.93766	-123.93907	1.3215332
-39.935989	-129.08795	1.3312988
-39.935204	-127.82974	1.3410645
-39.933575	-127.26685	1.3508301
-39.934422	-122.40706	1.3605957
-39.932632	-123.64411	1.3703613
-39.932224	-125.05383	1.380127
-39.932129	-120.93628	1.3898926
-39.930969	-124.45222	1.3996582
-39.930779	-124.68558	1.4094238
-39.929836	-125.21104	1.4191895
-39.928333	-121.43623	1.4289551
-39.926914	-116.98414	1.4387207
-39.925972	-120.5266	1.4484863
-39.925381	-120.24161	1.458252
-39.924923	-120.31411	1.4680176
-39.923893	-121.71052	1.4777832
-39.922344	-118.7116	1.4875488
-39.921982	-118.88379	1.4973145
-39.921879	-114.70798	1.5070801
-39.920586	-112.79994	1.5168457
-39.920235	-116.34581	1.5266113
-39.919327	-118.42608	1.536377
-39.918114	-116.52777	1.5461426
-39.917637	-114.35245	1.5559082
-39.918087	-111.27826	1.5656738
-39.916061	-111.64165	1.5754395
-39.915951	-114.0332	1.5852051
-39.914726	-113.79655	1.5949707
-39.91338	-116.28886	1.6047363
-39.912498	-113.91951	1.614502
-39.912544	-109.78527	1.6242676
-39.91301	-106.57112	1.6340332
-39.910645	-106.85529	1.6437988
-39.909195	-114.53579	1.6535645
-39.909046	-115.03873	1.6633301
-39.907455	-110.12204	1.6730957
-39.906879	-107.40491	1.6828613
-39.906441	-104.36982	1.692627
-39.90514	-107.83072	1.7023926
