MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.121215	-88.095955	1.7509766
10.122386	-90.417671	1.7607422
10.121326	-90.491173	1.7705078
10.122689	-82.505569	1.7802734
10.124847	-80.745552	1.7900391
10.124875	-80.727394	1.7998047
10.124665	-87.18708	1.8095703
10.12733	-91.103203	1.8193359
10.127702	-85.018303	1.8291016
10.128245	-86.221909	1.8388672
10.128364	-77.193306	1.8486328
10.128801	-76.802147	1.8583984
10.130033	-81.182983	1.8681641
10.130606	-83.979637	1.8779297
10.132215	-89.571785	1.8876953
10.133037	-80.924088	1.8974609
10.13372	-73.927681	1.9072266
10.134488	-73.327209	1.9169922
10.136227	-76.072037	1.9267578
10.136604	-82.37854	1.9365234
10.136517	-79.843887	1.9462891
10.138151	-80.848045	1.9560547
10.139283	-74.545319	1.9658203
10.137904	-70.84198	1.9755859
10.140582	-69.318115	1.9853516
10.140739	-75.036957	1.9951172
10.141623	-80.352158	2.0048828
10.143145	-80.59948	2.0146484
10.143498	-68.97184	2.0244141
10.143819	-67.608833	2.0341797
10.14459	-68.076271	2.0439453
10.146645	-74.108696	2.0537109
10.146236	-74.646835	2.0634766
10.147565	-75.564301	2.0732422
10.148098	-70.860542	2.0830078
10.149605	-68.418236	2.0927734
10.149473	-63.647629	2.1025391
10.150376	-65.334946	2.1123047
10.152244	-71.99733	2.1220703
10.153397	-71.108521	2.1318359
10.153143	-69.086166	2.1416016
10.154834	-62.436531	2.1513672
10.153996	-62.157593	2.1611328
10.155441	-64.942429	2.1708984
10.15629	-63.726559	2.1806641
10.157491	-67.494286	2.1904297
10.158027	-67.442299	2.2001953
10.159007	-66.630447	2.2099609
10.159945	-61.291359	2.2197266
10.161113	-57.568104	2.2294922
10.16049	-64.279495	2.2392578
10.161858	-64.220589	2.2490234
10.163059	-65.560036	2.2587891
10.163836	-64.578957	2.2685547
