MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_090_r0			Time:	20.017578	s	4/14/2019 1:49:42 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.041538	-31.830549	0.022460938
-40.041798	-30.767263	0.032226563
-40.041103	-31.712852	0.041992188
-40.040657	-31.385485	0.051757813
-40.040462	-35.10326	0.061523438
-40.040115	-33.587757	0.071289063
-40.039688	-30.160479	0.081054688
-40.039886	-32.58736	0.090820313
-40.038551	-26.334606	0.10058594
-40.038277	-27.562044	0.11035156
-40.036304	-29.448334	0.12011719
-40.036091	-31.031115	0.12988281
-40.034714	-32.724072	0.13964844
-40.034363	-26.174347	0.14941406
-40.033405	-22.259943	0.15917969
-40.034672	-22.467916	0.16894531
-40.03146	-26.470726	0.17871094
-40.030014	-29.866522	0.18847656
-40.029335	-27.156347	0.19824219
-40.028706	-24.424747	0.20800781
-40.028389	-21.555441	0.21777344
-40.026848	-20.715813	0.22753906
-40.026741	-19.952919	0.23730469
-40.026524	-24.061316	0.24707031
-40.025566	-27.927176	0.25683594
-40.024544	-24.230007	0.26660156
-40.023323	-17.187855	0.27636719
-40.023857	-14.835777	0.28613281
-40.021755	-20.702959	0.29589844
-40.02203	-21.77486	0.30566406
-40.020317	-22.729458	0.31542969
-40.020058	-19.250643	0.32519531
-40.01918	-15.371796	0.33496094
-40.017914	-16.941704	0.34472656
-40.017181	-12.819273	0.35449219
-40.015545	-15.785301	0.36425781
-40.015591	-19.52631	0.37402344
-40.014591	-17.079937	0.38378906
-40.014713	-15.436267	0.39355469
-40.013805	-9.8216152	0.40332031
-40.011803	-11.371981	0.41308594
-40.011532	-14.360618	0.42285156
-40.011021	-14.286638	0.43261719
-40.010914	-13.529254	0.44238281
-40.008373	-10.487	0.45214844
-40.008141	-11.571308	0.46191406
-40.007343	-8.5957613	0.47167969
-40.005997	-5.9200554	0.48144531
-40.005199	-10.518713	0.49121094
-40.005219	-9.9783039	0.50097656
-40.003799	-11.166097	0.51074219
-40.003052	-7.6977935	0.52050781
-40.003124	-4.3724456	0.53027344
-40.001961	-5.7174134	0.54003906
-39.999809	-4.7672372	0.54980469
-39.999722	-5.8143635	0.55957031
-39.998669	-7.5921955	0.56933594
-39.99733	-6.7544012	0.57910156
-39.997925	-3.1254325	0.58886719
-39.997501	-0.52049458	0.59863281
-39.996437	-0.21321802	0.60839844
-39.994694	-2.8282537	0.61816406
-39.994064	-5.5904083	0.62792969
-39.993595	-1.8387316	0.63769531
-39.992222	-0.60986358	0.64746094
-39.992092	0.33264869	0.65722656
-39.989914	2.873395	0.66699219
-39.990089	0.80471271	0.67675781
-39.989822	-0.17223607	0.68652344
-39.987732	-3.045229	0.69628906
-39.987625	-1.6542871	0.70605469
-39.98859	3.6254246	0.71582031
-39.987598	7.7773404	0.72558594
-39.985489	6.8985739	0.73535156
-39.985275	1.4496527	0.74511719
-39.983524	1.6864718	0.75488281
-39.982365	4.0004349	0.76464844
-39.982159	3.1383326	0.77441406
-39.980663	10.962665	0.78417969
-39.979771	9.575036	0.79394531
-39.980717	9.2347727	0.80371094
-39.979477	6.8072166	0.81347656
-39.979336	3.5159323	0.82324219
-39.976532	7.9005342	0.83300781
-39.976974	13.670766	0.84277344
-39.976166	14.940203	0.85253906
-39.974625	11.004257	0.86230469
-39.973904	7.0748262	0.87207031
-39.973373	9.5049925	0.88183594
-39.97229	11.880744	0.89160156
-39.970905	15.87941	0.90136719
-39.970127	15.772843	0.91113281
-39.969444	16.242809	0.92089844
-39.968006	13.946951	0.93066406
-39.968395	11.816771	0.94042969
-39.967625	13.780166	0.95019531
-39.966385	18.714684	0.95996094
-39.966438	21.22188	0.96972656
-39.96492	19.318581	0.97949219
-39.964611	17.295115	0.98925781
-39.962826	15.491614	0.99902344
-39.961948	17.832476	1.0087891
-39.961151	20.815767	1.0185547
-39.960297	19.92988	1.0283203
-39.959938	23.017509	1.0380859
-39.959259	23.59441	1.0478516
-39.958138	18.020885	1.0576172
-39.956886	18.525656	1.0673828
-39.957077	20.227018	1.0771484
-39.955212	25.999689	1.0869141
-39.955177	24.707006	1.0966797
-39.954212	23.110041	1.1064453
-39.95348	22.896004	1.1162109
-39.952061	22.815115	1.1259766
-39.951336	24.316343	1.1357422
-39.952194	23.794338	1.1455078
-39.950714	28.309984	1.1552734
-39.949692	30.582903	1.1650391
-39.949738	29.02243	1.1748047
-39.947926	25.376528	1.1845703
-39.947735	23.750347	1.1943359
-39.946087	28.390327	1.2041016
-39.946041	31.829659	1.2138672
-39.944553	29.975626	1.2236328
-39.943741	32.128319	1.2333984
-39.942829	31.924248	1.2431641
-39.943413	29.23078	1.2529297
-39.940857	28.286345	1.2626953
-39.940605	31.200768	1.2724609
-39.938911	36.675419	1.2822266
-39.938862	37.417015	1.2919922
-39.938068	34.813145	1.3017578
-39.936951	31.992697	1.3115234
-39.936127	32.008606	1.3212891
-39.935303	35.125931	1.3310547
-39.935211	37.209164	1.3408203
-39.935257	40.491779	1.3505859
-39.933052	39.823711	1.3603516
-39.932972	37.949062	1.3701172
-39.93185	34.118351	1.3798828
-39.930626	35.955242	1.3896484
-39.929028	38.850433	1.3994141
-39.929688	43.779961	1.4091797
-39.928616	44.556946	1.4189453
-39.928062	38.805035	1.4287109
-39.927399	37.917686	1.4384766
-39.926258	39.243832	1.4482422
-39.924492	40.026989	1.4580078
-39.924152	46.179913	1.4677734
-39.923313	45.237099	1.4775391
-39.921982	45.356323	1.4873047
-39.922806	43.609356	1.4970703
-39.921429	38.912773	1.5068359
-39.9203	44.100647	1.5166016
-39.919537	48.282799	1.5263672
-39.918148	51.676624	1.5361328
-39.91782	48.640198	1.5458984
-39.916016	44.278156	1.5556641
-39.915897	45.166451	1.5654297
-39.915493	46.335861	1.5751953
-39.914795	49.994244	1.5849609
-39.914997	52.900452	1.5947266
-39.913548	53.596096	1.6044922
-39.912376	51.494263	1.6142578
-39.910587	46.054661	1.6240234
-39.910679	48.088779	1.6337891
-39.910107	52.534203	1.6435547
-39.908745	55.852417	1.6533203
-39.907173	56.011829	1.6630859
-39.906734	53.067032	1.6728516
-39.906475	51.195435	1.6826172
-39.905552	53.3736	1.6923828
-39.905663	53.827503	1.7021484
-39.904022	56.337975	1.7119141
-39.903599	57.402634	1.7216797
-39.901131	59.771332	1.7314453
