MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_4545_r0			Time:	20.017822	s	4/14/2019 4:58:42 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.096225	-39.198692	1.7414551
10.096203	-46.29929	1.7512207
10.097478	-45.215248	1.7609863
10.098129	-40.096111	1.770752
10.098882	-30.205523	1.7805176
10.100626	-29.314917	1.7902832
10.100788	-33.239159	1.8000488
10.101892	-36.683372	1.8098145
10.102396	-44.705601	1.8195801
10.102941	-37.835049	1.8293457
10.104338	-30.215981	1.8391113
10.104779	-23.992441	1.848877
10.105568	-25.536343	1.8586426
10.106487	-35.613266	1.8684082
10.10677	-39.663372	1.8781738
10.108549	-36.085037	1.8879395
10.108886	-29.623426	1.8977051
10.110534	-24.83762	1.9074707
10.111096	-25.059599	1.9172363
10.111722	-25.742249	1.927002
10.111528	-34.292572	1.9367676
10.112955	-36.455502	1.9465332
10.113447	-30.870832	1.9562988
10.114652	-23.347034	1.9660645
10.115309	-17.199921	1.9758301
10.116248	-21.806118	1.9855957
10.117417	-26.703661	1.9953613
10.117844	-29.393442	2.005127
10.118423	-27.257441	2.0148926
10.118922	-24.096331	2.0246582
10.120101	-17.726791	2.0344238
10.12078	-16.164185	2.0441895
10.122379	-17.565983	2.0539551
10.122485	-24.590818	2.0637207
10.123743	-29.817627	2.0734863
10.124849	-20.675245	2.083252
10.124334	-13.720691	2.0930176
10.12502	-11.894461	2.1027832
10.126888	-13.508634	2.1125488
10.127903	-21.813354	2.1223145
10.128731	-22.771383	2.1320801
10.129969	-22.734875	2.1418457
10.13037	-16.492073	2.1516113
10.130515	-8.2404604	2.161377
10.131534	-7.5147576	2.1711426
10.132023	-11.038729	2.1809082
10.133657	-20.505434	2.1906738
10.134334	-21.750326	2.2004395
10.13556	-11.293466	2.2102051
10.136322	-6.8047662	2.2199707
10.136857	-1.2340901	2.2297363
10.13734	-9.2073107	2.239502
10.138527	-15.768182	2.2492676
10.138309	-16.173384	2.2590332
10.138998	-16.247061	2.2687988
10.140945	-6.2380304	2.2785645
10.141562	2.6724932	2.2883301
10.141744	-0.58687145	2.2980957
10.142888	-8.5851555	2.3078613
10.145087	-15.457561	2.317627
10.144774	-12.580415	2.3273926
10.145802	-3.5577054	2.3371582
10.146287	2.5858688	2.3469238
10.147205	0.87563616	2.3566895
10.148729	-1.920561	2.3664551
10.149596	-7.2936602	2.3762207
10.149723	-12.247287	2.3859863
10.150317	-3.6820288	2.395752
10.151364	2.7007155	2.4055176
10.152071	9.7987337	2.4152832
10.152345	3.3789837	2.4250488
10.153229	-4.9748297	2.4348145
10.154444	-7.7535028	2.4445801
10.155039	-2.3001282	2.4543457
10.15629	6.6128912	2.4641113
10.156978	8.4438534	2.473877
10.158842	7.2150683	2.4836426
10.158664	4.0006318	2.4934082
10.159476	-2.0569913	2.5031738
10.160304	0.033978626	2.5129395
10.161272	3.7270145	2.5227051
10.161709	14.865974	2.5324707
10.161646	14.215753	2.5422363
10.164222	6.1523232	2.552002
10.163728	2.7172968	2.5617676
10.165989	0.82259893	2.5715332
10.165617	7.4641395	2.5812988
10.166406	12.577883	2.5910645
10.166589	13.811297	2.6008301
10.168759	17.474117	2.6105957
10.169041	8.711525	2.6203613
10.170371	3.5462983	2.630127
10.169699	5.0061755	2.6398926
10.171581	11.842527	2.6496582
10.1725	20.713127	2.6594238
10.173549	20.054924	2.6691895
10.173944	16.0634	2.6789551
10.173888	10.992968	2.6887207
10.175665	9.1715546	2.6984863
10.176853	13.102094	2.708252
10.1774	17.694738	2.7180176
10.178414	24.245735	2.7277832
10.178628	24.483816	2.7375488
10.180146	15.581585	2.7473145
10.181183	10.226687	2.7570801
10.181229	14.936556	2.7668457
10.181852	21.541309	2.7766113
10.183189	27.52467	2.786377
10.183385	28.481495	2.7961426
10.184793	21.640694	2.8059082
10.184847	18.741928	2.8156738
10.186104	16.003164	2.8254395
10.187016	19.850313	2.8352051
10.188103	30.573629	2.8449707
10.188763	32.705849	2.8547363
10.189475	29.47954	2.864502
10.190023	19.373404	2.8742676
10.190821	16.687502	2.8840332
10.19203	23.105724	2.8937988
10.192631	31.905529	2.9035645
10.192753	36.70145	2.9133301
10.194548	33.502953	2.9230957
10.195766	26.598499	2.9328613
10.19647	23.677404	2.942627
10.19768	20.920095	2.9523926
10.197047	31.735147	2.9621582
10.198576	39.885365	2.9719238
10.199604	39.214691	2.9816895
10.20017	32.416077	2.9914551
10.200191	23.601007	3.0012207
10.202375	26.399529	3.0109863
10.202329	33.409561	3.020752
10.203174	40.647118	3.0305176
10.204059	43.34993	3.0402832
10.205223	39.437069	3.0500488
10.204017	33.018372	3.0598145
10.20676	29.011909	3.0695801
10.207354	33.741169	3.0793457
10.20764	40.039982	3.0891113
10.209922	49.45039	3.098877
10.209962	46.002121	3.1086426
10.210985	37.995335	3.1184082
10.211583	33.510502	3.1281738
10.212282	36.024403	3.1379395
10.212787	44.185452	3.1477051
10.213676	47.78664	3.1574707
10.214931	49.958996	3.1672363
10.215388	47.164436	3.177002
10.216455	38.860619	3.1867676
10.217903	38.918282	3.1965332
10.217976	40.344727	3.2062988
10.219888	50.15044	3.2160645
10.220169	54.355934	3.2258301
10.22157	50.619736	3.2355957
10.22019	45.938236	3.2453613
10.221326	42.897144	3.255127
10.222814	44.928207	3.2648926
10.224282	50.343246	3.2746582
10.22504	53.504852	3.2844238
10.225007	57.107143	3.2941895
10.226489	52.302364	3.3039551
