MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_4545_r0			Time:	20.018066	s	4/15/2019 3:12:21 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9805937	-128.63155	0.022460938
9.9806519	-125.5891	0.032226563
9.9807844	-119.42236	0.041992188
9.9808626	-114.45547	0.051757813
9.9813461	-117.29579	0.061523438
9.9819384	-120.89239	0.071289063
9.9816628	-118.73196	0.081054688
9.9829044	-127.07144	0.090820313
9.9846745	-124.48915	0.10058594
9.9849777	-120.2647	0.11035156
9.9853563	-112.72558	0.12011719
9.9859047	-112.02856	0.12988281
9.9871016	-120.01792	0.13964844
9.9879255	-122.44792	0.14941406
9.9877148	-120.80827	0.15917969
9.9896011	-118.72115	0.16894531
9.9905567	-111.25307	0.17871094
9.9920912	-113.76845	0.18847656
9.9927578	-112.54089	0.19824219
9.9935656	-114.9931	0.20800781
9.9939194	-120.42971	0.21777344
9.9950542	-117.59658	0.22753906
9.9957323	-112.59383	0.23730469
9.9967365	-106.17329	0.24707031
9.9970818	-110.51842	0.25683594
9.998086	-112.35892	0.26660156
9.9986916	-114.85535	0.27636719
9.9994183	-115.14371	0.28613281
10.000212	-112.97447	0.29589844
10.000553	-109.11968	0.30566406
10.001995	-105.67586	0.31542969
10.002854	-106.12196	0.32519531
10.004372	-110.66902	0.33496094
10.004361	-115.95484	0.34472656
10.005274	-111.13562	0.35449219
10.005818	-104.20422	0.36425781
10.006829	-103.60687	0.37402344
10.006616	-103.50523	0.38378906
10.00787	-106.95296	0.39355469
10.008463	-109.51635	0.40332031
10.009871	-111.60796	0.41308594
10.011551	-107.64324	0.42285156
10.01233	-101.4761	0.43261719
10.012345	-99.301979	0.44238281
10.013089	-100.65661	0.45214844
10.013961	-107.54095	0.46191406
10.014695	-109.86098	0.47167969
10.015136	-105.37772	0.48144531
10.015855	-97.806198	0.49121094
10.017244	-96.220802	0.50097656
10.017762	-99.375183	0.51074219
10.018061	-103.54279	0.52050781
10.019939	-104.07925	0.53027344
10.020033	-105.55186	0.54003906
10.021646	-99.335159	0.54980469
10.022448	-92.852104	0.55957031
10.022958	-93.735474	0.56933594
10.023513	-97.754997	0.57910156
10.024434	-104.84705	0.58886719
10.024854	-101.83836	0.59863281
10.026456	-95.992393	0.60839844
10.027733	-92.630447	0.61816406
10.028454	-91.744682	0.62792969
10.028289	-93.725471	0.63769531
10.029122	-98.128609	0.64746094
10.03034	-102.47077	0.65722656
10.030075	-97.149689	0.66699219
10.032107	-91.706223	0.67675781
10.032731	-86.882744	0.68652344
10.033975	-88.163467	0.69628906
10.03421	-96.676483	0.70605469
10.034445	-95.619064	0.71582031
10.036037	-95.389748	0.72558594
10.037299	-89.265091	0.73535156
10.0376	-88.090279	0.74511719
10.038912	-86.815765	0.75488281
10.039109	-87.859734	0.76464844
10.039577	-94.00985	0.77441406
10.041084	-93.864128	0.78417969
10.040983	-92.576317	0.79394531
10.042879	-84.583916	0.80371094
10.043579	-81.952019	0.81347656
10.044811	-88.027641	0.82324219
10.044869	-87.478188	0.83300781
10.046143	-90.574013	0.84277344
10.046802	-88.477646	0.85253906
10.047461	-85.069649	0.86230469
10.047341	-83.540382	0.87207031
10.049388	-78.58036	0.88183594
10.050146	-83.696274	0.89160156
10.050337	-88.065132	0.90136719
10.051176	-87.192612	0.91113281
10.051608	-85.820587	0.92089844
10.05345	-75.61795	0.93066406
10.053931	-77.532784	0.94042969
10.055829	-79.846146	0.95019531
10.055539	-81.501892	0.95996094
10.056717	-86.458412	0.96972656
10.057671	-83.581749	0.97949219
10.058005	-80.592667	0.98925781
10.059	-75.480476	0.99902344
10.060371	-71.713142	1.0087891
10.061013	-78.284279	1.0185547
10.061122	-82.456024	1.0283203
10.062358	-82.749657	1.0380859
10.062414	-76.036537	1.0478516
10.063363	-72.066246	1.0576172
10.063942	-71.261856	1.0673828
10.06664	-75.524864	1.0771484
10.065849	-78.711388	1.0869141
10.066341	-80.6744	1.0966797
10.067892	-79.79763	1.1064453
10.06769	-72.336288	1.1162109
10.071328	-66.395935	1.1259766
10.069186	-67.875488	1.1357422
10.071307	-75.016884	1.1455078
10.071347	-79.571999	1.1552734
10.071875	-75.629799	1.1650391
10.073224	-71.048378	1.1748047
10.074622	-63.926838	1.1845703
10.075585	-65.89003	1.1943359
10.076496	-70.136086	1.2041016
10.077358	-72.396423	1.2138672
10.076277	-78.756485	1.2236328
10.077916	-68.884689	1.2333984
10.079086	-62.51952	1.2431641
10.079551	-62.052143	1.2529297
10.080473	-64.294632	1.2626953
10.082543	-72.961594	1.2724609
10.082411	-72.590637	1.2822266
10.083344	-67.964653	1.2919922
10.083738	-64.04451	1.3017578
10.084347	-58.725464	1.3115234
10.08459	-60.78495	1.3212891
10.086473	-63.629246	1.3310547
10.086608	-70.441002	1.3408203
10.088776	-68.322998	1.3505859
10.089554	-61.590328	1.3603516
10.089745	-57.203739	1.3701172
10.090873	-56.473171	1.3798828
10.091388	-60.956646	1.3896484
10.092781	-65.890137	1.3994141
10.09341	-63.711235	1.4091797
10.094138	-60.021862	1.4189453
10.094167	-57.504234	1.4287109
10.095434	-56.023712	1.4384766
10.095677	-55.534309	1.4482422
10.096944	-60.012665	1.4580078
10.098023	-62.077255	1.4677734
10.098551	-61.810909	1.4775391
10.099434	-54.609127	1.4873047
10.100378	-50.548817	1.4970703
10.100728	-54.38372	1.5068359
10.102322	-54.140388	1.5166016
10.103743	-59.411266	1.5263672
10.103922	-58.012981	1.5361328
10.104075	-56.238689	1.5458984
10.105121	-52.972591	1.5556641
10.106743	-47.625332	1.5654297
10.107051	-51.243813	1.5751953
10.107056	-54.779072	1.5849609
10.109199	-58.873764	1.5947266
10.109225	-56.736439	1.6044922
10.109893	-48.171898	1.6142578
10.109911	-48.741241	1.6240234
10.112351	-43.698452	1.6337891
10.112654	-50.598179	1.6435547
10.113306	-54.345299	1.6533203
10.114151	-51.773399	1.6630859
10.115585	-52.540901	1.6728516
10.115042	-43.733273	1.6826172
10.116722	-39.587238	1.6923828
10.117154	-43.891376	1.7021484
10.117202	-50.519279	1.7119141
10.119521	-53.837074	1.7216797
10.119647	-47.102306	1.7314453
10.12083	-43.330318	1.7412109
10.121393	-38.050194	1.7509766
10.122865	-40.237286	1.7607422
10.123205	-44.620377	1.7705078
10.123986	-47.191147	1.7802734
