MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_090_r0			Time:	20.017578	s	4/13/2019 10:58:48 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.042324	-103.21021	0.022949219
-40.042927	-104.97385	0.032714844
-40.042152	-108.29215	0.042480469
-40.042709	-108.22763	0.052246094
-40.043087	-106.59013	0.062011719
-40.042023	-104.94808	0.071777344
-40.041241	-104.14441	0.081542969
-40.040779	-99.931778	0.091308594
-40.040077	-101.14089	0.10107422
-40.037918	-107.66722	0.11083984
-40.037426	-108.9483	0.12060547
-40.037022	-106.22672	0.13037109
-40.0364	-99.972908	0.14013672
-40.036057	-96.367973	0.14990234
-40.034122	-100.76536	0.15966797
-40.034733	-101.16211	0.16943359
-40.032642	-104.46288	0.17919922
-40.032997	-104.0222	0.18896484
-40.0317	-99.059753	0.19873047
-40.030987	-96.91378	0.20849609
-40.029865	-94.683395	0.21826172
-40.029221	-98.640884	0.22802734
-40.028011	-103.28623	0.23779297
-40.026299	-100.28532	0.24755859
-40.027657	-98.087471	0.25732422
-40.026192	-93.105095	0.26708984
-40.023773	-93.208397	0.27685547
-40.024448	-96.320351	0.28662109
-40.023216	-94.535141	0.29638672
-40.023125	-97.858841	0.30615234
-40.022602	-95.678749	0.31591797
-40.021381	-93.042747	0.32568359
-40.021301	-89.593491	0.33544922
-40.01992	-88.700607	0.34521484
-40.017742	-95.815994	0.35498047
-40.019402	-95.283447	0.36474609
-40.017105	-92.213539	0.37451172
-40.016434	-89.509201	0.38427734
-40.015324	-89.659134	0.39404297
-40.014626	-88.722626	0.40380859
-40.015785	-89.266609	0.41357422
-40.013123	-89.055885	0.42333984
-40.011742	-91.61805	0.43310547
-40.010868	-91.048271	0.44287109
-40.009747	-85.816269	0.45263672
-40.009518	-85.19149	0.46240234
-40.008789	-83.453362	0.47216797
-40.008717	-86.012993	0.48193359
-40.007301	-86.985977	0.49169922
-40.006748	-84.777237	0.50146484
-40.006474	-85.320427	0.51123047
-40.005711	-83.89817	0.52099609
-40.00309	-81.194481	0.53076172
-40.003338	-80.022255	0.54052734
-40.001991	-81.005821	0.55029297
-40.002098	-87.258278	0.56005859
-40.001175	-83.67382	0.56982422
-39.999989	-77.950249	0.57958984
-40.000183	-77.126884	0.58935547
-39.99865	-77.186798	0.59912109
-39.997791	-81.531403	0.60888672
-39.997177	-82.067413	0.61865234
-39.994991	-79.603798	0.62841797
-39.99445	-80.798042	0.63818359
-39.99445	-73.509697	0.64794922
-39.993309	-71.709328	0.65771484
-39.993206	-73.801987	0.66748047
-39.992542	-79.67244	0.67724609
-39.99234	-83.193367	0.68701172
-39.990231	-76.714203	0.69677734
-39.989193	-70.198227	0.70654297
-39.988647	-70.470581	0.71630859
-39.987854	-73.209969	0.72607422
-39.986664	-76.924034	0.73583984
-39.985882	-75.710892	0.74560547
-39.986366	-74.598137	0.75537109
-39.983452	-70.100708	0.76513672
-39.983479	-66.304924	0.77490234
-39.982151	-66.250633	0.78466797
-39.982807	-71.624573	0.79443359
-39.980762	-76.419403	0.80419922
-39.981304	-73.619476	0.81396484
-39.978645	-66.115952	0.82373047
-39.979092	-64.261612	0.83349609
-39.978447	-65.794449	0.84326172
-39.977238	-67.792908	0.85302734
-39.976719	-69.823067	0.86279297
-39.975227	-71.088387	0.87255859
-39.97488	-66.000175	0.88232422
-39.973221	-64.471649	0.89208984
-39.972801	-59.379326	0.90185547
-39.973289	-62.70705	0.91162109
-39.970982	-68.705574	0.92138672
-39.97049	-67.286842	0.93115234
-39.970974	-65.597801	0.94091797
-39.969395	-59.157265	0.95068359
-39.969307	-59.648426	0.96044922
-39.966732	-60.815845	0.97021484
-39.967175	-61.946064	0.97998047
-39.966274	-61.495525	0.98974609
-39.965103	-62.823711	0.99951172
-39.964378	-59.858917	1.0092773
-39.964016	-58.518612	1.019043
-39.962658	-55.018871	1.0288086
-39.961895	-58.673725	1.0385742
-39.961044	-60.054218	1.0483398
-39.960354	-60.736893	1.0581055
-39.959984	-58.666473	1.0678711
-39.956928	-54.879211	1.0776367
-39.957981	-55.224789	1.0874023
-39.956196	-55.725636	1.097168
-39.955948	-53.543854	1.1069336
-39.954853	-56.535313	1.1166992
-39.954742	-58.880424	1.1264648
-39.953354	-54.528625	1.1362305
-39.953674	-51.604881	1.1459961
-39.951534	-48.27335	1.1557617
-39.951359	-52.316853	1.1655273
-39.950043	-56.593971	1.175293
-39.949818	-53.840908	1.1850586
-39.948929	-53.635452	1.1948242
-39.94788	-51.830318	1.2045898
-39.947254	-47.522297	1.2143555
-39.946136	-47.257904	1.2241211
-39.945992	-47.886723	1.2338867
-39.945183	-54.847652	1.2436523
-39.943504	-53.068092	1.253418
-39.942497	-45.936302	1.2631836
-39.941681	-44.273544	1.2729492
-39.941387	-43.591797	1.2827148
-39.94096	-48.151928	1.2924805
-39.939831	-48.424957	1.3022461
-39.93866	-47.644142	1.3120117
-39.938797	-48.827721	1.3217773
-39.937283	-41.657276	1.331543
-39.936367	-40.806423	1.3413086
-39.935024	-41.400387	1.3510742
-39.934998	-43.790546	1.3608398
-39.933033	-50.273018	1.3706055
-39.934704	-46.211834	1.3803711
-39.93327	-39.752563	1.3901367
-39.931725	-35.536869	1.3999023
-39.930191	-37.849747	1.409668
-39.929955	-43.632034	1.4194336
-39.929123	-42.718273	1.4291992
-39.928101	-41.7285	1.4389648
-39.927246	-38.354797	1.4487305
-39.926132	-35.668827	1.4584961
-39.926132	-33.512146	1.4682617
-39.926476	-38.159641	1.4780273
-39.922932	-42.270927	1.487793
-39.924351	-39.858059	1.4975586
-39.921955	-37.710388	1.5073242
-39.922215	-33.120502	1.5170898
-39.920048	-32.909199	1.5268555
-39.919937	-33.229774	1.5366211
-39.91988	-35.893372	1.5463867
-39.918621	-36.11132	1.5561523
-39.918087	-35.595741	1.565918
-39.916893	-33.576138	1.5756836
-39.917179	-28.081575	1.5854492
-39.914646	-30.314692	1.5952148
-39.914074	-34.510159	1.6049805
-39.913456	-33.667248	1.6147461
-39.912907	-34.855549	1.6245117
-39.912216	-28.954996	1.6342773
-39.911121	-27.361176	1.644043
-39.911213	-28.575668	1.6538086
-39.909527	-29.016401	1.6635742
-39.908611	-30.802416	1.6733398
-39.908012	-30.712362	1.6831055
-39.907269	-30.219854	1.6928711
