MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_090_r0			Time:	20.022461	s	4/14/2019 1:53:41 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.041595	-121.583	0.02734375
-40.041054	-123.87415	0.037109375
-40.041134	-126.9455	0.046875
-40.0411	-125.95263	0.056640625
-40.041195	-123.3342	0.06640625
-40.040268	-119.88728	0.076171875
-40.039471	-121.57944	0.0859375
-40.039276	-122.77087	0.095703125
-40.03746	-122.61153	0.10546875
-40.03619	-121.49238	0.11523438
-40.035748	-122.40022	0.125
-40.035313	-123.83305	0.13476563
-40.035355	-116.84846	0.14453125
-40.033325	-116.57285	0.15429688
-40.033768	-119.53504	0.1640625
-40.031956	-120.34392	0.17382813
-40.030914	-121.3112	0.18359375
-40.030243	-118.3177	0.19335938
-40.030704	-115.30975	0.203125
-40.029514	-116.87517	0.21289063
-40.02824	-113.35152	0.22265625
-40.02721	-114.05516	0.23242188
-40.026951	-115.28217	0.2421875
-40.025143	-116.64286	0.25195313
-40.024704	-116.97034	0.26171875
-40.024452	-110.79316	0.27148438
-40.023045	-110.27377	0.28125
-40.022846	-110.59688	0.29101563
-40.021034	-114.27225	0.30078125
-40.02116	-113.87238	0.31054688
-40.020603	-112.51386	0.3203125
-40.018803	-110.606	0.33007813
-40.017616	-108.0173	0.33984375
-40.017975	-104.52399	0.34960938
-40.015965	-107.08182	0.359375
-40.016563	-111.88825	0.36914063
-40.014503	-112.39721	0.37890625
-40.014179	-107.89548	0.38867188
-40.013401	-103.41171	0.3984375
-40.012215	-103.08145	0.40820313
-40.012127	-105.7224	0.41796875
-40.010994	-106.66226	0.42773438
-40.010418	-107.28199	0.4375
-40.009575	-106.693	0.44726563
-40.008797	-101.60674	0.45703125
-40.008087	-99.159325	0.46679688
-40.006523	-98.951271	0.4765625
-40.007065	-103.9327	0.48632813
-40.005436	-106.15159	0.49609375
-40.004627	-103.13678	0.50585938
-40.003296	-98.316109	0.515625
-40.003708	-94.109856	0.52539063
-40.002148	-98.054932	0.53515625
-40.001801	-98.519753	0.54492188
-39.999336	-98.853546	0.5546875
-40.000702	-101.18922	0.56445313
-39.999218	-95.855637	0.57421875
-39.997738	-93.194107	0.58398438
-39.997665	-91.326576	0.59375
-39.997581	-93.218727	0.60351563
-39.995621	-99.48848	0.61328125
-39.995316	-96.969292	0.62304688
-39.994793	-94.499619	0.6328125
-39.994041	-91.180695	0.64257813
-39.992992	-90.283295	0.65234375
-39.991962	-91.967789	0.66210938
-39.990673	-91.518867	0.671875
-39.989475	-91.165039	0.68164063
-39.988621	-92.454605	0.69140625
-39.988796	-89.184395	0.70117188
-39.987408	-86.641365	0.7109375
-39.987247	-85.308022	0.72070313
-39.986168	-88.277115	0.73046875
-39.984989	-91.218414	0.74023438
-39.984264	-87.799622	0.75
-39.983463	-85.95417	0.75976563
-39.981327	-85.600456	0.76953125
-39.981926	-84.608482	0.77929688
-39.981297	-84.72187	0.7890625
-39.981014	-83.527664	0.79882813
-39.979614	-86.187424	0.80859375
-39.978474	-87.659477	0.81835938
-39.977417	-83.050293	0.828125
-39.976048	-79.364655	0.83789063
-39.976677	-80.077393	0.84765625
-39.97361	-80.171555	0.85742188
-39.974548	-84.773445	0.8671875
-39.974121	-81.680733	0.87695313
-39.974239	-82.114334	0.88671875
-39.973087	-79.769028	0.89648438
-39.971432	-76.430855	0.90625
-39.971176	-75.55825	0.91601563
-39.969135	-77.238548	0.92578125
-39.968121	-83.390297	0.93554688
-39.968201	-79.094505	0.9453125
-39.967903	-74.261223	0.95507813
-39.967407	-72.863182	0.96484375
-39.965153	-72.021812	0.97460938
-39.964729	-75.446091	0.984375
-39.963116	-76.175583	0.99414063
-39.962746	-75.642975	1.0039063
-39.962563	-76.035583	1.0136719
-39.959927	-70.666595	1.0234375
-39.961514	-67.366226	1.0332031
-39.959507	-69.598267	1.0429688
-39.959625	-73.146629	1.0527344
-39.958496	-75.737389	1.0625
-39.957172	-72.421608	1.0722656
-39.955856	-65.706665	1.0820313
-39.955647	-65.231544	1.0917969
-39.95385	-67.192963	1.1015625
-39.954025	-68.939278	1.1113281
-39.954502	-69.960953	1.1210938
-39.952457	-71.129799	1.1308594
-39.951996	-66.565201	1.140625
-39.951149	-62.362793	1.1503906
-39.949604	-60.768982	1.1601563
-39.948563	-65.737503	1.1699219
-39.948364	-69.56517	1.1796875
-39.947906	-69.378464	1.1894531
-39.946522	-62.383072	1.1992188
-39.94611	-59.462479	1.2089844
-39.944374	-61.228909	1.21875
-39.944931	-60.524799	1.2285156
-39.943481	-61.865513	1.2382813
-39.943596	-63.864567	1.2480469
-39.941761	-60.450626	1.2578125
-39.942104	-59.296204	1.2675781
-39.941189	-54.892593	1.2773438
-39.939495	-56.240852	1.2871094
-39.938179	-61.050087	1.296875
-39.937702	-60.242516	1.3066406
-39.936218	-58.561413	1.3164063
-39.936317	-55.482361	1.3261719
-39.934486	-55.206779	1.3359375
-39.934906	-54.941521	1.3457031
-39.933025	-54.298786	1.3554688
-39.934246	-55.725925	1.3652344
-39.933666	-56.06221	1.375
-39.93132	-55.230442	1.3847656
-39.930145	-50.362446	1.3945313
-39.930161	-47.929638	1.4042969
-39.929264	-52.339024	1.4140625
-39.927849	-52.99601	1.4238281
-39.927505	-53.008286	1.4335938
-39.925545	-51.948788	1.4433594
-39.92646	-50.28791	1.453125
-39.924179	-50.0168	1.4628906
-39.923199	-47.976257	1.4726563
-39.922657	-45.527599	1.4824219
-39.921936	-49.915962	1.4921875
-39.921684	-50.823574	1.5019531
-39.920204	-48.794456	1.5117188
-39.920151	-45.120071	1.5214844
-39.918755	-43.500343	1.53125
-39.919365	-43.944786	1.5410156
-39.917194	-46.111187	1.5507813
-39.916565	-45.933537	1.5605469
-39.916203	-46.300945	1.5703125
-39.915516	-43.846939	1.5800781
-39.913624	-40.670906	1.5898438
-39.913467	-39.14579	1.5996094
-39.913399	-39.701309	1.609375
-39.911831	-45.463421	1.6191406
-39.910271	-45.254997	1.6289063
-39.911301	-39.079578	1.6386719
-39.909794	-36.360043	1.6484375
-39.909836	-34.820759	1.6582031
-39.908737	-38.260571	1.6679688
-39.907467	-39.573288	1.6777344
-39.906212	-39.716629	1.6875
-39.905483	-41.255589	1.6972656
-39.904907	-35.110989	1.7070313
