MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.018555	s	4/14/2019 12:29:34 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.040539	-139.12225	0.022460938
-40.040771	-139.38347	0.032226563
-40.040726	-140.8233	0.041992188
-40.040684	-140.79956	0.051757813
-40.039246	-142.62138	0.061523438
-40.040852	-143.02313	0.071289063
-40.038631	-142.79129	0.081054688
-40.038143	-136.47134	0.090820313
-40.038307	-136.74173	0.10058594
-40.035908	-137.37711	0.11035156
-40.035553	-138.90269	0.12011719
-40.034805	-138.54817	0.12988281
-40.034946	-135.38841	0.13964844
-40.032795	-136.70512	0.14941406
-40.031906	-134.677	0.15917969
-40.031296	-131.78392	0.16894531
-40.029907	-133.51425	0.17871094
-40.030079	-134.98158	0.18847656
-40.028519	-137.82739	0.19824219
-40.028461	-134.31416	0.20800781
-40.028481	-129.40605	0.21777344
-40.026627	-132.01428	0.22753906
-40.026226	-130.06976	0.23730469
-40.024982	-131.89761	0.24707031
-40.024765	-131.40848	0.25683594
-40.023823	-133.28543	0.26660156
-40.023235	-133.18892	0.27636719
-40.021698	-128.28679	0.28613281
-40.021641	-125.12083	0.29589844
-40.021446	-127.48959	0.30566406
-40.020535	-131.2126	0.31542969
-40.017612	-131.64107	0.32519531
-40.017384	-125.54752	0.33496094
-40.017437	-124.51488	0.34472656
-40.015553	-121.51935	0.35449219
-40.015282	-123.89697	0.36425781
-40.014179	-126.01839	0.37402344
-40.013622	-126.73649	0.38378906
-40.014313	-126.46933	0.39355469
-40.01268	-122.03683	0.40332031
-40.011536	-115.83083	0.41308594
-40.010696	-118.77539	0.42285156
-40.009354	-123.87741	0.43261719
-40.008892	-124.94849	0.44238281
-40.008045	-123.67989	0.45214844
-40.007813	-118.99653	0.46191406
-40.006733	-115.49997	0.47167969
-40.00563	-117.66801	0.48144531
-40.004688	-116.70423	0.49121094
-40.00489	-120.01034	0.50097656
-40.003593	-122.93713	0.51074219
-40.002815	-119.63217	0.52050781
-40.000694	-113.89449	0.53027344
-40.000874	-110.324	0.54003906
-40.000168	-115.91637	0.54980469
-40.000019	-119.81126	0.55957031
-39.998077	-118.52565	0.56933594
-39.996944	-116.1103	0.57910156
-39.996849	-111.04026	0.58886719
-39.996029	-111.16909	0.59863281
-39.996071	-112.70532	0.60839844
-39.993473	-109.67636	0.61816406
-39.992695	-115.94651	0.62792969
-39.992264	-112.43877	0.63769531
-39.992405	-110.24004	0.64746094
-39.990833	-108.05699	0.65722656
-39.990318	-105.91946	0.66699219
-39.989468	-110.88076	0.67675781
-39.988873	-111.09318	0.68652344
-39.98848	-109.78994	0.69628906
-39.987068	-107.66653	0.70605469
-39.985806	-105.52527	0.71582031
-39.986027	-104.90031	0.72558594
-39.98444	-103.60209	0.73535156
-39.983578	-104.87424	0.74511719
-39.983696	-107.21581	0.75488281
-39.98241	-106.47801	0.76464844
-39.981579	-102.66113	0.77441406
-39.980915	-100.55492	0.78417969
-39.978355	-102.33035	0.79394531
-39.978626	-102.07323	0.80371094
-39.977997	-103.06028	0.81347656
-39.977306	-102.52873	0.82324219
-39.975918	-102.74162	0.83300781
-39.975456	-99.926147	0.84277344
-39.973671	-97.211075	0.85253906
-39.973866	-96.121872	0.86230469
-39.973148	-97.376869	0.87207031
-39.971748	-103.48986	0.88183594
-39.971703	-98.89257	0.89160156
-39.970203	-96.119781	0.90136719
-39.970112	-96.575996	0.91113281
-39.968544	-91.080505	0.92089844
-39.968033	-96.817184	0.93066406
-39.96714	-95.017548	0.94042969
-39.966648	-96.192139	0.95019531
-39.966713	-97.37822	0.95996094
-39.964954	-90.910774	0.96972656
-39.963467	-89.44133	0.97949219
-39.963699	-90.033264	0.98925781
-39.964283	-94.431137	0.99902344
-39.961613	-96.747009	1.0087891
-39.960648	-91.572205	1.0185547
-39.959343	-89.73838	1.0283203
-39.958996	-87.009483	1.0380859
-39.958687	-87.648727	1.0478516
-39.956421	-89.992851	1.0576172
-39.956844	-90.020767	1.0673828
-39.956169	-93.578117	1.0771484
-39.955051	-86.311729	1.0869141
-39.954277	-83.280243	1.0966797
-39.954868	-82.336006	1.1064453
-39.951904	-86.079895	1.1162109
-39.953152	-90.697197	1.1259766
-39.950447	-89.515404	1.1357422
-39.949291	-84.405945	1.1455078
-39.949001	-81.438072	1.1552734
-39.948643	-83.458405	1.1650391
-39.949158	-81.925652	1.1748047
-39.947071	-84.066277	1.1845703
-39.946766	-86.647018	1.1943359
-39.94479	-84.391716	1.2041016
-39.945175	-80.640289	1.2138672
-39.944366	-74.920959	1.2236328
-39.942703	-78.158508	1.2333984
-39.942066	-82.510422	1.2431641
-39.940777	-82.718193	1.2529297
-39.940533	-80.109001	1.2626953
-39.939777	-77.407616	1.2724609
-39.939514	-77.205406	1.2822266
-39.937706	-75.831139	1.2919922
-39.937832	-74.999107	1.3017578
-39.937248	-79.429123	1.3115234
-39.93647	-78.604591	1.3212891
-39.934719	-78.058311	1.3310547
-39.93354	-71.464546	1.3408203
-39.933716	-70.681046	1.3505859
-39.932648	-75.28376	1.3603516
-39.931667	-74.351494	1.3701172
-39.931156	-73.869743	1.3798828
-39.930576	-72.532242	1.3896484
-39.928532	-70.944008	1.3994141
-39.929245	-72.367668	1.4091797
-39.926487	-67.772499	1.4189453
-39.925739	-69.429016	1.4287109
-39.926159	-71.952713	1.4384766
-39.925812	-72.47184	1.4482422
-39.923748	-70.542816	1.4580078
-39.924469	-65.750168	1.4677734
-39.922382	-65.898376	1.4775391
-39.921432	-65.887985	1.4873047
-39.920673	-66.678268	1.4970703
-39.919239	-67.401077	1.5068359
-39.918919	-67.273087	1.5166016
-39.919144	-68.537704	1.5263672
-39.918236	-64.003189	1.5361328
-39.916538	-60.643562	1.5458984
-39.91576	-62.903614	1.5556641
-39.915058	-65.740173	1.5654297
-39.914284	-65.722816	1.5751953
-39.914516	-64.211967	1.5849609
-39.912712	-60.8661	1.5947266
-39.912601	-57.637753	1.6044922
-39.911575	-61.647362	1.6142578
-39.909782	-61.508636	1.6240234
-39.90971	-62.590004	1.6337891
-39.90844	-64.168938	1.6435547
-39.907562	-57.415577	1.6533203
-39.907227	-54.200562	1.6630859
-39.906113	-54.641762	1.6728516
-39.905884	-58.332611	1.6826172
-39.904308	-63.373684	1.6923828
