MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.021729	s	4/13/2019 8:16:34 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.899788	-135.86272	1.6762695
-39.90036	-137.53477	1.6860352
-39.89875	-144.20918	1.6958008
-39.897633	-141.17111	1.7055664
-39.896358	-139.30473	1.715332
-39.89674	-136.61816	1.7250977
-39.896904	-135.45259	1.7348633
-39.894421	-135.29887	1.7446289
-39.893169	-135.6138	1.7543945
-39.893688	-142.6601	1.7641602
-39.892204	-139.56183	1.7739258
-39.89146	-135.19894	1.7836914
-39.890106	-132.71153	1.793457
-39.890186	-132.0591	1.8032227
-39.888535	-136.38844	1.8129883
-39.88789	-137.08835	1.8227539
-39.88789	-133.9987	1.8325195
-39.887878	-134.42499	1.8422852
-39.884804	-133.01849	1.8520508
-39.884857	-131.29088	1.8618164
-39.883492	-127.12009	1.871582
-39.883377	-133.0278	1.8813477
-39.882019	-132.86557	1.8911133
-39.881653	-133.03189	1.9008789
-39.881771	-128.46007	1.9106445
-39.880016	-126.761	1.9204102
-39.879795	-128.66867	1.9301758
-39.878571	-126.74551	1.9399414
-39.878063	-128.86273	1.949707
-39.876808	-128.15331	1.9594727
-39.875618	-129.96762	1.9692383
-39.875835	-127.71951	1.9790039
-39.873962	-123.45065	1.9887695
-39.872932	-125.57958	1.9985352
-39.872433	-127.06152	2.0083008
-39.872997	-128.03931	2.0180664
-39.871418	-128.24223	2.027832
-39.870564	-121.4087	2.0375977
-39.869019	-124.91956	2.0473633
-39.869129	-120.31193	2.0571289
-39.868015	-122.65978	2.0668945
-39.866142	-124.10684	2.0766602
-39.865387	-123.44377	2.0864258
-39.864685	-125.77584	2.0961914
-39.864655	-120.0389	2.105957
-39.86483	-117.33553	2.1157227
-39.863571	-119.442	2.1254883
-39.862434	-121.21786	2.1352539
-39.860981	-124.45781	2.1450195
-39.860153	-120.55269	2.1547852
-39.859215	-118.35004	2.1645508
-39.859913	-114.65354	2.1743164
-39.857273	-114.35457	2.184082
-39.857838	-116.74522	2.1938477
-39.855804	-119.48631	2.2036133
-39.854778	-119.02209	2.2133789
-39.855072	-117.36001	2.2231445
-39.852806	-111.40887	2.2329102
-39.852631	-110.92206	2.2426758
-39.852829	-114.45958	2.2524414
-39.851768	-118.7354	2.262207
-39.851753	-115.84112	2.2719727
-39.849285	-114.70947	2.2817383
-39.848389	-108.63979	2.2915039
-39.847679	-110.81049	2.3012695
-39.847408	-110.28884	2.3110352
-39.845387	-111.54147	2.3208008
-39.845211	-116.17206	2.3305664
-39.845337	-111.38328	2.340332
-39.844616	-109.87286	2.3500977
-39.843033	-103.9869	2.3598633
-39.842716	-107.45016	2.3696289
-39.841835	-111.19067	2.3793945
-39.841534	-110.51974	2.3891602
-39.840275	-110.25275	2.3989258
-39.83923	-106.65434	2.4086914
-39.838425	-104.20523	2.418457
-39.83709	-106.03883	2.4282227
-39.836349	-101.78343	2.4379883
-39.836742	-110.97585	2.4477539
-39.837044	-107.04639	2.4575195
-39.834164	-106.67937	2.4672852
-39.834274	-102.95941	2.4770508
-39.832199	-98.392632	2.4868164
-39.833046	-102.91187	2.496582
-39.830845	-103.88404	2.5063477
-39.830887	-103.90436	2.5161133
-39.829624	-104.18909	2.5258789
-39.828098	-100.33608	2.5356445
-39.828045	-99.079247	2.5454102
-39.826073	-96.083862	2.5551758
-39.826668	-97.90712	2.5649414
-39.826538	-101.72611	2.574707
-39.82378	-101.97472	2.5844727
-39.823505	-99.036903	2.5942383
-39.824162	-95.549286	2.6040039
-39.821358	-96.461662	2.6137695
-39.821697	-95.516365	2.6235352
-39.820648	-97.507072	2.6333008
-39.819965	-98.87822	2.6430664
-39.819073	-99.345207	2.652832
-39.817181	-97.890221	2.6625977
-39.817089	-92.366989	2.6723633
-39.817181	-91.177544	2.6821289
-39.816757	-93.660591	2.6918945
-39.814865	-97.750008	2.7016602
-39.814457	-96.127281	2.7114258
-39.813774	-91.885994	2.7211914
-39.812893	-93.97039	2.730957
-39.811684	-88.586296	2.7407227
-39.8116	-89.780624	2.7504883
-39.810436	-92.288872	2.7602539
-39.809399	-92.067444	2.7700195
-39.808849	-96.24678	2.7797852
-39.807999	-88.000481	2.7895508
-39.807571	-84.00634	2.7993164
-39.805817	-85.816025	2.809082
-39.805805	-88.806625	2.8188477
-39.805275	-92.490547	2.8286133
-39.803886	-87.888901	2.8383789
-39.802906	-88.020729	2.8481445
-39.802532	-84.440041	2.8579102
-39.800972	-82.954376	2.8676758
-39.801037	-84.53479	2.8774414
-39.798859	-85.921692	2.887207
-39.798592	-90.06205	2.8969727
-39.796783	-86.016785	2.9067383
-39.796764	-79.043762	2.9165039
-39.796429	-79.155327	2.9262695
-39.795918	-81.048592	2.9360352
-39.794132	-85.021019	2.9458008
-39.794952	-85.540245	2.9555664
-39.792374	-82.101799	2.965332
-39.792107	-79.824562	2.9750977
-39.791218	-78.711823	2.9848633
