MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_4545_r0			Time:	20.017334	s	4/13/2019 8:44:30 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034096	-226.80737	0.021972656
-40.03434	-231.05725	0.031738281
-40.033978	-230.52254	0.041503906
-40.034672	-230.85272	0.051269531
-40.034836	-232.51346	0.061035156
-40.035046	-228.6563	0.070800781
-40.033504	-225.66129	0.080566406
-40.031631	-224.12494	0.090332031
-40.031429	-225.39372	0.10009766
-40.030102	-232.91949	0.10986328
-40.030437	-229.73447	0.11962891
-40.030334	-227.09933	0.12939453
-40.028278	-223.84398	0.13916016
-40.026672	-221.9471	0.14892578
-40.026707	-226.01328	0.15869141
-40.024895	-223.14148	0.16845703
-40.024517	-226.75211	0.17822266
-40.023609	-225.01382	0.18798828
-40.02354	-221.40775	0.19775391
-40.022606	-219.32176	0.20751953
-40.021099	-216.97049	0.21728516
-40.019619	-222.95074	0.22705078
-40.020863	-222.94235	0.23681641
-40.02002	-221.12434	0.24658203
-40.018406	-219.13937	0.25634766
-40.017265	-216.96588	0.26611328
-40.017864	-217.44226	0.27587891
-40.016262	-216.97586	0.28564453
-40.015324	-216.8266	0.29541016
-40.013855	-219.11453	0.30517578
-40.013527	-219.05754	0.31494141
-40.012905	-214.60585	0.32470703
-40.011108	-211.22125	0.33447266
-40.010117	-211.19418	0.34423828
-40.010723	-214.75867	0.35400391
-40.010025	-215.34628	0.36376953
-40.008553	-213.5085	0.37353516
-40.008747	-213.14383	0.38330078
-40.007576	-210.15009	0.39306641
-40.006142	-209.8013	0.40283203
-40.006023	-207.57835	0.41259766
-40.004608	-209.27934	0.42236328
-40.00457	-213.82439	0.43212891
-40.004097	-211.75464	0.44189453
-40.002628	-206.53397	0.45166016
-40.001793	-204.51118	0.46142578
-40.000267	-202.27034	0.47119141
-40.00042	-207.70209	0.48095703
-39.999241	-208.29832	0.49072266
-39.997795	-205.98221	0.50048828
-39.998005	-207.46123	0.51025391
-39.996674	-200.85625	0.52001953
-39.995903	-199.02983	0.52978516
-39.994518	-200.89511	0.53955078
-39.994003	-204.56104	0.54931641
-39.993053	-208.42809	0.55908203
-39.99258	-201.18156	0.56884766
-39.991295	-198.74724	0.57861328
-39.991589	-197.11536	0.58837891
-39.990307	-197.50954	0.59814453
-39.988857	-201.45158	0.60791016
-39.988922	-199.71043	0.61767578
-39.987072	-202.04575	0.62744141
-39.986401	-197.43805	0.63720703
-39.985584	-192.35298	0.64697266
-39.985443	-192.28296	0.65673828
-39.984489	-195.24419	0.66650391
-39.981838	-199.98813	0.67626953
-39.983192	-199.11205	0.68603516
-39.981678	-193.47057	0.69580078
-39.981266	-191.07034	0.70556641
-39.980442	-191.08122	0.71533203
-39.979755	-192.53198	0.72509766
-39.979012	-193.44446	0.73486328
-39.977757	-194.35072	0.74462891
-39.97723	-192.269	0.75439453
-39.976482	-189.45602	0.76416016
-39.975048	-185.66345	0.77392578
-39.973896	-186.65489	0.78369141
-39.974419	-191.96794	0.79345703
-39.972618	-192.78435	0.80322266
-39.972416	-189.69002	0.81298828
-39.971313	-185.87875	0.82275391
-39.970722	-185.62924	0.83251953
-39.969177	-186.05254	0.84228516
-39.969357	-183.41722	0.85205078
-39.968723	-187.22325	0.86181641
-39.967457	-184.20131	0.87158203
-39.965904	-185.56079	0.88134766
-39.965439	-182.21628	0.89111328
-39.963894	-178.28265	0.90087891
-39.963623	-182.07439	0.91064453
-39.962841	-182.14594	0.92041016
-39.961636	-182.9536	0.93017578
-39.961788	-181.60526	0.93994141
-39.960518	-178.9787	0.94970703
-39.959995	-179.09671	0.95947266
-39.960537	-176.63268	0.96923828
-39.958485	-176.48767	0.97900391
-39.957161	-180.31358	0.98876953
-39.95718	-180.13863	0.99853516
-39.955849	-176.04042	1.0083008
-39.955349	-172.79372	1.0180664
-39.954788	-171.7666	1.027832
-39.953579	-173.67017	1.0375977
-39.952068	-175.4191	1.0473633
-39.952572	-174.0842	1.0571289
-39.950901	-174.67577	1.0668945
-39.949379	-172.12413	1.0766602
-39.949471	-168.5209	1.0864258
-39.947613	-167.41449	1.0961914
-39.948318	-170.77325	1.105957
-39.946846	-174.70645	1.1157227
-39.946358	-173.91582	1.1254883
-39.944767	-166.59589	1.1352539
-39.943649	-167.10399	1.1450195
-39.944183	-163.71535	1.1547852
-39.943222	-169.1461	1.1645508
-39.941521	-167.56204	1.1743164
-39.94072	-168.59209	1.184082
-39.941814	-169.88182	1.1938477
-39.939198	-162.60645	1.2036133
-39.939415	-160.79428	1.2133789
-39.937817	-160.83699	1.2231445
-39.936913	-164.85185	1.2329102
-39.936039	-169.16498	1.2426758
-39.935265	-163.92377	1.2524414
-39.934479	-159.67679	1.262207
-39.934307	-157.38153	1.2719727
-39.933445	-157.22685	1.2817383
-39.932598	-161.48871	1.2915039
-39.930916	-159.81146	1.3012695
-39.930782	-164.10593	1.3110352
-39.929707	-157.55684	1.3208008
-39.929031	-154.93399	1.3305664
-39.927486	-152.6787	1.340332
-39.927544	-154.77013	1.3500977
-39.926655	-159.42467	1.3598633
-39.925552	-159.53963	1.3696289
-39.925076	-153.75104	1.3793945
-39.923691	-152.17374	1.3891602
-39.923141	-151.04596	1.3989258
-39.922493	-153.18512	1.4086914
-39.921722	-152.58984	1.418457
-39.921646	-153.92021	1.4282227
-39.919994	-153.89944	1.4379883
-39.919552	-151.44693	1.4477539
-39.919006	-144.97247	1.4575195
-39.917252	-147.62755	1.4672852
-39.915707	-150.28929	1.4770508
-39.916149	-151.5134	1.4868164
-39.913681	-150.38176	1.496582
-39.913464	-146.36917	1.5063477
-39.913315	-147.38274	1.5161133
-39.913155	-145.70383	1.5258789
-39.912056	-143.51157	1.5356445
-39.911125	-146.73849	1.5454102
-39.910328	-145.93611	1.5551758
-39.909794	-148.67661	1.5649414
-39.907475	-142.78331	1.574707
-39.908379	-138.35648	1.5844727
-39.906563	-142.62874	1.5942383
-39.906746	-140.34366	1.6040039
-39.903847	-143.06345	1.6137695
-39.905102	-143.34401	1.6235352
-39.903175	-140.13356	1.6333008
-39.903023	-141.61748	1.6430664
-39.902718	-136.14767	1.652832
-39.901299	-136.0739	1.6625977
-39.900421	-138.73578	1.6723633
-39.900871	-139.53799	1.6821289
-39.899242	-140.33591	1.6918945
