MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_4545_r0			Time:	20.017578	s	4/13/2019 6:50:46 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	Type IV_Monotonic.tst
Displacement	Force	Running Time
mm	N	s
-40.045982	-48.10844	0.022460938
-40.046265	-48.963615	0.032226563
-40.045105	-44.083488	0.041992188
-40.046291	-44.632648	0.051757813
-40.046566	-43.994377	0.061523438
-40.04718	-46.2579	0.071289063
-40.04657	-48.219849	0.081054688
-40.045822	-46.985725	0.090820313
-40.045795	-49.124577	0.10058594
-40.046196	-44.0499	0.11035156
-40.043316	-39.600071	0.12011719
-40.043839	-38.884796	0.12988281
-40.042095	-45.008942	0.13964844
-40.041714	-50.228222	0.14941406
-40.041443	-44.014694	0.15917969
-40.038887	-40.884926	0.16894531
-40.039524	-39.62962	0.17871094
-40.038128	-38.877518	0.18847656
-40.038254	-39.339275	0.19824219
-40.037689	-40.791355	0.20800781
-40.035641	-45.934147	0.21777344
-40.034248	-39.527542	0.22753906
-40.034023	-37.52121	0.23730469
-40.034565	-34.177891	0.24707031
-40.032429	-34.140202	0.25683594
-40.032436	-42.110287	0.26660156
-40.03096	-38.887756	0.27636719
-40.030735	-37.059273	0.28613281
-40.028698	-33.955559	0.29589844
-40.028587	-32.890385	0.30566406
-40.02668	-33.975201	0.31542969
-40.026558	-31.740755	0.32519531
-40.026752	-35.489231	0.33496094
-40.024715	-35.212517	0.34472656
-40.024399	-32.120728	0.35449219
-40.02459	-28.320187	0.36425781
-40.021755	-24.943737	0.37402344
-40.022968	-31.534788	0.38378906
-40.021881	-30.255089	0.39355469
-40.019974	-29.586349	0.40332031
-40.020317	-29.157825	0.41308594
-40.018692	-27.189449	0.42285156
-40.017059	-26.854053	0.43261719
-40.016815	-24.922764	0.44238281
-40.017769	-25.809309	0.45214844
-40.016628	-27.916695	0.46191406
-40.015003	-29.160828	0.47167969
-40.014832	-24.835581	0.48144531
-40.012909	-20.880144	0.49121094
-40.012165	-23.310984	0.50097656
-40.011341	-22.22101	0.51074219
-40.011276	-24.579281	0.52050781
-40.011471	-25.003931	0.53027344
-40.009071	-23.273575	0.54003906
-40.008709	-22.454826	0.54980469
-40.00745	-17.358389	0.55957031
-40.00679	-17.361042	0.56933594
-40.007675	-17.967121	0.57910156
-40.004669	-23.443872	0.58886719
-40.003986	-22.226583	0.59863281
-40.002419	-15.935247	0.60839844
-40.002327	-15.342052	0.61816406
-40.001331	-13.13493	0.62792969
-40.001846	-14.914987	0.63769531
-40.000587	-18.194777	0.64746094
-39.999729	-17.581362	0.65722656
-39.998878	-19.271202	0.66699219
-39.998398	-11.883318	0.67675781
-39.996498	-9.6091452	0.68652344
-39.996487	-10.688937	0.69628906
-39.994545	-14.391626	0.70605469
-39.993736	-19.375856	0.71582031
-39.993141	-12.082397	0.72558594
-39.993252	-9.5384712	0.73535156
-39.99184	-9.6475801	0.74511719
-39.990353	-7.0405393	0.75488281
-39.990635	-10.693649	0.76464844
-39.990059	-10.916632	0.77441406
-39.987606	-14.249095	0.78417969
-39.988697	-8.3439455	0.79394531
-39.987328	-4.1430936	0.80371094
-39.987331	-3.141361	0.81347656
-39.986206	-7.0852499	0.82324219
-39.984417	-11.661785	0.83300781
-39.982796	-8.8640862	0.84277344
-39.983284	-4.1099415	0.85253906
-39.981998	-3.2333503	0.86230469
-39.981434	-2.1658831	0.87207031
-39.981037	-2.0826452	0.88183594
-39.980762	-3.6207061	0.89160156
-39.977848	-8.0307961	0.90136719
-39.978512	-3.7897086	0.91113281
-39.977276	-2.2777781	0.92089844
-39.977104	4.5300207	0.93066406
-39.974545	3.2561312	0.94042969
-39.973896	-2.7890012	0.95019531
-39.973801	-1.2578175	0.95996094
-39.973034	-0.60771978	0.96972656
-39.972546	2.2353525	0.97949219
-39.971748	3.0739961	0.98925781
-39.97081	2.3526123	0.99902344
-39.969242	7.3717465	1.0087891
-39.969326	1.6131456	1.0185547
-39.968594	0.75445104	1.0283203
-39.967907	2.8546596	1.0380859
-39.967163	5.7652788	1.0478516
-39.965557	10.656403	1.0576172
-39.965034	6.303875	1.0673828
-39.963875	5.6460199	1.0771484
-39.963337	6.8253927	1.0869141
-39.963673	5.60741	1.0966797
-39.961918	7.9351783	1.1064453
-39.961063	9.760993	1.1162109
-39.960388	13.452206	1.1259766
-39.959488	12.196359	1.1357422
-39.958241	8.6433773	1.1455078
-39.957531	7.8233352	1.1552734
-39.957008	9.3669052	1.1650391
-39.956516	15.97578	1.1748047
-39.954552	15.8578	1.1845703
-39.953472	16.416578	1.1943359
-39.953239	14.034643	1.2041016
-39.952366	12.311786	1.2138672
-39.95113	12.282796	1.2236328
-39.951477	12.713101	1.2333984
-39.950474	18.092482	1.2431641
-39.948914	21.179054	1.2529297
-39.948654	18.585258	1.2626953
-39.947147	14.346642	1.2724609
-39.947628	14.030396	1.2822266
-39.946529	18.524984	1.2919922
-39.94511	19.883995	1.3017578
-39.945244	23.447834	1.3115234
-39.942978	19.821371	1.3212891
-39.942635	19.248652	1.3310547
-39.940567	19.036787	1.3408203
-39.942059	15.866464	1.3505859
-39.941433	23.225908	1.3603516
-39.939461	26.174305	1.3701172
-39.938515	26.26372	1.3798828
-39.937805	22.790213	1.3896484
-39.937408	17.585676	1.3994141
-39.936066	23.90831	1.4091797
-39.935211	27.126707	1.4189453
-39.935314	28.653582	1.4287109
-39.93449	29.914371	1.4384766
-39.932835	26.073221	1.4482422
-39.93243	27.813322	1.4580078
-39.933693	21.15383	1.4677734
-39.931248	26.299772	1.4775391
-39.931248	31.404879	1.4873047
-39.929104	33.779812	1.4970703
-39.927883	32.742466	1.5068359
-39.926338	24.385883	1.5166016
-39.92728	26.63925	1.5263672
-39.925064	29.827579	1.5361328
-39.924442	32.472439	1.5458984
-39.923336	34.628159	1.5556641
-39.922905	33.074436	1.5654297
-39.923157	34.947426	1.5751953
-39.920479	30.476492	1.5849609
-39.921597	32.56488	1.5947266
-39.920391	33.980465	1.6044922
-39.921314	37.95615	1.6142578
-39.917702	40.391029	1.6240234
-39.917152	34.506065	1.6337891
-39.916824	36.337978	1.6435547
-39.916058	36.534069	1.6533203
-39.915993	37.4091	1.6630859
-39.912849	38.738914	1.6728516
-39.9133	40.122093	1.6826172
-39.912495	42.12196	1.6923828
-39.912136	40.098061	1.7021484
-39.910809	39.13744	1.7119141
-39.910732	36.632687	1.7216797
