MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.018799	s	4/15/2019 4:00:09 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9803934	-125.7766	0.022705078
9.9800997	-123.47543	0.032470703
9.9804144	-124.88477	0.042236328
9.9804363	-126.72892	0.052001953
9.9810562	-126.88348	0.061767578
9.9818439	-128.62697	0.071533203
9.9812393	-120.59208	0.081298828
9.9804449	-121.80591	0.091064453
9.9807005	-120.57947	0.10083008
9.9821606	-125.75977	0.1105957
9.9828873	-130.20657	0.12036133
9.9839268	-126.44951	0.13012695
9.9852753	-125.52695	0.13989258
9.9858255	-119.03659	0.1496582
9.985754	-116.81866	0.15942383
9.9877653	-120.07729	0.16918945
9.9881907	-124.59601	0.17895508
9.9883184	-130.03946	0.1887207
9.9896631	-124.76842	0.19848633
9.9904041	-115.27317	0.20825195
9.9917059	-117.32115	0.21801758
9.9920387	-118.05891	0.2277832
9.9936771	-123.89705	0.23754883
9.9936857	-124.47787	0.24731445
9.9950867	-123.12437	0.25708008
9.9948454	-117.79835	0.2668457
9.9962931	-115.66277	0.27661133
9.9976368	-114.99343	0.28637695
9.9973211	-118.91343	0.29614258
9.9985933	-125.87461	0.3059082
9.9991627	-122.10986	0.31567383
10.000557	-115.75913	0.32543945
10.002256	-113.27184	0.33520508
10.002415	-114.20209	0.3449707
10.003448	-118.98203	0.35473633
10.003702	-117.11256	0.36450195
10.004675	-121.89576	0.37426758
10.005146	-116.80024	0.3840332
10.006434	-115.29905	0.39379883
10.007206	-112.15144	0.40356445
10.0076	-109.30687	0.41333008
10.008829	-118.94873	0.4230957
10.008617	-116.79623	0.43286133
10.010218	-117.54428	0.44262695
10.011757	-112.46022	0.45239258
10.011592	-108.96433	0.4621582
10.012918	-112.33767	0.47192383
10.014026	-111.07957	0.48168945
10.01368	-114.4948	0.49145508
10.01523	-116.46323	0.5012207
10.015946	-112.13549	0.51098633
10.016469	-112.52391	0.52075195
10.017076	-104.24906	0.53051758
10.019324	-109.97597	0.5402832
10.018872	-111.87313	0.55004883
10.018803	-113.61682	0.55981445
10.020636	-112.86457	0.56958008
10.022026	-105.76485	0.5793457
10.02144	-107.28658	0.58911133
10.02209	-107.0274	0.59887695
10.024106	-105.98426	0.60864258
10.025119	-112.75253	0.6184082
10.025157	-112.54008	0.62817383
10.026369	-110.71089	0.63793945
10.027489	-102.93324	0.64770508
10.028004	-102.29775	0.6574707
10.029083	-105.65076	0.66723633
10.029076	-110.54901	0.67700195
10.029363	-111.40885	0.68676758
10.030737	-106.74199	0.6965332
10.032237	-106.20084	0.70629883
10.0332	-99.713455	0.71606445
10.033793	-101.64365	0.72583008
10.03465	-103.69003	0.7355957
10.035522	-106.8483	0.74536133
10.036119	-110.08975	0.75512695
10.036068	-102.89633	0.76489258
10.03721	-99.089371	0.7746582
10.038197	-97.422455	0.78442383
10.040069	-100.842	0.79418945
10.039555	-108.41451	0.80395508
10.04147	-104.3682	0.8137207
10.042402	-105.996	0.82348633
10.042253	-98.077492	0.83325195
10.04411	-94.883904	0.84301758
10.044362	-97.886055	0.8527832
10.045562	-98.963867	0.86254883
10.04681	-106.5646	0.87231445
10.046373	-101.92559	0.88208008
10.048522	-94.600975	0.8918457
10.048121	-94.007324	0.90161133
10.049169	-93.098122	0.91137695
10.049314	-99.704239	0.92114258
10.050957	-100.25468	0.9309082
10.052186	-99.893929	0.94067383
10.05254	-97.424019	0.95043945
10.054079	-93.284393	0.96020508
10.054317	-91.489388	0.9699707
10.053779	-92.714462	0.97973633
10.056872	-100.93792	0.98950195
10.057016	-100.99952	0.99926758
10.056836	-96.100937	1.0090332
10.057876	-91.652306	1.0187988
10.058721	-89.857262	1.0285645
10.061115	-92.454025	1.0383301
10.061203	-93.566513	1.0480957
10.061198	-96.079201	1.0578613
10.062731	-96.23085	1.067627
10.062379	-92.785522	1.0773926
10.06342	-89.065956	1.0871582
10.064466	-85.138405	1.0969238
10.066746	-92.271935	1.1066895
10.066089	-91.856476	1.1164551
10.067624	-95.829773	1.1262207
10.067766	-90.653824	1.1359863
10.069395	-86.094147	1.145752
10.069656	-88.44722	1.1555176
10.070932	-86.11441	1.1652832
10.071359	-89.316116	1.1750488
10.072028	-92.182449	1.1848145
10.073196	-89.002365	1.1945801
10.073609	-90.376755	1.2043457
10.073767	-81.98027	1.2141113
10.075963	-83.549431	1.223877
10.076114	-86.0998	1.2336426
10.077244	-89.054192	1.2434082
10.076997	-90.895096	1.2531738
10.077311	-84.114357	1.2629395
10.079679	-85.866982	1.2727051
10.080903	-81.275658	1.2824707
10.080435	-81.460754	1.2922363
10.081519	-86.973503	1.302002
10.083071	-87.894562	1.3117676
10.083119	-88.137138	1.3215332
10.084237	-82.692825	1.3312988
10.085147	-78.320236	1.3410645
10.085349	-79.496994	1.3508301
10.086145	-83.341614	1.3605957
10.087008	-87.252975	1.3703613
10.0886	-84.428085	1.380127
10.088941	-83.146248	1.3898926
10.089879	-76.361137	1.3996582
10.090265	-76.124359	1.4094238
10.092116	-75.880844	1.4191895
10.092664	-83.377159	1.4289551
10.093846	-86.35759	1.4387207
10.093158	-79.992279	1.4484863
10.094981	-74.771057	1.458252
10.095611	-72.012329	1.4680176
10.096608	-75.404007	1.4777832
10.097314	-80.446159	1.4875488
10.09719	-79.339989	1.4973145
10.098596	-82.082253	1.5070801
10.100125	-75.515335	1.5168457
10.100375	-71.930717	1.5266113
10.101299	-73.469093	1.536377
10.102053	-72.358269	1.5461426
10.102457	-81.038216	1.5559082
10.103582	-78.945915	1.5656738
10.104766	-71.710434	1.5754395
10.105346	-70.021011	1.5852051
10.107143	-68.220917	1.5949707
10.107803	-74.851524	1.6047363
10.107487	-74.165886	1.614502
10.108838	-75.190109	1.6242676
10.109502	-75.206741	1.6340332
10.110336	-68.556915	1.6437988
10.111383	-68.44796	1.6535645
10.112037	-66.519173	1.6633301
10.113193	-72.651634	1.6730957
10.113275	-73.996109	1.6828613
10.113949	-71.520386	1.692627
10.114122	-67.537033	1.7023926
10.116445	-64.788795	1.7121582
10.116956	-66.491692	1.7219238
10.118093	-67.500664	1.7316895
10.117896	-69.307793	1.7414551
10.120028	-70.902145	1.7512207
10.118934	-68.68557	1.7609863
10.120254	-67.442238	1.770752
10.122181	-60.352669	1.7805176
