MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_4545_r0			Time:	20.019043	s	4/13/2019 8:32:31 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034286	-193.4171	0.022949219
-40.033836	-193.80652	0.032714844
-40.034256	-192.67458	0.042480469
-40.03389	-194.91705	0.052246094
-40.034107	-193.80368	0.062011719
-40.032299	-190.30164	0.071777344
-40.03112	-188.33409	0.081542969
-40.032219	-190.61131	0.091308594
-40.029949	-194.16814	0.10107422
-40.02964	-192.27861	0.11083984
-40.027981	-188.144	0.12060547
-40.028389	-189.78043	0.13037109
-40.0275	-185.91371	0.14013672
-40.026466	-187.46313	0.14990234
-40.025528	-188.10266	0.15966797
-40.024677	-189.82616	0.16943359
-40.023907	-191.97043	0.17919922
-40.023228	-183.5531	0.18896484
-40.021969	-180.75085	0.19873047
-40.021687	-181.33914	0.20849609
-40.019806	-184.40741	0.21826172
-40.019279	-188.59152	0.22802734
-40.018974	-181.4996	0.23779297
-40.018181	-181.50273	0.24755859
-40.017445	-178.59508	0.25732422
-40.016216	-178.71716	0.26708984
-40.015457	-181.14131	0.27685547
-40.013302	-180.94478	0.28662109
-40.014648	-184.29883	0.29638672
-40.013687	-179.58652	0.30615234
-40.013363	-173.94719	0.31591797
-40.012222	-173.76523	0.32568359
-40.010944	-175.98035	0.33544922
-40.010979	-179.71063	0.34521484
-40.009289	-179.03238	0.35498047
-40.009762	-176.74272	0.36474609
-40.007469	-173.66457	0.37451172
-40.006466	-172.05437	0.38427734
-40.006348	-174.14575	0.39404297
-40.005985	-173.79987	0.40380859
-40.004337	-176.62119	0.41357422
-40.00338	-173.87355	0.42333984
-40.003448	-171.80547	0.43310547
-40.000931	-165.98671	0.44287109
-40.000614	-168.02701	0.45263672
-39.999775	-170.91483	0.46240234
-39.998577	-171.39064	0.47216797
-39.999523	-171.04498	0.48193359
-39.997566	-167.86559	0.49169922
-39.997253	-165.95613	0.50146484
-39.997143	-165.44417	0.51123047
-39.9963	-163.12022	0.52099609
-39.99509	-167.33763	0.53076172
-39.993572	-166.57162	0.54052734
-39.993069	-166.26836	0.55029297
-39.993004	-163.72406	0.56005859
-39.990784	-158.76678	0.56982422
-39.990509	-162.4189	0.57958984
-39.989365	-161.34477	0.58935547
-39.989166	-163.57265	0.59912109
-39.988297	-163.2182	0.60888672
-39.987614	-161.27997	0.61865234
-39.986835	-161.18492	0.62841797
-39.986454	-158.11357	0.63818359
-39.984505	-156.85049	0.64794922
-39.983574	-161.43198	0.65771484
-39.983654	-160.6244	0.66748047
-39.982662	-160.74858	0.67724609
-39.982819	-155.21805	0.68701172
-39.980293	-154.1866	0.69677734
-39.979828	-153.98187	0.70654297
-39.979004	-155.01041	0.71630859
-39.978912	-155.05135	0.72607422
-39.977558	-156.45633	0.73583984
-39.977844	-156.20792	0.74560547
-39.975742	-150.72243	0.75537109
-39.974861	-147.08757	0.76513672
-39.975189	-149.04431	0.77490234
-39.973789	-152.7424	0.78466797
-39.972668	-155.05858	0.79443359
-39.971195	-150.36119	0.80419922
-39.972073	-148.65021	0.81396484
-39.971066	-144.25165	0.82373047
-39.969475	-146.54683	0.83349609
-39.969349	-147.55638	0.84326172
-39.969654	-149.55234	0.85302734
-39.967285	-151.20961	0.86279297
-39.966534	-144.07109	0.87255859
-39.964962	-141.08998	0.88232422
-39.965454	-139.67749	0.89208984
-39.963383	-143.40897	0.90185547
-39.963337	-147.91698	0.91162109
-39.962208	-144.62502	0.92138672
-39.961178	-141.45706	0.93115234
-39.961525	-138.60266	0.94091797
-39.959763	-137.13239	0.95068359
-39.958424	-138.75751	0.96044922
-39.957806	-139.08099	0.97021484
-39.957096	-144.15849	0.97998047
-39.954987	-140.10443	0.98974609
-39.955952	-135.24571	0.99951172
-39.955532	-134.34531	1.0092773
-39.953808	-132.89964	1.019043
-39.954468	-140.30135	1.0288086
-39.952473	-138.97612	1.0385742
-39.952255	-136.67812	1.0483398
-39.951855	-134.61153	1.0581055
-39.949638	-132.14734	1.0678711
-39.948345	-133.09273	1.0776367
-39.948605	-131.31047	1.0874023
-39.947666	-134.21191	1.097168
-39.946201	-134.23569	1.1069336
-39.94648	-132.86774	1.1166992
-39.945145	-128.91965	1.1264648
-39.944256	-127.23618	1.1362305
-39.944447	-130.48741	1.1459961
-39.943233	-129.94542	1.1557617
-39.94244	-130.18481	1.1655273
-39.941338	-127.77039	1.175293
-39.940201	-127.35179	1.1850586
-39.940742	-127.74271	1.1948242
-39.939804	-122.1853	1.2045898
-39.938084	-126.12399	1.2143555
-39.936089	-126.54372	1.2241211
-39.93671	-127.9452	1.2338867
-39.935154	-125.31615	1.2436523
-39.935883	-120.18133	1.253418
-39.933418	-122.69885	1.2631836
-39.933411	-120.47308	1.2729492
-39.930687	-122.65858	1.2827148
-39.932632	-122.99395	1.2924805
-39.930599	-122.3717	1.3022461
-39.929237	-122.24255	1.3120117
-39.928783	-115.42859	1.3217773
-39.927738	-115.36471	1.331543
-39.927174	-116.36613	1.3413086
-39.92651	-121.66623	1.3510742
-39.926113	-122.66357	1.3608398
-39.924984	-116.31377	1.3706055
-39.923611	-114.91335	1.3803711
-39.923962	-111.06511	1.3901367
-39.921967	-112.81208	1.3999023
-39.921497	-117.09427	1.409668
-39.921001	-116.53316	1.4194336
-39.920197	-117.09378	1.4291992
-39.918446	-111.8073	1.4389648
-39.91914	-107.12133	1.4487305
-39.917988	-106.64834	1.4584961
-39.91647	-111.58921	1.4682617
-39.91626	-116.22658	1.4780273
-39.915638	-111.51149	1.487793
-39.913448	-108.14323	1.4975586
-39.913284	-106.36809	1.5073242
-39.912952	-104.73941	1.5170898
-39.911518	-107.28158	1.5268555
-39.911461	-107.27277	1.5366211
-39.910419	-112.51801	1.5463867
-39.909462	-104.40399	1.5561523
-39.90802	-102.47015	1.565918
-39.906937	-99.353966	1.5756836
-39.905815	-102.19742	1.5854492
-39.905281	-107.24862	1.5952148
-39.905613	-105.80996	1.6049805
-39.903755	-104.64046	1.6147461
-39.904099	-100.02876	1.6245117
-39.90295	-97.378693	1.6342773
-39.901638	-98.610779	1.644043
-39.901943	-97.891815	1.6538086
-39.900265	-104.09234	1.6635742
-39.899673	-102.14249	1.6733398
-39.899685	-98.596909	1.6831055
-39.898388	-94.758606	1.6928711
