Data Header:			0.254_solid_uprint_typei_4545_r0			Time:	20.017822	s	4/14/2019 4:25:27 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.099349	-27.474987	1.7509766
10.100105	-36.787533	1.7607422
10.100395	-35.532158	1.7705078
10.101065	-22.47407	1.7802734
10.10195	-14.730812	1.7900391
10.101673	-13.088479	1.7998047
10.103054	-20.523539	1.8095703
10.103807	-29.047089	1.8193359
10.105512	-35.081047	1.8291016
10.105551	-25.546463	1.8388672
10.106435	-15.490941	1.8486328
10.108087	-6.1728239	1.8583984
10.108328	-14.059534	1.8681641
10.110016	-24.526949	1.8779297
10.110293	-29.530712	1.8876953
10.110553	-25.809486	1.8974609
10.111717	-13.834605	1.9072266
10.112508	-9.6034698	1.9169922
10.113832	-7.5852046	1.9267578
10.114214	-15.132138	1.9365234
10.115008	-26.192459	1.9462891
10.115037	-23.207508	1.9560547
10.116758	-16.821035	1.9658203
10.117745	-5.0434642	1.9755859
10.118655	-2.3916411	1.9853516
10.118725	-11.094448	1.9951172
10.119486	-16.969511	2.0048828
10.121519	-22.403933	2.0146484
10.121984	-16.313231	2.0244141
10.122712	-7.0772958	2.0341797
10.12324	-3.0429404	2.0439453
10.12382	-1.0698515	2.0537109
10.12407	-11.058614	2.0634766
10.125777	-19.102726	2.0732422
10.126859	-18.828562	2.0830078
10.127781	-8.3925915	2.0927734
10.128606	2.3566515	2.1025391
10.128304	1.3763264	2.1123047
10.130257	-4.3405986	2.1220703
10.130067	-11.142774	2.1318359
10.131335	-13.574327	2.1416016
10.131774	-9.6108236	2.1513672
10.132079	-0.7952922	2.1611328
10.133748	5.3086777	2.1708984
10.133985	6.3054075	2.1806641
10.135991	-4.2517991	2.1904297
10.135653	-13.538876	2.2001953
10.137283	-10.081126	2.2099609
10.139221	0.86802393	2.2197266
10.138005	8.3603983	2.2294922
10.138985	10.773123	2.2392578
10.140989	0.59336096	2.2490234
10.140721	-3.9162171	2.2587891
10.141135	-8.2022438	2.2685547
10.142467	-4.1105113	2.2783203
10.143244	8.2718058	2.2880859
10.144029	14.479417	2.2978516
10.145303	10.27434	2.3076172
10.145741	-2.9008136	2.3173828
10.146626	-8.0299263	2.3271484
10.148464	1.0353384	2.3369141
10.147876	9.0101433	2.3466797
10.148965	17.177343	2.3564453
10.15062	14.654768	2.3662109
10.15084	5.2749453	2.3759766
10.151259	-2.3423426	2.3857422
10.153147	-4.6374559	2.3955078
10.152794	9.4500399	2.4052734
10.153138	18.849031	2.4150391
10.154552	21.758848	2.4248047
10.156661	13.410686	2.4345703
10.156321	-0.33988196	2.4443359
10.157678	0.37766978	2.4541016
10.157857	11.295843	2.4638672
10.158688	17.838316	2.4736328
10.160349	23.887047	2.4833984
10.160529	18.182409	2.4931641
10.161908	10.543803	2.5029297
10.162487	2.5867178	2.5126953
10.16243	6.1355872	2.5224609
10.164169	17.052647	2.5322266
10.164675	27.784687	2.5419922
10.164943	25.313263	2.5517578
10.166047	14.149199	2.5615234
10.167282	6.8745565	2.5712891
10.168691	10.041704	2.5810547
10.168569	18.067274	2.5908203
10.169947	23.383638	2.6005859
10.170451	29.67518	2.6103516
10.171334	24.894066	2.6201172
10.172338	14.317497	2.6298828
10.17203	13.405631	2.6396484
10.173637	13.75942	2.6494141
10.173813	27.708622	2.6591797
10.17538	33.964085	2.6689453
10.174746	27.614685	2.6787109
10.176089	22.799891	2.6884766
10.177769	15.057182	2.6982422
10.178581	17.440287	2.7080078
10.179245	23.653309	2.7177734
10.180382	30.849463	2.7275391
10.18119	38.40424	2.7373047
10.181449	29.531609	2.7470703
10.182356	20.809795	2.7568359
10.182286	16.658123	2.7666016
10.184029	22.269497	2.7763672
10.185115	36.086872	2.7861328
10.186491	38.046848	2.7958984
10.186881	35.90321	2.8056641
10.187105	27.52165	2.8154297
10.187922	20.680429	2.8251953
10.188603	23.213346	2.8349609
10.188917	31.002827	2.8447266
10.190599	40.442616	2.8544922
10.191593	44.961044	2.8642578
10.192326	35.693459	2.8740234
10.192713	24.640846	2.8837891
10.193515	23.021029	2.8935547
10.193709	31.22529	2.9033203
10.195227	42.032398	2.9130859
10.195555	47.90218	2.9228516
10.195945	42.696323	2.9326172
10.197619	33.184078	2.9423828
10.198207	27.449934	2.9521484
10.199857	29.450893	2.9619141
10.200598	42.673466	2.9716797
10.20013	50.253647	2.9814453
10.202074	50.545753	2.9912109
10.202851	36.728165	3.0009766
10.203306	30.790331	3.0107422
10.204161	34.066128	3.0205078
10.205626	39.225296	3.0302734
10.205984	53.330894	3.0400391
10.206758	52.708256	3.0498047
10.207232	48.219517	3.0595703
10.208547	39.572857	3.0693359
10.210012	30.744438	3.0791016
10.210564	41.262535	3.0888672
10.210684	51.404381	3.0986328
10.212887	59.444469	3.1083984
10.212667	52.00412	3.1181641
10.214115	40.440533	3.1279297
10.214306	38.255928	3.1376953
10.214597	40.216709	3.1474609
10.215271	51.49427	3.1572266
10.216827	59.27137	3.1669922
10.217336	59.571503	3.1767578
10.217481	52.359188	3.1865234
10.219529	39.63517	3.1962891
10.219584	40.263706	3.2060547
10.220122	50.065613	3.2158203
10.221294	60.483326	3.2255859
10.222238	63.51038	3.2353516
10.223054	55.234421	3.2451172
10.223611	47.446171	3.2548828
10.223938	47.749847	3.2646484
10.225555	49.09816	3.2744141
10.22692	59.213612	3.2841797
10.226625	67.738075	3.2939453
10.227651	64.93605	3.3037109
10.228588	54.231037	3.3134766
10.230066	47.590824	3.3232422
10.229551	47.559841	3.3330078
10.230759	60.237293	3.3427734
10.232471	66.624886	3.3525391
10.232561	67.126663	3.3623047
10.233572	63.628433	3.3720703
10.234403	55.398281	3.3818359
10.235233	53.386139	3.3916016
10.236217	55.824841	3.4013672
10.237139	65.515152	3.4111328
10.23706	74.210472	3.4208984
10.23871	70.466644	3.4306641
10.239768	62.334614	3.4404297
10.240439	52.41399	3.4501953
10.241526	57.177227	3.4599609
10.242806	68.525185	3.4697266
10.241714	72.606567	3.4794922
10.243531	76.728271	3.4892578
10.244605	68.1185	3.4990234
10.245299	59.538681	3.5087891
10.246376	59.291222	3.5185547
10.246408	63.203968	3.5283203
10.247376	75.394798	3.5380859
10.248425	81.941467	3.5478516
10.248896	74.681091	3.5576172
10.250024	65.600998	3.5673828
10.251748	59.720058	3.5771484
10.250899	65.569374	3.5869141
10.253757	74.450699	3.5966797
10.253058	82.895317	3.6064453
10.254731	83.35347	3.6162109
10.25572	74.052002	3.6259766
10.256463	65.551819	3.6357422
10.256063	63.90818	3.6455078
10.257362	72.885574	3.6552734
10.257724	86.258369	3.6650391
10.258858	88.446648	3.6748047
10.259461	79.110855	3.6845703
10.259906	70.035301	3.6943359
10.260703	67.578522	3.7041016
10.261974	74.775558	3.7138672
10.263157	85.367241	3.7236328
10.263261	90.176125	3.7333984
10.264646	87.183388	3.7431641
10.264848	76.672966	3.7529297
10.266433	68.21347	3.7626953
10.266172	74.428642	3.7724609
10.267719	83.169678	3.7822266
10.268943	96.14222	3.7919922
10.269116	91.173088	3.8017578
10.27082	83.457977	3.8115234
10.270724	76.076607	3.8212891
10.272306	74.844978	3.8310547
10.273147	84.34819	3.8408203
10.273802	93.086472	3.8505859
10.275481	97.612404	3.8603516
10.274778	94.044739	3.8701172
