MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_090_r0			Time:	20.030518	s	4/13/2019 11:19:04 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.042301	-110.85143	0.035400391
-40.042946	-111.07006	0.045166016
-40.041862	-111.62214	0.054931641
-40.042412	-108.21491	0.064697266
-40.041309	-111.89993	0.074462891
-40.041706	-113.7599	0.084228516
-40.042011	-115.2867	0.093994141
-40.039967	-108.93979	0.10375977
-40.039867	-105.98424	0.11352539
-40.038765	-105.21661	0.12329102
-40.03775	-108.92493	0.13305664
-40.038841	-109.57156	0.14282227
-40.035946	-111.40194	0.15258789
-40.035557	-109.71723	0.16235352
-40.034885	-103.25996	0.17211914
-40.034199	-102.72147	0.18188477
-40.033627	-102.35513	0.19165039
-40.032501	-106.76517	0.20141602
-40.031891	-110.86118	0.21118164
-40.030918	-104.05412	0.22094727
-40.030212	-102.19501	0.23071289
-40.029736	-98.095154	0.24047852
-40.028713	-99.748917	0.25024414
-40.028172	-104.51843	0.26000977
-40.027199	-100.91	0.26977539
-40.026497	-106.83899	0.27954102
-40.02528	-101.22157	0.28930664
-40.02562	-96.926926	0.29907227
-40.022392	-95.671616	0.30883789
-40.021717	-98.199951	0.31860352
-40.022423	-104.38349	0.32836914
-40.020489	-103.62547	0.33813477
-40.01981	-97.924454	0.34790039
-40.019081	-95.92366	0.35766602
-40.018925	-92.903534	0.36743164
-40.018162	-96.784561	0.37719727
-40.01733	-96.385147	0.38696289
-40.016083	-97.768753	0.39672852
-40.015472	-97.389923	0.40649414
-40.013931	-93.549606	0.41625977
-40.014332	-91.864243	0.42602539
-40.01355	-90.674828	0.43579102
-40.01244	-94.021446	0.44555664
-40.012062	-96.189789	0.45532227
-40.010845	-94.744537	0.46508789
-40.011192	-89.376366	0.47485352
-40.007961	-90.023712	0.48461914
-40.008099	-88.803284	0.49438477
-40.007721	-87.662003	0.50415039
-40.007133	-90.772408	0.51391602
-40.005726	-89.739067	0.52368164
-40.005001	-90.552101	0.53344727
-40.004562	-87.118706	0.54321289
-40.003479	-82.85006	0.55297852
-40.002762	-87.997047	0.56274414
-40.001278	-86.996765	0.57250977
-39.999935	-89.549683	0.58227539
-39.99979	-86.302551	0.59204102
-39.999203	-85.11058	0.60180664
-40.000172	-86.515732	0.61157227
-39.997894	-80.409576	0.62133789
-39.996742	-83.352409	0.63110352
-39.996864	-84.470406	0.64086914
-39.994801	-85.355476	0.65063477
-39.995617	-86.711746	0.66040039
-39.993412	-77.775673	0.67016602
-39.992455	-78.395775	0.67993164
-39.992695	-81.187691	0.68969727
-39.991547	-80.610146	0.69946289
-39.990383	-82.687378	0.70922852
-39.989853	-82.037544	0.71899414
-39.988136	-81.721664	0.72875977
-39.987194	-78.295914	0.73852539
-39.988243	-73.931534	0.74829102
-39.98653	-75.911819	0.75805664
-39.986557	-81.41098	0.76782227
-39.985691	-81.907814	0.77758789
-39.983868	-77.044106	0.78735352
-39.983315	-72.750832	0.79711914
-39.981426	-72.481964	0.80688477
-39.981731	-74.479675	0.81665039
-39.980358	-76.503334	0.82641602
-39.979588	-77.855644	0.83618164
-39.978283	-77.74073	0.84594727
-39.97879	-72.048782	0.85571289
-39.97765	-69.678635	0.86547852
-39.976563	-68.836372	0.87524414
-39.975288	-71.112534	0.88500977
-39.974884	-76.784935	0.89477539
-39.973404	-73.663498	0.90454102
-39.973442	-70.441719	0.91430664
-39.972874	-65.497017	0.92407227
-39.970867	-65.823997	0.93383789
-39.971592	-70.011086	0.94360352
-39.96983	-70.008347	0.95336914
-39.96801	-73.291748	0.96313477
-39.968243	-67.944138	0.97290039
-39.967682	-65.806534	0.98266602
-39.967064	-63.598686	0.99243164
-39.966549	-62.600994	1.0021973
-39.965191	-70.05233	1.0119629
-39.964695	-67.459709	1.0217285
-39.964008	-64.516411	1.0314941
-39.962971	-62.993645	1.0412598
-39.961483	-59.415565	1.0510254
-39.962605	-63.95837	1.060791
-39.960857	-62.643936	1.0705566
-39.959999	-63.749023	1.0803223
-39.958496	-64.798637	1.0900879
-39.957729	-61.11903	1.0998535
-39.956909	-58.253178	1.1096191
-39.955555	-55.609596	1.1193848
-39.955181	-60.302341	1.1291504
-39.954922	-60.152843	1.138916
-39.954288	-61.050022	1.1486816
-39.953041	-58.390839	1.1584473
-39.951729	-55.46579	1.1682129
-39.951641	-56.937931	1.1779785
-39.95015	-54.375362	1.1877441
-39.949665	-55.519997	1.1975098
-39.948425	-57.922771	1.2072754
-39.947865	-59.852112	1.217041
-39.946575	-56.133869	1.2268066
-39.946365	-50.960842	1.2365723
-39.946213	-52.559586	1.2463379
-39.944221	-51.160946	1.2561035
-39.944618	-57.594524	1.2658691
-39.943455	-54.306576	1.2756348
-39.942322	-52.394455	1.2854004
-39.942623	-54.887569	1.295166
-39.941219	-47.629932	1.3049316
-39.940659	-48.376732	1.3146973
-39.93853	-50.418674	1.3244629
-39.938057	-52.932503	1.3342285
-39.937599	-53.515293	1.3439941
-39.937386	-48.01506	1.3537598
-39.935356	-44.391125	1.3635254
-39.934971	-45.881908	1.373291
-39.93401	-48.619911	1.3830566
-39.933632	-51.369091	1.3928223
-39.931969	-48.545105	1.4025879
-39.930538	-47.629829	1.4123535
-39.931606	-45.277233	1.4221191
-39.930447	-40.602516	1.4318848
-39.929897	-42.274738	1.4416504
-39.928669	-46.378166	1.451416
-39.928196	-49.926205	1.4611816
-39.926758	-46.936977	1.4709473
-39.925629	-39.333008	1.4807129
-39.926052	-37.681065	1.4904785
-39.924229	-40.376987	1.5002441
-39.923225	-43.148151	1.5100098
-39.923782	-43.930073	1.5197754
-39.923073	-45.051971	1.529541
-39.922234	-39.763096	1.5393066
-39.920708	-37.98682	1.5490723
-39.919529	-35.005886	1.5588379
-39.918716	-38.280952	1.5686035
-39.91898	-43.863468	1.5783691
-39.916409	-40.805988	1.5881348
-39.91573	-37.605686	1.5979004
-39.915268	-31.723139	1.607666
-39.914513	-33.206108	1.6174316
-39.913548	-36.669399	1.6271973
-39.912685	-35.210278	1.6369629
-39.913071	-39.170853	1.6467285
-39.910576	-37.600365	1.6564941
-39.910465	-33.626133	1.6662598
-39.909615	-34.263657	1.6760254
-39.908791	-29.335619	1.685791
-39.908104	-36.090504	1.6955566
-39.908009	-35.825214	1.7053223
