MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_4545_r0			Time:	20.020996	s	4/15/2019 4:05:40 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9800034	-132.30884	0.024414063
9.9794922	-129.04594	0.034179688
9.979702	-126.09932	0.043945313
9.9797297	-124.26273	0.053710938
9.9805574	-126.35006	0.063476563
9.9815092	-132.05147	0.073242188
9.9810743	-132.79405	0.083007813
9.9821177	-127.8594	0.092773438
9.9822397	-127.64521	0.10253906
9.9838476	-125.50776	0.11230469
9.9839401	-124.95889	0.12207031
9.9848671	-124.47003	0.13183594
9.9853086	-127.14419	0.14160156
9.98627	-130.0499	0.15136719
9.9870024	-128.93738	0.16113281
9.9876881	-123.8116	0.17089844
9.9886551	-120.84372	0.18066406
9.9887609	-124.05043	0.19042969
9.9909773	-124.98851	0.20019531
9.9903831	-127.97272	0.20996094
9.9922724	-126.56544	0.21972656
9.9931479	-124.93378	0.22949219
9.9941454	-123.53358	0.23925781
9.9944992	-120.7732	0.24902344
9.996213	-121.80307	0.25878906
9.9963379	-124.30988	0.26855469
9.9971495	-128.53346	0.27832031
9.9977665	-126.4715	0.28808594
9.9990473	-119.1972	0.29785156
9.9985914	-120.05895	0.30761719
10.00063	-117.62908	0.31738281
10.001258	-122.75388	0.32714844
10.001493	-125.75562	0.33691406
10.002355	-122.38767	0.34667969
10.00289	-124.36824	0.35644531
10.004065	-116.99777	0.36621094
10.006415	-115.59986	0.37597656
10.00588	-119.72023	0.38574219
10.006965	-122.53987	0.39550781
10.006652	-125.35815	0.40527344
10.007818	-121.17442	0.41503906
10.008756	-114.92286	0.42480469
10.010248	-114.36452	0.43457031
10.010365	-114.24283	0.44433594
10.011289	-120.47511	0.45410156
10.012455	-121.63694	0.46386719
10.013732	-123.01059	0.47363281
10.013894	-116.26711	0.48339844
10.0149	-111.3477	0.49316406
10.016406	-112.81324	0.50292969
10.016313	-114.91921	0.51269531
10.016565	-121.67222	0.52246094
10.017682	-120.1248	0.53222656
10.019394	-114.19206	0.54199219
10.018742	-111.36597	0.55175781
10.020559	-113.83006	0.56152344
10.021357	-114.82082	0.57128906
10.022493	-116.56048	0.58105469
10.022503	-120.16217	0.59082031
10.022693	-115.48085	0.60058594
10.024755	-111.55618	0.61035156
10.025407	-107.53824	0.62011719
10.026418	-109.79102	0.62988281
10.026425	-117.15389	0.63964844
10.028116	-116.0033	0.64941406
10.028318	-115.75404	0.65917969
10.029835	-109.31222	0.66894531
10.030536	-108.75276	0.67871094
10.03047	-110.78709	0.68847656
10.031067	-108.74562	0.69824219
10.032844	-115.85368	0.70800781
10.032692	-113.95702	0.71777344
10.034411	-110.24663	0.72753906
10.034632	-108.64267	0.73730469
10.035225	-104.77892	0.74707031
10.036993	-110.6871	0.75683594
10.038253	-112.49634	0.76660156
10.038564	-112.04714	0.77636719
10.038661	-110.45114	0.78613281
10.040276	-106.87714	0.79589844
10.040163	-107.00037	0.80566406
10.041778	-105.509	0.81542969
10.042612	-106.06567	0.82519531
10.043171	-110.7282	0.83496094
10.043825	-110.99863	0.84472656
10.044411	-106.76514	0.85449219
10.0458	-102.96775	0.86425781
10.046948	-102.47066	0.87402344
10.047463	-104.46803	0.88378906
10.047664	-106.60082	0.89355469
10.048879	-107.49355	0.90332031
10.049761	-107.54435	0.91308594
10.050123	-104.46793	0.92285156
10.051248	-101.40636	0.93261719
10.051891	-99.261024	0.94238281
10.052151	-102.75594	0.95214844
10.054447	-109.40912	0.96191406
10.054832	-106.60178	0.97167969
10.055578	-101.5385	0.98144531
10.057208	-100.97949	0.99121094
10.05729	-96.952553	1.0009766
10.057624	-101.01317	1.0107422
10.058426	-101.94434	1.0205078
10.058806	-104.78072	1.0302734
10.061192	-105.5877	1.0400391
10.061213	-97.657318	1.0498047
10.061938	-95.475769	1.0595703
10.062889	-96.754402	1.0693359
10.062912	-101.66474	1.0791016
10.063601	-106.49578	1.0888672
10.065814	-102.10474	1.0986328
10.06639	-96.881859	1.1083984
10.067021	-95.491966	1.1181641
10.068414	-94.670464	1.1279297
10.068629	-98.627686	1.1376953
10.069128	-99.209763	1.1474609
10.07093	-101.93073	1.1572266
10.070846	-97.15538	1.1669922
10.07172	-90.230186	1.1767578
10.072007	-90.744797	1.1865234
10.072845	-95.072166	1.1962891
10.075084	-100.50499	1.2060547
10.075909	-99.730995	1.2158203
10.075699	-96.158554	1.2255859
10.075852	-91.041519	1.2353516
10.078084	-90.645851	1.2451172
10.078187	-90.419556	1.2548828
10.079963	-93.991104	1.2646484
10.080476	-98.625328	1.2744141
10.080335	-94.951881	1.2841797
10.082505	-93.639511	1.2939453
10.082067	-87.464378	1.3037109
10.082954	-89.286743	1.3134766
10.083269	-93.630234	1.3232422
10.085539	-95.23539	1.3330078
10.084888	-93.480804	1.3427734
10.086422	-91.809784	1.3525391
10.086693	-88.75164	1.3623047
10.087968	-88.099411	1.3720703
10.089888	-86.8759	1.3818359
10.088994	-91.584114	1.3916016
10.090161	-92.582802	1.4013672
10.092198	-92.711784	1.4111328
10.091694	-87.99514	1.4208984
10.09317	-82.078331	1.4306641
10.093517	-87.858696	1.4404297
10.095019	-87.070648	1.4501953
10.094757	-89.889816	1.4599609
10.096869	-88.954018	1.4697266
10.096491	-87.404427	1.4794922
10.098479	-86.686516	1.4892578
10.098521	-83.408577	1.4990234
10.100142	-82.258476	1.5087891
10.1001	-87.964981	1.5185547
10.101467	-90.924217	1.5283203
10.102213	-87.207924	1.5380859
10.103084	-82.191696	1.5478516
10.10319	-81.463966	1.5576172
10.103511	-82.282715	1.5673828
10.105659	-83.381546	1.5771484
10.105604	-86.930008	1.5869141
10.106758	-85.819817	1.5966797
10.107826	-85.857452	1.6064453
10.10754	-79.510559	1.6162109
10.109241	-76.550751	1.6259766
10.109293	-78.187248	1.6357422
10.110812	-85.750153	1.6455078
10.110834	-88.537865	1.6552734
10.11296	-82.89505	1.6650391
10.114388	-77.36882	1.6748047
10.115112	-75.536316	1.6845703
10.114473	-80.269264	1.6943359
10.114682	-79.634659	1.7041016
10.11609	-83.22757	1.7138672
10.117187	-84.208321	1.7236328
10.118914	-76.67141	1.7333984
10.119104	-73.178856	1.7431641
10.120408	-73.26664	1.7529297
10.120387	-79.403099	1.7626953
10.12224	-84.372406	1.7724609
10.121891	-79.084625	1.7822266
