MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.909313	-40.968124	1.6740723
-39.908436	-31.69911	1.6838379
-39.907833	-18.047832	1.6936035
-39.907192	-15.889824	1.7033691
-39.906525	-18.526949	1.7131348
-39.904781	-31.045614	1.7229004
-39.903778	-38.142483	1.732666
-39.903183	-32.191296	1.7424316
-39.902969	-24.315451	1.7521973
-39.901848	-10.975894	1.7619629
-39.902077	-12.722935	1.7717285
-39.8997	-24.152197	1.7814941
-39.900574	-33.4589	1.7912598
-39.898827	-35.427036	1.8010254
-39.898552	-22.666872	1.810791
-39.896183	-12.266954	1.8205566
-39.896961	-8.4488811	1.8303223
-39.894783	-15.430239	1.8400879
-39.894741	-25.809805	1.8498535
-39.894501	-30.360996	1.8596191
-39.893322	-27.916756	1.8693848
-39.891369	-11.268598	1.8791504
-39.890949	-2.0453088	1.888916
-39.890709	-7.2313328	1.8986816
-39.889076	-21.756052	1.9084473
-39.889149	-30.915253	1.9182129
-39.887188	-25.538425	1.9279785
-39.887348	-13.784779	1.9377441
-39.887417	-2.2835159	1.9475098
-39.885391	-3.2793968	1.9572754
-39.884365	-11.255601	1.967041
-39.88409	-21.432722	1.9768066
-39.883503	-27.862631	1.9865723
-39.882038	-14.296095	1.9963379
-39.881508	-2.0846441	2.0061035
-39.881588	3.8420272	2.0158691
-39.880409	-3.4430139	2.0256348
-39.879684	-18.476513	2.0354004
-39.877682	-20.648161	2.045166
-39.877701	-16.630739	2.0549316
-39.877159	-3.9040792	2.0646973
-39.876144	4.7199025	2.0744629
-39.8745	1.7575507	2.0842285
-39.873631	-5.8255391	2.0939941
-39.873711	-19.976336	2.1037598
-39.872868	-16.572834	2.1135254
-39.871189	-6.7609878	2.123291
-39.870399	5.1699376	2.1330566
-39.869427	10.061526	2.1428223
-39.869656	-2.7766249	2.1525879
-39.868202	-11.15283	2.1623535
-39.86771	-12.780953	2.1721191
-39.867706	-7.6271081	2.1818848
-39.866104	3.7005322	2.1916504
-39.864201	9.8735294	2.201416
-39.864254	7.186069	2.2111816
