MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_090_r0			Time:	20.025391	s	4/14/2019 1:11:27 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.040855	-154.08167	0.030273438
-40.040981	-158.83127	0.040039063
-40.040455	-157.71353	0.049804688
-40.041485	-155.31149	0.059570313
-40.040459	-154.3024	0.069335938
-40.041798	-154.21942	0.079101563
-40.040871	-152.75255	0.088867188
-40.039078	-152.13896	0.098632813
-40.039013	-155.45625	0.10839844
-40.037331	-155.39345	0.11816406
-40.036114	-155.60011	0.12792969
-40.035999	-151.15002	0.13769531
-40.034786	-149.41075	0.14746094
-40.034	-150.86258	0.15722656
-40.033421	-149.6313	0.16699219
-40.032822	-152.11201	0.17675781
-40.031311	-150.90581	0.18652344
-40.031349	-150.6875	0.19628906
-40.029739	-149.04245	0.20605469
-40.030109	-143.62946	0.21582031
-40.026402	-147.64282	0.22558594
-40.027328	-147.04161	0.23535156
-40.026642	-148.91628	0.24511719
-40.025764	-149.27461	0.25488281
-40.025574	-143.13005	0.26464844
-40.022881	-145.89096	0.27441406
-40.023388	-140.98521	0.28417969
-40.021767	-141.81548	0.29394531
-40.022148	-144.1418	0.30371094
-40.021217	-146.80305	0.31347656
-40.02018	-145.66684	0.32324219
-40.018654	-139.54489	0.33300781
-40.018936	-137.38176	0.34277344
-40.017612	-139.72151	0.35253906
-40.016911	-141.79831	0.36230469
-40.015907	-143.64638	0.37207031
-40.014015	-140.44612	0.38183594
-40.015373	-139.97197	0.39160156
-40.014656	-135.47348	0.40136719
-40.012489	-134.30565	0.41113281
-40.012356	-136.98051	0.42089844
-40.01096	-140.33232	0.43066406
-40.011112	-140.91461	0.44042969
-40.010822	-135.65506	0.45019531
-40.008869	-130.68602	0.45996094
-40.007706	-130.7506	0.46972656
-40.006786	-135.31412	0.47949219
-40.006512	-137.76843	0.48925781
-40.005436	-135.20293	0.49902344
-40.005562	-134.32004	0.50878906
-40.002686	-129.66588	0.51855469
-40.00259	-129.21913	0.52832031
-40.001057	-126.76134	0.53808594
-40.000362	-131.24585	0.54785156
-40.001858	-135.53632	0.55761719
-40.000736	-134.05368	0.56738281
-39.999367	-125.78011	0.57714844
-39.998104	-124.02454	0.58691406
-39.997986	-126.8238	0.59667969
-39.996765	-131.37823	0.60644531
-39.996983	-126.85828	0.61621094
-39.993759	-129.19804	0.62597656
-39.993412	-124.83363	0.63574219
-39.994221	-123.93419	0.64550781
-39.992409	-121.6645	0.65527344
-39.992474	-122.20789	0.66503906
-39.990608	-127.77655	0.67480469
-39.989887	-127.79117	0.68457031
-39.988953	-123.27044	0.69433594
-39.988396	-119.92599	0.70410156
-39.987919	-118.47676	0.71386719
-39.9874	-122.45522	0.72363281
-39.98613	-122.02704	0.73339844
-39.984348	-121.45228	0.74316406
-39.984165	-122.28957	0.75292969
-39.983624	-119.63513	0.76269531
-39.98288	-118.65723	0.77246094
-39.981506	-115.02616	0.78222656
-39.981045	-119.21577	0.79199219
-39.980492	-119.11696	0.80175781
-39.979023	-118.66953	0.81152344
-39.97887	-114.83844	0.82128906
-39.977478	-114.71718	0.83105469
-39.977413	-114.05048	0.84082031
-39.976997	-113.69962	0.85058594
-39.975685	-114.21154	0.86035156
-39.974663	-115.32755	0.87011719
-39.97414	-115.84166	0.87988281
-39.973316	-113.28397	0.88964844
-39.972355	-108.52232	0.89941406
-39.970997	-111.05196	0.90917969
-39.970676	-109.64598	0.91894531
-39.970108	-113.15984	0.92871094
-39.969116	-112.14392	0.93847656
-39.96957	-107.96735	0.94824219
-39.966721	-110.36487	0.95800781
-39.96714	-105.08231	0.96777344
-39.966648	-105.18092	0.97753906
-39.964371	-108.34731	0.98730469
-39.964973	-109.28915	0.99707031
-39.964066	-111.8764	1.0068359
-39.962452	-104.50193	1.0166016
-39.962147	-101.68111	1.0263672
-39.961155	-102.49413	1.0361328
-39.959637	-105.57195	1.0458984
-39.95916	-108.35873	1.0556641
-39.95829	-105.04345	1.0654297
-39.957119	-105.89554	1.0751953
-39.956455	-99.880447	1.0849609
-39.956051	-97.624641	1.0947266
-39.955017	-100.56464	1.1044922
-39.954102	-101.82162	1.1142578
-39.952724	-106.56513	1.1240234
-39.952942	-102.73264	1.1337891
-39.952187	-94.637489	1.1435547
-39.951485	-95.252205	1.1533203
-39.950172	-98.1567	1.1630859
-39.949036	-100.99809	1.1728516
-39.949974	-100.16434	1.1826172
-39.947765	-101.55531	1.1923828
-39.948025	-94.951431	1.2021484
-39.945969	-93.640793	1.2119141
-39.944992	-91.242172	1.2216797
-39.944874	-95.926292	1.2314453
-39.944675	-99.367828	1.2412109
-39.942894	-97.49334	1.2509766
-39.941612	-93.683586	1.2607422
-39.941383	-89.727631	1.2705078
-39.940937	-91.44545	1.2802734
-39.938736	-93.915871	1.2900391
-39.938076	-92.363358	1.2998047
-39.938309	-95.121223	1.3095703
-39.937496	-92.741173	1.3193359
-39.93663	-90.036346	1.3291016
-39.935211	-87.537476	1.3388672
-39.936398	-84.827896	1.3486328
-39.93391	-92.12677	1.3583984
-39.932243	-91.498817	1.3681641
-39.932541	-88.9133	1.3779297
-39.930969	-84.817482	1.3876953
-39.9314	-83.940758	1.3974609
-39.930065	-87.324585	1.4072266
-39.928791	-85.243828	1.4169922
-39.928665	-86.333	1.4267578
-39.928383	-87.965233	1.4365234
-39.926609	-85.654999	1.4462891
-39.926437	-83.776192	1.4560547
-39.925488	-80.371399	1.4658203
-39.924377	-81.994644	1.4755859
-39.922657	-84.523865	1.4853516
-39.923355	-84.354492	1.4951172
-39.921219	-82.447495	1.5048828
-39.921364	-79.529968	1.5146484
-39.920219	-80.806763	1.5244141
-39.919956	-78.743599	1.5341797
-39.91938	-76.446144	1.5439453
-39.918228	-80.521179	1.5537109
-39.918343	-82.992035	1.5634766
-39.91716	-79.934387	1.5732422
-39.913967	-74.173988	1.5830078
-39.914738	-73.055717	1.5927734
-39.913189	-74.08094	1.6025391
-39.913605	-77.315041	1.6123047
-39.91267	-76.681305	1.6220703
-39.911121	-74.809891	1.6318359
-39.91143	-75.61544	1.6416016
-39.90905	-69.88752	1.6513672
-39.908085	-69.85881	1.6611328
-39.908218	-70.896477	1.6708984
-39.907154	-74.564308	1.6806641
-39.907021	-78.028564	1.6904297
-39.905632	-70.782845	1.7001953
