MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_4545_r0			Time:	20.022217	s	4/13/2019 6:41:55 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	Type IV_Monotonic.tst
Displacement	Force	Running Time
mm	N	s
-39.917316	-73.043159	1.6762695
-39.916801	-67.720421	1.6860352
-39.917385	-76.225876	1.6958008
-39.916588	-85.08252	1.7055664
-39.91404	-92.470383	1.715332
-39.914185	-83.56044	1.7250977
-39.914623	-73.041672	1.7348633
-39.911591	-67.26532	1.7446289
-39.911819	-68.232353	1.7543945
-39.911377	-78.926247	1.7641602
-39.909496	-84.430862	1.7739258
-39.909164	-85.384354	1.7836914
-39.908329	-76.372467	1.793457
-39.906342	-63.118057	1.8032227
-39.906555	-60.748455	1.8129883
-39.9062	-69.492752	1.8227539
-39.905781	-82.518829	1.8325195
-39.904701	-83.797585	1.8422852
-39.90382	-75.135818	1.8520508
-39.902824	-65.007813	1.8618164
-39.902225	-57.504192	1.871582
-39.900841	-60.269691	1.8813477
-39.900833	-72.284401	1.8911133
-39.898754	-80.640869	1.9008789
-39.898762	-79.44944	1.9106445
-39.898132	-65.101585	1.9204102
-39.898678	-53.90123	1.9301758
-39.896488	-54.98217	1.9399414
-39.895676	-67.270508	1.949707
-39.895046	-77.258804	1.9594727
-39.893917	-76.318901	1.9692383
-39.893818	-65.732559	1.9790039
-39.891911	-54.086895	1.9887695
-39.891525	-51.626205	1.9985352
-39.890797	-55.637516	2.0083008
-39.889755	-69.043343	2.0180664
-39.888599	-75.436127	2.027832
-39.888157	-67.986229	2.0375977
-39.887257	-55.562515	2.0473633
-39.885319	-45.388584	2.0571289
-39.886551	-53.394424	2.0668945
-39.885429	-63.254005	2.0766602
-39.883934	-69.228859	2.0864258
-39.88295	-67.01564	2.0961914
-39.883114	-55.839394	2.105957
-39.88052	-47.064297	2.1157227
-39.880074	-44.625668	2.1254883
-39.880257	-52.344681	2.1352539
-39.879852	-67.035728	2.1450195
-39.878075	-66.604919	2.1547852
-39.87825	-58.099419	2.1645508
-39.876396	-44.941559	2.1743164
-39.876026	-41.483738	2.184082
-39.875217	-48.11491	2.1938477
-39.873363	-58.043369	2.2036133
-39.873283	-61.327141	2.2133789
-39.873211	-59.601547	2.2231445
-39.871319	-49.56142	2.2329102
-39.870632	-38.996185	2.2426758
-39.869663	-38.314602	2.2524414
-39.867828	-49.305386	2.262207
-39.868523	-57.746105	2.2719727
-39.867981	-59.4007	2.2817383
-39.867325	-48.16655	2.2915039
-39.865128	-37.52705	2.3012695
-39.866032	-35.377171	2.3110352
-39.864265	-40.172493	2.3208008
-39.862942	-49.120258	2.3305664
-39.861721	-53.588306	2.340332
-39.86269	-51.796993	2.3500977
-39.860409	-40.789314	2.3598633
-39.860004	-30.654531	2.3696289
-39.859207	-30.161058	2.3793945
-39.859253	-42.527985	2.3891602
-39.857311	-52.826221	2.3989258
-39.856945	-50.120014	2.4086914
-39.856682	-39.017418	2.418457
-39.854988	-31.667397	2.4282227
-39.854298	-26.086426	2.4379883
-39.854603	-35.700562	2.4477539
-39.854244	-45.891117	2.4575195
-39.852596	-50.819492	2.4672852
-39.851685	-43.475212	2.4770508
-39.851109	-30.039637	2.4868164
-39.84948	-22.897116	2.496582
-39.848492	-27.449219	2.5063477
-39.848637	-41.024849	2.5161133
-39.847336	-46.133362	2.5258789
-39.846889	-41.357109	2.5356445
-39.84716	-30.539652	2.5454102
-39.845284	-20.113979	2.5551758
-39.843967	-22.047535	2.5649414
-39.844032	-29.774956	2.574707
-39.8423	-39.731426	2.5844727
-39.841881	-43.438248	2.5942383
-39.841316	-33.622311	2.6040039
-39.840454	-21.13777	2.6137695
-39.839325	-15.565986	2.6235352
-39.838829	-23.179462	2.6333008
-39.837715	-35.273952	2.6430664
-39.837868	-39.830975	2.652832
-39.836678	-32.662262	2.6625977
-39.835316	-21.011023	2.6723633
-39.834812	-13.340118	2.6821289
-39.832829	-15.112305	2.6918945
-39.833649	-26.907961	2.7016602
-39.832386	-36.488228	2.7114258
-39.831978	-34.425346	2.7211914
-39.8307	-23.709587	2.730957
-39.829464	-9.3280611	2.7407227
-39.828659	-11.605299	2.7504883
-39.827679	-18.904663	2.7602539
-39.826553	-29.328382	2.7700195
-39.825432	-31.712648	2.7797852
-39.825344	-21.787712	2.7895508
-39.824776	-13.82807	2.7993164
-39.824207	-5.6431656	2.809082
-39.822605	-10.008162	2.8188477
-39.822536	-22.544104	2.8286133
-39.821148	-27.161598	2.8383789
-39.820599	-26.469141	2.8481445
-39.819897	-12.093136	2.8579102
-39.818447	-4.2185326	2.8676758
-39.818161	-5.3575969	2.8774414
-39.817184	-13.760511	2.887207
-39.816269	-21.092459	2.8969727
-39.816288	-23.241034	2.9067383
-39.814564	-15.953228	2.9165039
-39.81395	-4.9585071	2.9262695
-39.812279	-0.25758666	2.9360352
-39.811817	-4.6700797	2.9458008
-39.811813	-15.262655	2.9555664
-39.810555	-21.633209	2.965332
-39.808739	-16.82494	2.9750977
-39.810589	-3.9251759	2.9848633
-39.808083	3.0409787	2.9946289
-39.807575	1.6518801	3.0043945
-39.805508	-8.2422409	3.0141602
-39.805077	-13.833259	3.0239258
-39.804356	-17.080061	3.0336914
-39.804443	-7.3574996	3.043457
-39.803242	3.3910394	3.0532227
-39.802174	8.1292133	3.0629883
-39.80238	1.0944551	3.0727539
-39.801968	-12.962271	3.0825195
-39.80167	-16.236113	3.0922852
-39.799519	-7.3234463	3.1020508
-39.798962	2.72668	3.1118164
-39.79818	11.755945	3.121582
-39.796585	5.2110538	3.1313477
-39.796803	-2.3875604	3.1411133
-39.794781	-12.264282	3.1508789
-39.79612	-10.740307	3.1606445
-39.79398	3.8681471	3.1704102
-39.793335	12.697867	3.1801758
-39.791851	14.48157	3.1899414
-39.792686	1.9234878	3.199707
-39.79068	-6.617867	3.2094727
-39.790035	-7.7703533	3.2192383
-39.790134	0.95293951	3.2290039
-39.787777	14.700784	3.2387695
-39.786427	17.283072	3.2485352
-39.786652	11.435256	3.2583008
-39.78508	3.7061145	3.2680664
-39.784515	-6.0334311	3.277832
-39.784325	0.82092112	3.2875977
-39.782497	12.914459	3.2973633
-39.781918	22.720844	3.3071289
-39.781761	18.652382	3.3168945
-39.779705	5.8631091	3.3266602
-39.779301	-0.56127977	3.3364258
-39.779404	2.8688586	3.3461914
-39.778076	11.335716	3.355957
-39.777424	21.609638	3.3657227
-39.776306	24.850422	3.3754883
-39.774933	17.105244	3.3852539
-39.77483	6.1058631	3.3950195
-39.775047	4.326333	3.4047852
-39.773182	9.6191664	3.4145508
-39.772655	23.508835	3.4243164
-39.771328	27.219961	3.434082
-39.770691	22.718544	3.4438477
-39.770706	13.320436	3.4536133
-39.769138	7.5368237	3.4633789
-39.768349	10.637034	3.4731445
-39.768475	19.051704	3.4829102
-39.767647	30.006163	3.4926758
-39.766949	30.831312	3.5024414
-39.76445	22.557335	3.512207
-39.764889	13.35537	3.5219727
-39.763378	8.4280596	3.5317383
-39.762547	18.281075	3.5415039
-39.762634	30.554842	3.5512695
-39.761131	33.758411	3.5610352
-39.761074	30.152916	3.5708008
-39.759731	18.932659	3.5805664
-39.758255	14.770713	3.590332
-39.757702	16.279852	3.6000977
-39.758282	27.677204	3.6098633
-39.756416	37.099197	3.6196289
-39.756233	37.496479	3.6293945
-39.754673	27.100262	3.6391602
-39.754372	16.843449	3.6489258
-39.753086	18.881435	3.6586914
-39.75235	28.697186	3.668457
-39.751392	37.271103	3.6782227
-39.749798	43.212139	3.6879883
-39.748978	34.973244	3.6977539
-39.747578	24.472012	3.7075195
-39.747223	20.180222	3.7172852
-39.747772	23.977726	3.7270508
-39.747169	36.871845	3.7368164
-39.743687	48.068768	3.746582
-39.744286	45.024193	3.7563477
-39.743279	29.687395	3.7661133
-39.743015	22.302359	3.7758789
-39.742226	26.029377	3.7856445
-39.740955	38.686867	3.7954102
-39.740761	49.310593	3.8051758
-39.739857	46.770893	3.8149414
-39.740005	40.800903	3.824707
-39.738419	28.42173	3.8344727
-39.735928	25.365919	3.8442383
-39.736923	36.903084	3.8540039
-39.736961	47.575302	3.8637695
-39.734669	55.371017	3.8735352
-39.734856	44.558952	3.8833008
-39.734222	33.405281	3.8930664
-39.732342	29.715513	3.902832
-39.732059	35.333153	3.9125977
-39.73069	48.457138	3.9223633
-39.730473	55.700382	3.9321289
-39.729019	53.438747	3.9418945
-39.728828	43.212845	3.9516602
-39.728245	32.947399	3.9614258
-39.726971	35.945091	3.9711914
-39.726814	43.395065	3.980957
-39.725143	58.183468	3.9907227
