MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.01709	s	4/14/2019 12:33:00 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.04084	-33.143204	0.022460938
-40.041546	-31.827606	0.032226563
-40.040268	-27.40803	0.041992188
-40.040855	-26.489782	0.051757813
-40.040939	-30.99436	0.061523438
-40.041233	-34.974464	0.071289063
-40.040165	-33.403439	0.081054688
-40.040543	-33.438484	0.090820313
-40.039986	-30.132961	0.10058594
-40.038738	-29.355236	0.11035156
-40.037487	-26.363523	0.12011719
-40.036648	-25.956728	0.12988281
-40.036518	-32.538002	0.13964844
-40.035965	-30.219915	0.14941406
-40.035084	-28.199394	0.15917969
-40.033585	-24.002695	0.16894531
-40.032894	-23.045113	0.17871094
-40.03252	-26.616272	0.18847656
-40.031307	-24.941738	0.19824219
-40.030979	-26.326757	0.20800781
-40.030312	-26.247101	0.21777344
-40.029541	-24.62396	0.22753906
-40.027493	-25.131609	0.23730469
-40.026993	-19.143667	0.24707031
-40.026306	-23.25688	0.25683594
-40.026207	-24.441296	0.26660156
-40.024731	-22.66913	0.27636719
-40.023918	-23.63102	0.28613281
-40.023422	-19.082253	0.29589844
-40.02285	-20.042122	0.30566406
-40.022514	-19.212374	0.31542969
-40.020679	-17.21907	0.32519531
-40.01881	-21.438223	0.33496094
-40.01936	-20.777498	0.34472656
-40.017475	-18.618721	0.35449219
-40.01749	-14.334736	0.36425781
-40.016254	-13.64348	0.37402344
-40.016556	-15.366276	0.38378906
-40.015274	-19.920368	0.39355469
-40.015339	-17.492498	0.40332031
-40.013805	-15.836391	0.41308594
-40.013363	-14.811035	0.42285156
-40.011604	-9.4725809	0.43261719
-40.011093	-10.426505	0.44238281
-40.010281	-13.035182	0.45214844
-40.010609	-16.563908	0.46191406
-40.007671	-15.904622	0.47167969
-40.008869	-11.278458	0.48144531
-40.006992	-6.5017362	0.49121094
-40.006565	-5.8595405	0.50097656
-40.00573	-10.169387	0.51074219
-40.004211	-13.00349	0.52050781
-40.003483	-9.5607681	0.53027344
-40.003475	-10.63735	0.54003906
-40.002247	-5.6666341	0.54980469
-40.002617	-4.2225304	0.55957031
-40.000389	-4.9000225	0.56933594
-39.998913	-6.6231904	0.57910156
-40.00024	-11.680251	0.58886719
-39.99765	-8.1701374	0.59863281
-39.9981	0.0093293898	0.60839844
-39.99691	-1.6942954	0.61816406
-39.995781	-2.1091068	0.62792969
-39.99514	-7.2063107	0.63769531
-39.99403	-6.9282193	0.64746094
-39.993484	-4.8728561	0.65722656
-39.992977	-2.9802608	0.66699219
-39.991898	1.8631696	0.67675781
-39.990707	1.8418449	0.68652344
-39.990093	-0.017681204	0.69628906
-39.988888	-5.0312538	0.70605469
-39.988918	-3.4073346	0.71582031
-39.987965	0.099526957	0.72558594
-39.986687	4.657896	0.73535156
-39.986519	3.9279783	0.74511719
-39.986431	2.3147686	0.75488281
-39.983574	0.91146046	0.76464844
-39.984528	1.1400459	0.77441406
-39.982681	1.8781974	0.78417969
-39.981972	3.9956808	0.79394531
-39.981335	6.5581765	0.80371094
-39.979477	8.4939804	0.81347656
-39.980244	3.0592999	0.82324219
-39.979198	3.5821433	0.83300781
-39.978638	4.3908043	0.84277344
-39.977051	7.6068254	0.85253906
-39.975964	12.776558	0.86230469
-39.975513	8.540576	0.87207031
-39.974247	9.6010113	0.88183594
-39.973625	7.6492572	0.89160156
-39.973637	9.3144693	0.90136719
-39.97205	8.3252373	0.91113281
-39.971436	9.3110514	0.92089844
-39.970032	15.372931	0.93066406
-39.969433	12.628973	0.94042969
-39.967648	12.209491	0.95019531
-39.968395	10.461301	0.95996094
-39.967201	9.8871393	0.96972656
-39.967186	14.635318	0.97949219
-39.964615	13.027877	0.98925781
-39.965096	14.952744	0.99902344
-39.964256	18.037041	1.0087891
-39.962921	14.367044	1.0185547
-39.962151	14.20027	1.0283203
-39.961803	13.534501	1.0380859
-39.960892	18.698093	1.0478516
-39.9599	22.232683	1.0576172
-39.959061	19.430065	1.0673828
-39.958	17.227606	1.0771484
-39.957848	16.868828	1.0869141
-39.956181	17.18507	1.0966797
-39.955124	19.679441	1.1064453
-39.953854	23.854424	1.1162109
-39.954906	23.270475	1.1259766
-39.952892	23.662685	1.1357422
-39.952007	19.877848	1.1455078
-39.952194	16.445063	1.1552734
-39.952122	21.393616	1.1650391
-39.950264	26.476671	1.1748047
-39.949028	29.037863	1.1845703
-39.948284	23.980927	1.1943359
-39.948292	20.717321	1.2041016
-39.947739	24.027729	1.2138672
-39.945763	22.445528	1.2236328
-39.944839	28.891733	1.2333984
-39.944061	28.689299	1.2431641
-39.943455	29.291264	1.2529297
-39.943451	27.65983	1.2626953
-39.941277	20.926725	1.2724609
-39.941261	27.990404	1.2822266
-39.939903	31.188576	1.2919922
-39.939339	32.517933	1.3017578
-39.93821	32.95697	1.3115234
-39.938728	28.620565	1.3212891
-39.937527	29.528574	1.3310547
-39.936924	30.601608	1.3408203
-39.935478	30.129684	1.3505859
-39.934803	34.580544	1.3603516
-39.933834	34.92815	1.3701172
-39.933231	34.979206	1.3798828
-39.932243	30.883112	1.3896484
-39.931553	31.163073	1.3994141
-39.929886	33.856892	1.4091797
-39.929775	37.894867	1.4189453
-39.928791	39.122372	1.4287109
-39.928066	37.459213	1.4384766
-39.927734	36.296864	1.4482422
-39.925911	37.093246	1.4580078
-39.925251	35.459667	1.4677734
-39.925194	37.890659	1.4775391
-39.924122	41.638729	1.4873047
-39.924122	43.090786	1.4970703
-39.922375	41.139282	1.5068359
-39.92062	39.487957	1.5166016
-39.920563	37.117939	1.5263672
-39.920113	41.268997	1.5361328
-39.91938	44.868259	1.5458984
-39.918587	42.107025	1.5556641
-39.917797	45.946838	1.5654297
-39.915974	42.903492	1.5751953
-39.917057	42.72184	1.5849609
-39.915401	40.986042	1.5947266
-39.915241	43.189919	1.6044922
-39.914391	48.369484	1.6142578
-39.912926	49.974564	1.6240234
-39.913162	48.119633	1.6337891
-39.911835	45.111122	1.6435547
-39.910522	43.998333	1.6533203
-39.909374	48.996109	1.6630859
-39.909054	48.125317	1.6728516
-39.907429	53.192142	1.6826172
-39.907074	53.037796	1.6923828
-39.90567	50.794991	1.7021484
-39.905453	48.082527	1.7119141
-39.904243	45.072693	1.7216797
-39.90387	50.531174	1.7314453
