MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.017578	s	4/15/2019 3:38:35 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9806604	-160.67938	0.022460938
9.9812717	-154.89503	0.032226563
9.9810209	-154.19914	0.041992188
9.9811611	-155.74399	0.051757813
9.9815187	-159.56975	0.061523438
9.9803305	-164.5405	0.071289063
9.9818869	-160.75999	0.081054688
9.9821234	-159.17937	0.090820313
9.9837666	-155.95119	0.10058594
9.983942	-150.93126	0.11035156
9.985364	-154.83147	0.12011719
9.9859629	-154.59308	0.12988281
9.9869766	-160.66783	0.13964844
9.986434	-160.74289	0.14941406
9.9886894	-152.44797	0.15917969
9.9881296	-147.69887	0.16894531
9.9899416	-148.24899	0.17871094
9.9914665	-154.27745	0.18847656
9.9910402	-157.41751	0.19824219
9.992034	-156.25195	0.20800781
9.9925156	-153.82428	0.21777344
9.9931326	-146.48857	0.22753906
9.9946527	-146.43625	0.23730469
9.9959774	-146.87529	0.24707031
9.9957056	-151.97853	0.25683594
9.9969463	-157.69691	0.26660156
9.9977961	-155.34665	0.27636719
9.9988241	-144.3398	0.28613281
9.9998388	-142.81161	0.29589844
9.9998741	-144.97108	0.30566406
10.000664	-149.65347	0.31542969
10.001267	-153.24098	0.32519531
10.001788	-149.18471	0.33496094
10.003772	-146.12791	0.34472656
10.00486	-143.93076	0.35449219
10.005219	-139.50563	0.36425781
10.005999	-145.55292	0.37402344
10.006649	-149.96446	0.38378906
10.007865	-150.222	0.39355469
10.008213	-144.72876	0.40332031
10.00897	-138.52312	0.41308594
10.009897	-140.53659	0.42285156
10.010813	-141.72752	0.43261719
10.011064	-143.52791	0.44238281
10.013191	-144.74956	0.45214844
10.013225	-143.34052	0.46191406
10.014038	-140.96513	0.47167969
10.013929	-135.72618	0.48144531
10.015089	-134.16359	0.49121094
10.016951	-139.93782	0.50097656
10.017612	-143.74751	0.51074219
10.018032	-142.41942	0.52050781
10.018296	-138.33307	0.53027344
10.01959	-134.73111	0.54003906
10.020684	-136.19376	0.54980469
10.022034	-133.84215	0.55957031
10.022037	-138.13318	0.56933594
10.021854	-139.73405	0.57910156
10.023505	-139.22258	0.58886719
10.025346	-135.11435	0.59863281
10.02471	-128.49004	0.60839844
10.027186	-130.90903	0.61816406
10.027435	-135.82759	0.62792969
10.027626	-138.28441	0.63769531
10.028459	-135.96925	0.64746094
10.028853	-131.75169	0.65722656
10.029385	-130.92316	0.66699219
10.031596	-128.70154	0.67675781
10.032001	-128.26875	0.68652344
10.032347	-131.66316	0.69628906
10.032792	-136.83789	0.70605469
10.033834	-131.27605	0.71582031
10.035257	-126.81508	0.72558594
10.035994	-121.74792	0.73535156
10.036096	-125.36565	0.74511719
10.036272	-131.5266	0.75488281
10.038322	-131.25772	0.76464844
10.038779	-131.10023	0.77441406
10.040308	-126.81332	0.78417969
10.040104	-122.38258	0.79394531
10.040883	-119.89128	0.80371094
10.042602	-122.71805	0.81347656
10.043856	-130.89525	0.82324219
10.043977	-131.76056	0.83300781
10.044545	-125.96008	0.84277344
10.045386	-119.18584	0.85253906
10.046282	-115.55958	0.86230469
10.047103	-121.97066	0.87207031
10.048502	-126.94128	0.88183594
10.049135	-124.95819	0.89160156
10.049767	-125.71496	0.90136719
10.050329	-119.30558	0.91113281
10.051624	-116.00165	0.92089844
10.050911	-116.33785	0.93066406
10.053131	-118.87476	0.94042969
10.05405	-127.16268	0.95019531
10.054118	-124.17128	0.95996094
10.055573	-115.82581	0.96972656
10.055907	-111.86298	0.97949219
10.056546	-114.13452	0.98925781
10.057899	-119.13853	0.99902344
10.05785	-120.15459	1.0087891
10.059413	-120.94606	1.0185547
10.06015	-116.98501	1.0283203
10.061288	-112.6787	1.0380859
10.062814	-108.00256	1.0478516
10.062503	-112.19923	1.0576172
10.062015	-117.45151	1.0673828
10.064953	-120.4744	1.0771484
10.066094	-114.49015	1.0869141
10.065672	-108.88562	1.0966797
10.067831	-108.34164	1.1064453
10.067766	-108.71867	1.1162109
10.06846	-112.82654	1.1259766
10.07042	-113.56046	1.1357422
10.070742	-112.57269	1.1455078
10.070525	-113.10217	1.1552734
10.071154	-104.57327	1.1650391
10.072726	-104.64812	1.1748047
10.072686	-109.90231	1.1845703
10.07378	-109.67032	1.1943359
10.075317	-113.84774	1.2041016
10.076081	-108.78568	1.2138672
10.076637	-106.74828	1.2236328
10.076198	-104.56383	1.2333984
10.078178	-104.11096	1.2431641
10.078988	-103.74207	1.2529297
10.079807	-107.34326	1.2626953
10.081532	-109.29136	1.2724609
10.080812	-106.44984	1.2822266
10.082275	-99.621689	1.2919922
10.082788	-99.849396	1.3017578
10.084199	-101.26511	1.3115234
10.084709	-105.80444	1.3212891
10.086337	-106.95039	1.3310547
10.085688	-101.44969	1.3408203
10.087027	-99.063644	1.3505859
10.087708	-96.972504	1.3603516
10.088622	-95.832817	1.3701172
10.08984	-101.27015	1.3798828
10.090148	-104.39685	1.3896484
10.090569	-103.64028	1.3994141
10.092291	-99.452797	1.4091797
10.093603	-91.211227	1.4189453
10.093819	-93.4198	1.4287109
10.094682	-98.263664	1.4384766
10.095527	-99.682709	1.4482422
10.095859	-100.65816	1.4580078
10.096527	-98.059784	1.4677734
10.097537	-90.527222	1.4775391
10.099204	-88.521492	1.4873047
10.098972	-90.424416	1.4970703
10.100051	-97.312057	1.5068359
10.101705	-100.55586	1.5166016
10.102434	-96.055161	1.5263672
10.10238	-89.153061	1.5361328
10.10241	-83.903412	1.5458984
10.105141	-89.504196	1.5556641
10.105167	-92.472046	1.5654297
10.10557	-93.405174	1.5751953
10.106052	-95.261635	1.5849609
10.107473	-86.899162	1.5947266
10.107391	-85.747734	1.6044922
10.109802	-82.75074	1.6142578
10.109505	-86.987976	1.6240234
10.110006	-95.410378	1.6337891
10.110812	-93.675529	1.6435547
10.113019	-86.320366	1.6533203
10.11275	-81.597214	1.6630859
10.114437	-81.216347	1.6728516
10.11475	-85.702553	1.6826172
10.115073	-86.150597	1.6923828
10.116252	-88.176186	1.7021484
10.117318	-88.122452	1.7119141
10.118143	-82.303528	1.7216797
10.119512	-78.508537	1.7314453
10.119428	-78.8909	1.7412109
10.121435	-83.016556	1.7509766
10.121633	-86.523773	1.7607422
10.122499	-85.203545	1.7705078
10.122102	-79.242783	1.7802734
