MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.017822	s	4/13/2019 7:58:22 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.034687	-122.94658	0.022705078
-40.03418	-128.47881	0.032470703
-40.03381	-128.64424	0.042236328
-40.034607	-127.39229	0.052001953
-40.034611	-126.84911	0.061767578
-40.033394	-126.05426	0.071533203
-40.031925	-126.23186	0.081298828
-40.031384	-121.63065	0.091064453
-40.029701	-121.84681	0.10083008
-40.030685	-124.54485	0.1105957
-40.029827	-128.48824	0.12036133
-40.028545	-123.87588	0.13012695
-40.026955	-120.15314	0.13989258
-40.026825	-120.44924	0.1496582
-40.026035	-118.15359	0.15942383
-40.025108	-119.4787	0.16918945
-40.023701	-121.64525	0.17895508
-40.023376	-122.33559	0.1887207
-40.022469	-121.77161	0.19848633
-40.021301	-115.16529	0.20825195
-40.020306	-114.76978	0.21801758
-40.019081	-115.06477	0.2277832
-40.019474	-121.27746	0.23754883
-40.019085	-120.32626	0.24731445
-40.017662	-116.22873	0.25708008
-40.017887	-116.98364	0.2668457
-40.01606	-110.67978	0.27661133
-40.01532	-113.5192	0.28637695
-40.014629	-114.8187	0.29614258
-40.013229	-116.85737	0.3059082
-40.01368	-119.70135	0.31567383
-40.011448	-112.11629	0.32543945
-40.010689	-108.89073	0.33520508
-40.010204	-108.54554	0.3449707
-40.009758	-112.36085	0.35473633
-40.007484	-115.1149	0.36450195
-40.008797	-111.93188	0.37426758
-40.006664	-111.53364	0.3840332
-40.00713	-107.41682	0.39379883
-40.005821	-104.64637	0.40356445
-40.004585	-107.22507	0.41333008
-40.004112	-108.27086	0.4230957
-40.003246	-114.15757	0.43286133
-40.002705	-110.7021	0.44262695
-40.001877	-104.06926	0.45239258
-40.00124	-102.01364	0.4621582
-40.000465	-104.50188	0.47192383
-40.000366	-108.95255	0.48168945
-39.99786	-107.9558	0.49145508
-39.997749	-105.76392	0.5012207
-39.996876	-103.03998	0.51098633
-39.995045	-102.58613	0.52075195
-39.995571	-100.90679	0.53051758
-39.993984	-101.47096	0.5402832
-39.993526	-106.66127	0.55004883
-39.992611	-103.53947	0.55981445
-39.991764	-100.87247	0.56958008
-39.990993	-96.407906	0.5793457
-39.989975	-96.567818	0.58911133
-39.990334	-101.25515	0.59887695
-39.98843	-99.795563	0.60864258
-39.987335	-100.4131	0.6184082
-39.986492	-98.931099	0.62817383
-39.985157	-98.108704	0.63793945
-39.98494	-95.935158	0.64770508
-39.984268	-92.508957	0.6574707
-39.983105	-95.928596	0.66723633
-39.982849	-97.151299	0.67700195
-39.981552	-99.486038	0.68676758
-39.9818	-95.813652	0.6965332
-39.980625	-89.967636	0.70629883
-39.979382	-94.184013	0.71606445
-39.979324	-91.318001	0.72583008
-39.977863	-92.861107	0.7355957
-39.977821	-94.54393	0.74536133
-39.976341	-93.731537	0.75512695
-39.974739	-94.28138	0.76489258
-39.974884	-88.09449	0.7746582
-39.973606	-86.505692	0.78442383
-39.971809	-90.207962	0.79418945
-39.971931	-92.876335	0.80395508
-39.971672	-93.530838	0.8137207
-39.971455	-87.878281	0.82348633
-39.970009	-86.478882	0.83325195
-39.968658	-83.704582	0.84301758
-39.969028	-86.950157	0.8527832
-39.967129	-88.621857	0.86254883
-39.966698	-91.047127	0.87231445
-39.965546	-89.612633	0.88208008
-39.965954	-84.165192	0.8918457
-39.963875	-80.455498	0.90161133
-39.962837	-79.719009	0.91137695
-39.96302	-86.708885	0.92114258
-39.962273	-87.623932	0.9309082
-39.961193	-85.524231	0.94067383
-39.959625	-83.806824	0.95043945
-39.959751	-78.322472	0.96020508
-39.957886	-78.535759	0.9699707
-39.957973	-82.104904	0.97973633
-39.957882	-81.333801	0.98950195
-39.956608	-87.016609	0.99926758
-39.955002	-80.839867	1.0090332
-39.954578	-75.670631	1.0187988
-39.95401	-73.93132	1.0285645
-39.952332	-77.623566	1.0383301
-39.95293	-82.872658	1.0480957
-39.951031	-80.095108	1.0578613
-39.949703	-78.052017	1.067627
-39.94907	-74.020042	1.0773926
-39.948914	-72.353561	1.0871582
-39.946701	-74.996185	1.0969238
-39.946301	-73.965523	1.1066895
-39.947063	-77.885704	1.1164551
-39.945282	-77.323639	1.1262207
-39.944305	-72.354767	1.1359863
-39.944	-70.425148	1.145752
-39.942722	-68.007889	1.1555176
-39.942509	-73.613098	1.1652832
-39.941109	-75.052078	1.1750488
-39.939919	-73.110435	1.1848145
-39.939934	-71.406029	1.1945801
-39.938629	-68.891228	1.2043457
-39.938351	-67.373123	1.2141113
-39.937912	-66.850372	1.223877
-39.936737	-70.970581	1.2336426
-39.935478	-70.902695	1.2434082
-39.93536	-70.250725	1.2531738
-39.933891	-65.828514	1.2629395
-39.93383	-63.559494	1.2727051
-39.932861	-66.003304	1.2824707
-39.93116	-66.354279	1.2922363
-39.931042	-67.40033	1.302002
-39.930008	-66.399712	1.3117676
-39.929306	-65.899742	1.3215332
-39.928066	-65.055176	1.3312988
-39.927063	-58.944305	1.3410645
-39.926624	-61.430836	1.3508301
-39.925747	-61.425957	1.3605957
-39.925224	-65.825562	1.3703613
-39.924644	-64.298584	1.380127
-39.924953	-57.707817	1.3898926
-39.921131	-60.150307	1.3996582
-39.922367	-57.210106	1.4094238
-39.921272	-59.272991	1.4191895
-39.92038	-61.916241	1.4289551
-39.919006	-61.210087	1.4387207
-39.919407	-62.196785	1.4484863
-39.917938	-56.244209	1.458252
-39.917065	-53.543201	1.4680176
-39.91573	-54.807014	1.4777832
-39.915352	-58.796795	1.4875488
-39.914227	-60.263878	1.4973145
-39.913853	-57.212811	1.5070801
-39.912991	-55.15802	1.5168457
-39.911987	-51.486752	1.5266113
-39.911297	-50.113663	1.536377
-39.910954	-53.776085	1.5461426
-39.908287	-56.224358	1.5559082
-39.909805	-55.993813	1.5656738
-39.908367	-52.600834	1.5754395
-39.906944	-46.539825	1.5852051
-39.905235	-46.655323	1.5949707
-39.905602	-52.659901	1.6047363
-39.904987	-54.165356	1.614502
-39.904655	-51.810989	1.6242676
-39.902599	-50.165417	1.6340332
-39.902588	-45.835865	1.6437988
-39.901154	-48.016785	1.6535645
-39.901299	-46.965366	1.6633301
-39.899883	-48.952644	1.6730957
-39.898903	-52.323097	1.6828613
-39.898678	-48.300549	1.692627
