MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_090_r0			Time:	20.017578	s	4/14/2019 1:43:05 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.042393	-308.50439	0.022705078
-40.040924	-310.9519	0.032470703
-40.042271	-313.14325	0.042236328
-40.040367	-313.2243	0.052001953
-40.040707	-311.6846	0.061767578
-40.040287	-309.83051	0.071533203
-40.040447	-311.86319	0.081298828
-40.040314	-310.22281	0.091064453
-40.040604	-307.36041	0.10083008
-40.039284	-309.98294	0.1105957
-40.038063	-309.01529	0.12036133
-40.036968	-312.66595	0.13012695
-40.036499	-308.94815	0.13989258
-40.035538	-306.55707	0.1496582
-40.033035	-308.60938	0.15942383
-40.033138	-307.6185	0.16918945
-40.031715	-307.04935	0.17895508
-40.032124	-307.69778	0.1887207
-40.031349	-309.64658	0.19848633
-40.029987	-306.92261	0.20825195
-40.030098	-303.91254	0.21801758
-40.028111	-299.71854	0.2277832
-40.027905	-304.59106	0.23754883
-40.027054	-307.19617	0.24731445
-40.026695	-306.2988	0.25708008
-40.025505	-303.50516	0.2668457
-40.024372	-302.3877	0.27661133
-40.02346	-300.50839	0.28637695
-40.021767	-299.51749	0.29614258
-40.022774	-301.58572	0.3059082
-40.020947	-305.69113	0.31567383
-40.018486	-304.31729	0.32543945
-40.020542	-300.3688	0.33520508
-40.019215	-294.29495	0.3449707
-40.01791	-294.08716	0.35473633
-40.017616	-301.61487	0.36450195
-40.016979	-300.8327	0.37426758
-40.015141	-300.65479	0.3840332
-40.014107	-297.58868	0.39379883
-40.012863	-293.31097	0.40356445
-40.013332	-296.21097	0.41333008
-40.012035	-292.61212	0.4230957
-40.011337	-296.95874	0.43286133
-40.010262	-300.93835	0.44262695
-40.011162	-295.04718	0.45239258
-40.009186	-291.51154	0.4621582
-40.00861	-288.18964	0.47192383
-40.007732	-290.67526	0.48168945
-40.00531	-297.6734	0.49145508
-40.005611	-295.56827	0.5012207
-40.004238	-293.61649	0.51098633
-40.00412	-288.87646	0.52075195
-40.003956	-289.42789	0.53051758
-40.002357	-287.69055	0.5402832
-40.002598	-287.64218	0.55004883
-40.002029	-295.2424	0.55981445
-40.000355	-292.95358	0.56958008
-39.998577	-289.16458	0.5793457
-39.998455	-285.08316	0.58911133
-39.997578	-286.18652	0.59887695
-39.997948	-288.14301	0.60864258
-39.996975	-291.25995	0.6184082
-39.99511	-289.1026	0.62817383
-39.994427	-286.13226	0.63793945
-39.993965	-284.86652	0.64770508
-39.993568	-283.82135	0.6574707
-39.993122	-283.21191	0.66723633
-39.990074	-286.42368	0.67700195
-39.989922	-286.85733	0.68676758
-39.989349	-286.17844	0.6965332
-39.988636	-281.85526	0.70629883
-39.986988	-281.15152	0.71606445
-39.987152	-281.98544	0.72583008
-39.985554	-282.66403	0.7355957
-39.985916	-283.12747	0.74536133
-39.985352	-282.8165	0.75512695
-39.984234	-282.07019	0.76489258
-39.983559	-280.18979	0.7746582
-39.982746	-276.78394	0.78442383
-39.982395	-277.58124	0.79418945
-39.981388	-278.9313	0.80395508
-39.979309	-282.22922	0.8137207
-39.979275	-279.84937	0.82348633
-39.977425	-277.46228	0.83325195
-39.977711	-276.84738	0.84301758
-39.976494	-274.13766	0.8527832
-39.97567	-274.28125	0.86254883
-39.975506	-277.09772	0.87231445
-39.975101	-277.85303	0.88208008
-39.97345	-278.89609	0.8918457
-39.972919	-273.48868	0.90161133
-39.972485	-269.5134	0.91137695
-39.971394	-271.65875	0.92114258
-39.970631	-275.31305	0.9309082
-39.96978	-275.77164	0.94067383
-39.968094	-273.14398	0.95043945
-39.967216	-270.58362	0.96020508
-39.966606	-268.02017	0.9699707
-39.965679	-268.10574	0.97973633
-39.964455	-269.48227	0.98950195
-39.964893	-272.46402	0.99926758
-39.964317	-273.87662	1.0090332
-39.962959	-269.82703	1.0187988
-39.961662	-264.5036	1.0285645
-39.960342	-264.28876	1.0383301
-39.961788	-269.20071	1.0480957
-39.959599	-270.06406	1.0578613
-39.958961	-271.00815	1.067627
-39.957954	-267.54501	1.0773926
-39.957092	-262.96536	1.0871582
-39.955952	-263.21472	1.0969238
-39.955551	-261.2756	1.1066895
-39.954773	-265.55228	1.1164551
-39.954185	-269.8313	1.1262207
-39.953129	-265.50354	1.1359863
-39.953075	-261.68756	1.145752
-39.952034	-258.00238	1.1555176
-39.951809	-260.8949	1.1652832
-39.950562	-263.63043	1.1750488
-39.950172	-262.724	1.1848145
-39.947666	-262.48071	1.1945801
-39.947235	-259.66629	1.2043457
-39.946201	-257.67752	1.2141113
-39.946281	-257.49429	1.223877
-39.945396	-255.98238	1.2336426
-39.943459	-261.5473	1.2434082
-39.943554	-260.28165	1.2531738
-39.942322	-259.00833	1.2629395
-39.941395	-254.58849	1.2727051
-39.940659	-253.15073	1.2824707
-39.939739	-256.02051	1.2922363
-39.939144	-257.25452	1.302002
-39.938171	-255.05888	1.3117676
-39.938374	-257.77954	1.3215332
-39.936226	-255.9281	1.3312988
-39.936565	-251.86363	1.3410645
-39.935654	-251.72246	1.3508301
-39.933743	-251.08672	1.3605957
-39.934002	-254.61972	1.3703613
-39.932579	-256.04004	1.380127
-39.931236	-250.65231	1.3898926
-39.931824	-249.87595	1.3996582
-39.931049	-249.24995	1.4094238
-39.92902	-248.25636	1.4191895
-39.927929	-249.95616	1.4289551
-39.929451	-249.79852	1.4387207
-39.927067	-251.99086	1.4484863
-39.925396	-249.8951	1.458252
-39.924633	-246.35982	1.4680176
-39.924282	-244.6174	1.4777832
-39.923393	-243.75801	1.4875488
-39.923138	-249.67303	1.4973145
-39.922188	-249.15814	1.5070801
-39.921692	-244.11363	1.5168457
-39.920681	-244.10509	1.5266113
-39.919922	-241.81351	1.536377
-39.918381	-241.74324	1.5461426
-39.918888	-243.43137	1.5559082
-39.917351	-245.82614	1.5656738
-39.915802	-247.4716	1.5754395
-39.915356	-241.03143	1.5852051
-39.914639	-236.22818	1.5949707
-39.914959	-238.2515	1.6047363
-39.912937	-241.48682	1.614502
-39.912254	-245.12041	1.6242676
-39.911758	-242.39316	1.6340332
-39.910049	-237.64128	1.6437988
-39.909801	-236.2099	1.6535645
-39.909004	-235.49504	1.6633301
-39.908943	-235.29297	1.6730957
-39.907478	-238.47971	1.6828613
-39.906666	-240.43324	1.692627
