MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_090_r0			Time:	20.017578	s	4/15/2019 2:26:46 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
9.9719458	-164.06223	0.022460938
9.9716482	-158.46881	0.032226563
9.9704809	-152.68597	0.041992188
9.9720068	-148.68347	0.051757813
9.9720078	-148.44908	0.061523438
9.9718819	-157.74277	0.071289063
9.9710922	-159.15741	0.081054688
9.973547	-158.4306	0.090820313
9.9731264	-156.72153	0.10058594
9.9738827	-150.93497	0.11035156
9.975318	-147.13791	0.12011719
9.9759474	-149.15338	0.12988281
9.9762974	-152.89195	0.13964844
9.9776096	-158.3624	0.14941406
9.9789	-155.85768	0.15917969
9.978406	-148.37405	0.16894531
9.979599	-143.92343	0.17871094
9.9802198	-144.47415	0.18847656
9.9804754	-148.06818	0.19824219
9.9815254	-149.5202	0.20800781
9.9828796	-151.62462	0.21777344
9.9832191	-150.31674	0.22753906
9.9840364	-143.49594	0.23730469
9.9853754	-136.1172	0.24707031
9.9863863	-140.46169	0.25683594
9.9869528	-144.4709	0.26660156
9.986701	-149.98332	0.27636719
9.988512	-145.6714	0.28613281
9.9891386	-140.20042	0.29589844
9.9906282	-138.29666	0.30566406
9.9914885	-133.55383	0.31542969
9.9916906	-137.76212	0.32519531
9.9920111	-142.90767	0.33496094
9.9943581	-144.6721	0.34472656
9.9949646	-143.9608	0.35449219
9.9950953	-133.53725	0.36425781
9.9964962	-129.83189	0.37402344
9.9968729	-132.38208	0.38378906
9.9981546	-140.33157	0.39355469
9.9984789	-144.02559	0.40332031
9.9993191	-139.61057	0.41308594
10.000428	-135.25417	0.42285156
10.001222	-128.76712	0.43261719
10.002384	-128.23897	0.44238281
10.00169	-132.3098	0.45214844
10.002844	-138.15936	0.46191406
10.00406	-138.80391	0.47167969
10.00419	-134.06181	0.48144531
10.0055	-123.44591	0.49121094
10.006494	-123.55515	0.50097656
10.008048	-126.82128	0.51074219
10.007744	-132.44745	0.52050781
10.008566	-135.10188	0.53027344
10.009237	-128.49925	0.54003906
10.010336	-123.95619	0.54980469
10.011873	-120.27957	0.55957031
10.012324	-121.09358	0.56933594
10.012375	-127.89282	0.57910156
10.013667	-133.00926	0.58886719
10.015412	-129.53835	0.59863281
10.016063	-120.80384	0.60839844
10.016389	-114.71747	0.61816406
10.016974	-117.72794	0.62792969
10.017866	-124.01348	0.63769531
10.01877	-126.13526	0.64746094
10.019485	-126.98786	0.65722656
10.020516	-119.44514	0.66699219
10.021378	-116.97938	0.67675781
10.021783	-113.50323	0.68652344
10.022107	-114.92145	0.69628906
10.024275	-123.49989	0.70605469
10.024049	-122.3573	0.71582031
10.025264	-119.99559	0.72558594
10.026272	-112.66946	0.73535156
10.027091	-107.79673	0.74511719
10.026995	-114.89468	0.75488281
10.02778	-114.44005	0.76464844
10.029199	-116.60783	0.77441406
10.030554	-117.56476	0.78417969
10.030934	-113.872	0.79394531
10.031644	-109.08257	0.80371094
10.032839	-105.1384	0.81347656
10.033428	-109.38734	0.82324219
10.033569	-114.9537	0.83300781
10.03502	-115.06602	0.84277344
10.035645	-111.22153	0.85253906
10.036804	-104.43192	0.86230469
10.037676	-103.59302	0.87207031
10.03826	-104.72301	0.88183594
10.038463	-106.45927	0.89160156
10.040086	-111.2953	0.90136719
10.040074	-113.12871	0.91113281
10.041267	-105.47791	0.92089844
10.041911	-99.402794	0.93066406
10.042906	-96.875832	0.94042969
10.044298	-100.63911	0.95019531
10.044836	-109.66897	0.95996094
10.046209	-107.9352	0.96972656
10.046631	-101.73931	0.97949219
10.046082	-99.328056	0.98925781
10.048694	-92.343704	0.99902344
10.049376	-96.460793	1.0087891
10.049694	-99.141884	1.0185547
10.049531	-105.58276	1.0283203
10.051874	-104.02052	1.0380859
10.053483	-94.93573	1.0478516
10.052467	-87.656906	1.0576172
10.053733	-88.496803	1.0673828
10.054039	-96.200111	1.0771484
10.055098	-102.74976	1.0869141
10.05577	-98.15741	1.0966797
10.055911	-95.989265	1.1064453
10.057452	-86.038528	1.1162109
10.058381	-86.35392	1.1259766
10.058999	-90.251335	1.1357422
10.061181	-94.080917	1.1455078
10.060748	-99.656036	1.1552734
10.061629	-94.159996	1.1650391
10.063474	-83.751328	1.1748047
10.063464	-81.082771	1.1845703
10.064496	-85.257774	1.1943359
10.065466	-90.527596	1.2041016
10.065942	-92.896599	1.2138672
10.067362	-90.454247	1.2236328
10.067632	-86.169441	1.2333984
10.06773	-80.244965	1.2431641
10.069738	-77.376976	1.2529297
10.070118	-85.080421	1.2626953
10.071044	-90.622772	1.2724609
10.071394	-89.176216	1.2822266
10.07259	-82.432449	1.2919922
10.072755	-74.366333	1.3017578
10.074492	-75.844872	1.3115234
10.07528	-81.023796	1.3212891
10.07677	-84.49752	1.3310547
10.077163	-85.177277	1.3408203
10.078047	-80.876732	1.3505859
10.078385	-78.3517	1.3603516
10.078329	-72.206207	1.3701172
10.080128	-69.843307	1.3798828
10.080117	-80.528496	1.3896484
10.080324	-79.965248	1.3994141
10.082451	-81.494247	1.4091797
10.08293	-73.322075	1.4189453
10.083749	-68.863182	1.4287109
10.085762	-70.615471	1.4384766
10.084086	-72.125778	1.4482422
10.08623	-75.188889	1.4580078
10.086741	-78.231972	1.4677734
10.086996	-76.63868	1.4775391
10.089069	-69.851906	1.4873047
10.088429	-64.075325	1.4970703
10.090653	-64.653114	1.5068359
10.091561	-72.503471	1.5166016
10.092158	-75.551506	1.5263672
10.091754	-72.652794	1.5361328
10.093103	-67.157219	1.5458984
10.093719	-62.513248	1.5556641
10.095325	-61.076908	1.5654297
10.095717	-63.658981	1.5751953
10.096631	-68.733719	1.5849609
10.09846	-71.862251	1.5947266
10.097968	-67.266632	1.6044922
10.099173	-60.285999	1.6142578
10.099569	-53.093849	1.6240234
10.100471	-56.695415	1.6337891
10.101038	-66.382072	1.6435547
10.102049	-68.132492	1.6533203
10.103275	-64.38858	1.6630859
10.103154	-58.794285	1.6728516
10.105469	-51.746223	1.6826172
10.105874	-52.589836	1.6923828
10.107397	-56.672623	1.7021484
10.107843	-63.20446	1.7119141
10.107797	-65.085075	1.7216797
10.108704	-57.854832	1.7314453
10.110758	-48.843048	1.7412109
10.110777	-45.398834	1.7509766
10.111931	-53.126881	1.7607422
10.111979	-59.068443	1.7705078
