MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.0271	s	4/14/2019 12:31:20 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.905758	59.211651	1.7199707
-39.904022	61.892284	1.7297363
-39.90451	63.197582	1.739502
-39.902924	62.993908	1.7492676
-39.901936	58.914169	1.7590332
-39.901283	60.855259	1.7687988
-39.900326	60.72506	1.7785645
-39.899883	61.130836	1.7883301
-39.899918	65.454033	1.7980957
-39.899113	66.20639	1.8078613
-39.898121	65.189835	1.817627
-39.897114	60.361557	1.8273926
-39.896088	61.078789	1.8371582
-39.894947	66.384949	1.8469238
-39.894035	69.905144	1.8566895
-39.89362	68.402069	1.8664551
-39.893559	64.992058	1.8762207
-39.891861	64.173813	1.8859863
-39.891708	66.510315	1.895752
-39.890514	65.935349	1.9055176
-39.889305	70.249687	1.9152832
-39.888565	73.52964	1.9250488
-39.887432	71.623756	1.9348145
-39.885925	67.929848	1.9445801
-39.886406	66.061165	1.9543457
-39.885635	68.114151	1.9641113
-39.884712	76.295021	1.973877
-39.884243	75.066086	1.9836426
-39.883156	74.497345	1.9934082
-39.881798	71.110619	2.0031738
-39.88018	70.744423	2.0129395
-39.879501	70.547615	2.0227051
-39.879482	75.864128	2.0324707
-39.877819	76.577202	2.0422363
-39.878143	80.160156	2.052002
-39.877094	75.922607	2.0617676
-39.876949	71.654472	2.0715332
-39.875969	73.003807	2.0812988
-39.874523	76.645668	2.0910645
-39.874332	82.873756	2.1008301
-39.873001	79.773354	2.1105957
-39.872849	80.059174	2.1203613
-39.870789	78.334305	2.130127
-39.870598	75.814362	2.1398926
-39.870438	79.865952	2.1496582
-39.868946	79.899773	2.1594238
-39.868328	84.00415	2.1691895
-39.867889	84.663582	2.1789551
-39.86554	78.882248	2.1887207
-39.866413	80.895081	2.1984863
-39.864876	82.673645	2.208252
-39.864204	84.982155	2.2180176
-39.86433	86.603889	2.2277832
-39.863514	85.302078	2.2375488
-39.861977	84.772507	2.2473145
-39.860706	85.84568	2.2570801
-39.859943	83.739845	2.2668457
-39.858204	83.127213	2.2766113
-39.857838	88.419342	2.286377
-39.857773	89.522949	2.2961426
-39.856369	88.73877	2.3059082
-39.856228	86.516792	2.3156738
-39.855724	86.750725	2.3254395
-39.854767	88.670677	2.3352051
-39.853073	89.450462	2.3449707
-39.85289	91.341431	2.3547363
-39.850845	92.120445	2.364502
-39.851719	93.282791	2.3742676
-39.850716	89.627754	2.3840332
-39.849602	86.57415	2.3937988
-39.848537	91.458237	2.4035645
-39.847408	95.457466	2.4133301
-39.847145	96.374466	2.4230957
-39.845989	95.985275	2.4328613
-39.845715	92.116936	2.442627
-39.844715	93.124969	2.4523926
-39.843567	93.463135	2.4621582
-39.843472	93.325256	2.4719238
-39.842365	99.570953	2.4816895
-39.841972	99.548965	2.4914551
-39.840988	99.618805	2.5012207
-39.839989	93.639717	2.5109863
-39.839958	92.53833	2.520752
-39.83844	97.138367	2.5305176
-39.837891	101.68668	2.5402832
-39.837276	103.41773	2.5500488
-39.834869	99.884796	2.5598145
-39.835072	96.859016	2.5695801
-39.834507	99.676941	2.5793457
-39.832973	97.393677	2.5891113
-39.832684	102.53577	2.598877
-39.831356	106.78782	2.6086426
-39.830429	104.78495	2.6184082
-39.82975	102.61607	2.6281738
-39.828831	98.919121	2.6379395
-39.829643	99.944016	2.6477051
-39.828068	106.73621	2.6574707
-39.827671	108.61945	2.6672363
-39.826046	107.90051	2.677002
-39.824829	105.45771	2.6867676
-39.823132	102.09689	2.6965332
-39.823528	103.56464	2.7062988
-39.822723	106.60547	2.7160645
-39.821964	108.63615	2.7258301
-39.820297	111.19321	2.7355957
-39.820686	108.65346	2.7453613
-39.819229	105.33191	2.755127
-39.819397	105.96626	2.7648926
-39.817989	109.81149	2.7746582
-39.816475	113.79957	2.7844238
-39.816933	111.64461	2.7941895
-39.815395	113.06748	2.8039551
-39.815102	111.33711	2.8137207
-39.813675	110.37758	2.8234863
-39.813602	113.36644	2.833252
-39.811359	110.40836	2.8430176
-39.811241	116.28314	2.8527832
-39.810303	117.07554	2.8625488
-39.809547	114.78603	2.8723145
-39.80788	114.03185	2.8820801
-39.807827	112.49081	2.8918457
-39.807514	114.33578	2.9016113
-39.80711	118.70359	2.911377
-39.805073	116.084	2.9211426
-39.805439	117.81053	2.9309082
-39.802944	118.59768	2.9406738
-39.803242	116.27911	2.9504395
-39.803177	116.13577	2.9602051
-39.801693	117.82819	2.9699707
-39.79966	122.80193	2.9797363
-39.800137	123.41703	2.989502
-39.798492	123.1105	2.9992676
-39.797451	119.14012	3.0090332
-39.798065	119.08954	3.0187988
-39.797089	121.35871	3.0285645
-39.796829	122.21114	3.0383301
-39.795479	124.53073	3.0480957
-39.794514	125.61381	3.0578613
-39.792988	125.52802	3.067627
-39.790981	120.03419	3.0773926
-39.791157	123.00623	3.0871582
-39.790737	122.68513	3.0969238
-39.789291	129.23586	3.1066895
-39.789024	131.17526	3.1164551
-39.790112	123.33389	3.1262207
-39.787975	124.92407	3.1359863
-39.785748	124.66433	3.145752
-39.786053	125.88276	3.1555176
-39.785542	131.72699	3.1652832
-39.784428	133.12329	3.1750488
-39.783234	131.0696	3.1848145
-39.783386	127.04343	3.1945801
-39.782417	124.45307	3.2043457
-39.781116	127.82207	3.2141113
-39.781143	133.87054	3.223877
-39.779297	135.84476	3.2336426
-39.778957	132.27219	3.2434082
-39.778202	129.40056	3.2531738
-39.777546	132.69409	3.2629395
-39.776073	131.46104	3.2727051
-39.77544	134.00534	3.2824707
-39.775063	137.17787	3.2922363
-39.774086	137.81651	3.302002
-39.773869	135.91734	3.3117676
-39.771984	131.1503	3.3215332
-39.771366	132.98254	3.3312988
-39.770672	137.23427	3.3410645
-39.770432	139.53082	3.3508301
-39.77	142.19434	3.3605957
-39.768826	136.80542	3.3703613
-39.766445	136.77815	3.380127
-39.766342	138.64459	3.3898926
-39.765984	137.91075	3.3996582
-39.765636	139.83545	3.4094238
-39.763844	146.01563	3.4191895
-39.76458	141.91364	3.4289551
-39.762562	140.66353	3.4387207
-39.761906	138.79828	3.4484863
-39.761177	141.11079	3.458252
-39.761242	144.52821	3.4680176
-39.759197	143.83318	3.4777832
-39.756409	146.16136	3.4875488
-39.75779	144.99254	3.4973145
-39.755417	143.717	3.5070801
-39.756077	145.25842	3.5168457
-39.755615	141.73547	3.5266113
-39.754421	147.10622	3.536377
-39.753132	149.94382	3.5461426
-39.752972	148.02736	3.5559082
-39.751575	147.19614	3.5656738
-39.75211	143.71541	3.5754395
-39.750816	146.36261	3.5852051
-39.749546	151.10323	3.5949707
-39.74773	149.58781	3.6047363
-39.748039	152.83049	3.614502
-39.747692	151.64825	3.6242676
-39.745918	150.22946	3.6340332
-39.745007	147.85042	3.6437988
-39.744995	147.2914	3.6535645
-39.742947	154.41849	3.6633301
-39.742836	157.80322	3.6730957
-39.742214	153.94833	3.6828613
-39.742153	152.45267	3.692627
-39.74123	148.63495	3.7023926
-39.741688	153.31348	3.7121582
-39.738892	152.94846	3.7219238
-39.738781	158.65569	3.7316895
-39.737934	160.1842	3.7414551
-39.736279	158.31816	3.7512207
-39.736267	153.79471	3.7609863
-39.735085	152.86758	3.770752
-39.734215	155.40271	3.7805176
-39.733803	162.97272	3.7902832
-39.732132	162.48244	3.8000488
-39.731407	159.13132	3.8098145
-39.730255	157.30064	3.8195801
-39.730228	156.3495	3.8293457
-39.729649	158.78662	3.8391113
-39.728966	163.69632	3.848877
-39.72797	164.21736	3.8586426
-39.726791	166.23941	3.8684082
-39.726299	161.45863	3.8781738
-39.725643	156.77745	3.8879395
-39.724514	159.73073	3.8977051
-39.723812	164.93861	3.9074707
-39.722244	169.96255	3.9172363
-39.721893	166.33313	3.927002
-39.721306	162.61014	3.9367676
-39.720078	165.69383	3.9465332
-39.719006	164.66296	3.9562988
-39.717991	167.46437	3.9660645
-39.717091	168.48653	3.9758301
-39.716305	170.1563	3.9855957
-39.715652	170.99255	3.9953613
-39.716324	164.70369	4.005127
-39.714901	166.11967	4.0148926
-39.713821	169.87215	4.0246582
-39.713482	172.40518	4.0344238
-39.71122	173.59358	4.0441895
-39.711102	170.0587	4.0539551
-39.710518	169.90199	4.0637207
-39.709476	171.37323	4.0734863
-39.708477	171.0957	4.083252
-39.707733	171.3031	4.0930176
-39.707752	174.08284	4.1027832
-39.706528	176.47748	4.1125488
-39.704533	175.51773	4.1223145
-39.70578	174.07831	4.1320801
-39.703915	172.21475	4.1418457
-39.703308	174.56477	4.1516113
-39.701527	177.43915	4.161377
-39.702667	178.17758	4.1711426
-39.700024	178.42181	4.1809082
-39.699257	176.7883	4.1906738
-39.699688	177.69652	4.2004395
-39.697964	175.20639	4.2102051
-39.697044	177.29965	4.2199707
-39.696934	180.93927	4.2297363
-39.695675	182.6804	4.239502
-39.693977	183.1178	4.2492676
