MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typei_4545_r0			Time:	20.018066	s	4/14/2019 4:20:54 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
9.9568844	-140.09586	0.023193359
9.9564152	-135.20235	0.032958984
9.9575872	-123.56503	0.042724609
9.9570608	-123.09804	0.052490234
9.9562244	-130.2198	0.062255859
9.9557772	-137.99364	0.072021484
9.9568005	-145.04054	0.081787109
9.9570351	-138.64212	0.091552734
9.9588575	-127.89841	0.10131836
9.9587603	-123.15842	0.11108398
9.95895	-123.94913	0.12084961
9.9603004	-132.79054	0.13061523
9.961257	-139.11482	0.14038086
9.9618263	-136.47902	0.15014648
9.9622278	-130.74211	0.15991211
9.9639406	-125.24097	0.16967773
9.9640961	-119.44923	0.17944336
9.9654284	-125.08852	0.18920898
9.9665575	-132.45467	0.19897461
9.9665756	-136.76018	0.20874023
9.9676657	-132.73402	0.21850586
9.9689388	-120.79697	0.22827148
9.9692688	-119.32973	0.23803711
9.9701958	-122.23188	0.24780273
9.9713545	-126.54997	0.25756836
9.9715309	-130.96196	0.26733398
9.9724369	-130.27725	0.27709961
9.9730053	-128.35452	0.28686523
9.9745712	-118.22633	0.29663086
9.9754534	-115.26642	0.30639648
9.9757519	-120.65713	0.31616211
9.9756603	-124.91958	0.32592773
9.976984	-131.95831	0.33569336
9.9774666	-124.21068	0.34545898
9.979414	-118.06434	0.35522461
9.9791851	-113.88438	0.36499023
9.9807053	-114.99509	0.37475586
9.9807358	-120.95405	0.38452148
9.9822245	-124.76218	0.39428711
9.9830561	-125.77361	0.40405273
9.9847517	-121.63649	0.41381836
9.9840393	-111.47025	0.42358398
9.9843931	-110.99831	0.43334961
9.9872637	-114.72417	0.44311523
9.9870844	-125.04479	0.45288086
9.9880981	-124.47375	0.46264648
9.9895267	-118.11774	0.47241211
9.9897041	-112.81086	0.48217773
9.9899273	-106.78503	0.49194336
9.9909029	-109.66371	0.50170898
9.9915876	-117.13539	0.51147461
9.9935398	-123.32015	0.52124023
9.9925404	-120.76415	0.53100586
9.9947891	-113.20856	0.54077148
9.9949722	-101.96996	0.55053711
9.9964981	-105.67323	0.56030273
9.9969521	-115.10242	0.57006836
9.9969788	-119.65176	0.57983398
9.99932	-119.68855	0.58959961
9.9991407	-111.7085	0.59936523
10.000306	-103.6274	0.60913086
10.001795	-102.19928	0.61889648
10.001649	-106.19357	0.62866211
10.002316	-115.41067	0.63842773
10.003876	-119.92277	0.64819336
10.004352	-112.29797	0.65795898
10.005178	-103.94867	0.66772461
10.005391	-98.214798	0.67749023
10.006557	-103.11872	0.68725586
10.007849	-111.35344	0.69702148
10.008252	-113.6614	0.70678711
10.009225	-111.47756	0.71655273
10.009591	-102.57544	0.72631836
10.01093	-98.109993	0.73608398
10.011707	-97.651512	0.74584961
10.012004	-101.51933	0.75561523
10.01302	-112.01676	0.76538086
10.014079	-111.41188	0.77514648
10.015403	-103.31866	0.78491211
10.015494	-94.923134	0.79467773
10.016285	-94.011833	0.80444336
10.017219	-99.086914	0.81420898
10.017653	-104.95061	0.82397461
10.019761	-106.88512	0.83374023
10.019382	-105.17496	0.84350586
10.01913	-97.792488	0.85327148
10.021031	-92.425819	0.86303711
10.02272	-92.579422	0.87280273
10.022924	-98.664513	0.88256836
10.023695	-104.9015	0.89233398
10.02389	-105.39314	0.90209961
10.025858	-96.175766	0.91186523
10.026871	-89.956062	0.92163086
10.027014	-89.614532	0.93139648
10.028479	-93.97644	0.94116211
10.028778	-98.972878	0.95092773
10.029728	-101.33759	0.96069336
10.02955	-99.712212	0.97045898
10.031097	-91.225166	0.98022461
10.032185	-83.2883	0.98999023
10.032595	-87.659668	0.99975586
10.032707	-92.438057	1.0095215
10.034172	-100.7653	1.0192871
10.035445	-96.414452	1.0290527
10.035517	-88.847923	1.0388184
10.035862	-86.702988	1.048584
10.037299	-82.014305	1.0583496
10.038341	-87.147354	1.0681152
10.039385	-95.871033	1.0778809
10.039971	-96.952492	1.0876465
10.039514	-94.413231	1.0974121
10.041865	-82.936455	1.1071777
10.042396	-76.738335	1.1169434
10.043172	-81.507233	1.126709
10.043842	-90.314117	1.1364746
10.044721	-96.028908	1.1462402
10.044935	-89.370941	1.1560059
10.046939	-83.961449	1.1657715
10.047768	-77.158722	1.1755371
10.047789	-76.38353	1.1853027
10.049559	-82.745743	1.1950684
10.050243	-91.126633	1.204834
10.051345	-91.920395	1.2145996
10.051389	-84.848495	1.2243652
10.052212	-74.041527	1.2341309
10.052769	-70.989548	1.2438965
10.053613	-80.185959	1.2536621
10.053781	-86.165733	1.2634277
10.054111	-87.796539	1.2731934
10.056864	-84.406174	1.282959
10.057364	-74.168686	1.2927246
10.057471	-69.54641	1.3024902
10.05824	-71.952446	1.3122559
10.058268	-79.787941	1.3220215
10.060845	-86.208183	1.3317871
10.060865	-82.365875	1.3415527
10.062155	-74.641037	1.3513184
10.062714	-65.533348	1.361084
10.062855	-67.964172	1.3708496
10.064337	-76.899902	1.3806152
10.064736	-80.761543	1.3903809
10.065895	-81.127411	1.4001465
10.066605	-73.145676	1.4099121
10.067436	-69.291618	1.4196777
10.067882	-64.384384	1.4294434
10.068039	-65.427414	1.439209
10.070901	-74.793381	1.4489746
10.070531	-79.336243	1.4587402
10.071859	-75.799545	1.4685059
10.072637	-66.110466	1.4782715
10.074428	-61.094479	1.4880371
10.073067	-64.937996	1.4978027
10.074973	-70.250664	1.5075684
10.076303	-73.387383	1.517334
10.076787	-74.743462	1.5270996
10.077229	-69.864761	1.5368652
10.077891	-60.643623	1.5466309
10.077602	-58.643646	1.5563965
10.079553	-60.839535	1.5661621
10.080145	-69.26165	1.5759277
10.082016	-73.600426	1.5856934
10.082667	-67.889908	1.595459
10.082713	-60.439613	1.6052246
10.083325	-56.798031	1.6149902
10.084827	-58.252327	1.6247559
10.085773	-63.563354	1.6345215
10.086341	-66.860054	1.6442871
10.085505	-69.573669	1.6540527
10.087688	-61.911194	1.6638184
10.089341	-53.371902	1.673584
10.089042	-51.609997	1.6833496
10.090714	-55.879276	1.6931152
10.090632	-66.44912	1.7028809
10.092513	-67.853203	1.7126465
10.092211	-59.923481	1.7224121
10.093089	-53.707161	1.7321777
10.094918	-47.214108	1.7419434
10.095657	-52.866997	1.751709
10.096004	-57.85421	1.7614746
