MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.11921	-86.191025	1.7587891
10.119699	-85.436531	1.7685547
10.120666	-88.099541	1.7783203
10.122076	-80.321671	1.7880859
10.123094	-75.267502	1.7978516
10.123947	-76.96788	1.8076172
10.124344	-80.088951	1.8173828
10.12444	-86.651619	1.8271484
10.125226	-84.369194	1.8369141
10.12661	-77.029419	1.8466797
10.127507	-73.484985	1.8564453
10.128272	-73.85833	1.8662109
10.128785	-77.595154	1.8759766
10.12959	-79.904022	1.8857422
10.130828	-81.074234	1.8955078
10.131448	-77.710136	1.9052734
10.131004	-72.554527	1.9150391
10.132859	-69.615967	1.9248047
10.134664	-69.023132	1.9345703
10.134795	-77.840637	1.9443359
10.135656	-78.120064	1.9541016
10.136622	-76.583809	1.9638672
10.137701	-69.298439	1.9736328
10.137225	-68.822197	1.9833984
10.138832	-68.577049	1.9931641
10.140237	-70.788139	2.0029297
10.140401	-74.585228	2.0126953
10.140677	-73.359024	2.0224609
10.142382	-71.639824	2.0322266
10.142333	-64.874557	2.0419922
10.143142	-62.551262	2.0517578
10.144049	-69.125336	2.0615234
10.145727	-69.1735	2.0712891
10.146539	-70.331978	2.0810547
10.146317	-68.570328	2.0908203
10.148235	-64.368652	2.1005859
10.148596	-65.753357	2.1103516
10.149143	-61.86581	2.1201172
10.150643	-64.16304	2.1298828
10.15087	-68.305824	2.1396484
10.15154	-69.434334	2.1494141
10.151637	-65.814812	2.1591797
10.153309	-58.812279	2.1689453
10.154374	-60.09763	2.1787109
10.15527	-60.514671	2.1884766
10.156451	-64.08123	2.1982422
10.156772	-64.687767	2.2080078
10.157332	-62.64481	2.2177734
10.158573	-59.760704	2.2275391
10.158629	-56.075321	2.2373047
10.160487	-53.273457	2.2470703
10.1611	-58.139717	2.2568359
10.160544	-63.358418	2.2666016
10.162524	-63.412308	2.2763672
10.163774	-56.287949	2.2861328
10.163885	-50.829819	2.2958984
10.164796	-51.321178	2.3056641
10.16519	-56.920097	2.3154297
10.166525	-56.80518	2.3251953
10.166792	-59.517464	2.3349609
10.169307	-58.486099	2.3447266
10.169206	-50.731377	2.3544922
10.169785	-48.412296	2.3642578
10.170477	-47.961662	2.3740234
10.171211	-53.379169	2.3837891
10.172306	-58.509705	2.3935547
10.172232	-54.003345	2.4033203
10.17456	-48.443703	2.4130859
10.175025	-44.750683	2.4228516
10.17499	-48.085819	2.4326172
10.175049	-50.275169	2.4423828
10.176255	-50.897282	2.4521484
10.178428	-54.295555	2.4619141
10.178172	-47.726002	2.4716797
10.180332	-43.719841	2.4814453
10.179909	-41.136456	2.4912109
10.180889	-43.576553	2.5009766
10.181484	-51.899399	2.5107422
10.182558	-49.496471	2.5205078
10.183836	-45.198277	2.5302734
10.184335	-40.652592	2.5400391
10.184141	-40.427605	2.5498047
10.185574	-43.441635	2.5595703
10.187442	-43.512951	2.5693359
10.187658	-43.819584	2.5791016
10.188886	-45.434887	2.5888672
10.188906	-41.554363	2.5986328
10.19052	-36.237709	2.6083984
10.190848	-36.229652	2.6181641
10.191719	-39.788658	2.6279297
10.192089	-43.106457	2.6376953
10.193593	-41.231022	2.6474609
