MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typei_090_r0			Time:	20.017822	s	4/15/2019 2:31:25 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.111366	-71.10807	1.7507324
10.111794	-70.65535	1.760498
10.113613	-66.333237	1.7702637
10.115005	-59.427856	1.7800293
10.115383	-56.321484	1.7897949
10.116038	-59.351444	1.7995605
10.116148	-64.207619	1.8093262
10.117386	-68.475967	1.8190918
10.118914	-65.382339	1.8288574
10.119517	-58.031052	1.838623
10.120784	-53.99614	1.8483887
10.12009	-55.366291	1.8581543
10.121545	-58.071144	1.8679199
10.122606	-61.736546	1.8776855
10.123274	-60.923679	1.8874512
10.124407	-56.450974	1.8972168
10.124947	-52.454784	1.9069824
10.125554	-47.862461	1.916748
10.126806	-51.795601	1.9265137
10.127362	-60.567303	1.9362793
10.128727	-59.504166	1.9460449
10.12951	-54.966843	1.9558105
10.130427	-46.533363	1.9655762
10.131071	-46.635883	1.9753418
10.131452	-48.848072	1.9851074
10.132154	-49.531746	1.994873
10.133313	-54.647167	2.0046387
10.133002	-51.195103	2.0144043
10.134318	-49.568417	2.0241699
10.135584	-43.18927	2.0339355
10.13639	-41.215809	2.0437012
10.136441	-48.032982	2.0534668
10.137969	-48.231216	2.0632324
10.138033	-50.399815	2.072998
10.139039	-45.801334	2.0827637
10.140045	-41.426891	2.0925293
10.141977	-41.650349	2.1022949
10.141674	-41.255684	2.1120605
10.142676	-44.428017	2.1218262
10.142873	-46.949375	2.1315918
10.144975	-46.210548	2.1413574
10.145798	-40.502647	2.151123
10.146748	-34.098919	2.1608887
10.147112	-35.945675	2.1706543
10.147785	-38.391617	2.1804199
10.149538	-42.582348	2.1901855
10.149327	-40.772919	2.1999512
10.149849	-36.827518	2.2097168
10.149756	-35.211926	2.2194824
10.151737	-31.818233	2.229248
10.152575	-31.093981	2.2390137
10.153625	-36.354916	2.2487793
10.153381	-41.010078	2.2585449
10.154785	-37.522835	2.2683105
10.156601	-31.183413	2.2780762
10.156914	-26.955612	2.2878418
10.157254	-27.36768	2.2976074
10.158034	-33.310001	2.307373
10.159429	-34.591633	2.3171387
10.160426	-33.993229	2.3269043
10.161043	-33.137794	2.3366699
10.161336	-25.627577	2.3464355
10.16251	-24.096487	2.3562012
10.163546	-25.76668	2.3659668
10.163315	-32.590698	2.3757324
10.165145	-35.213436	2.385498
10.165147	-27.999361	2.3952637
10.165118	-21.260044	2.4050293
10.167281	-19.104187	2.4147949
10.167671	-23.592047	2.4245605
10.168089	-28.486973	2.4343262
10.169562	-26.571714	2.4440918
10.170579	-29.158403	2.4538574
10.170152	-21.425793	2.463623
10.172288	-16.111698	2.4733887
10.172813	-16.120169	2.4831543
10.174513	-21.098186	2.4929199
10.174337	-26.89257	2.5026855
10.175445	-24.165918	2.5124512
10.176955	-16.964603	2.5222168
10.176853	-14.460467	2.5319824
10.176741	-12.026605	2.541748
10.178799	-17.444248	2.5515137
10.179871	-18.928598	2.5612793
10.180793	-19.534595	2.5710449
10.181123	-17.852732	2.5808105
10.181805	-13.43973	2.5905762
10.182769	-7.86342	2.6003418
10.184154	-11.769506	2.6101074
10.1841	-16.018972	2.619873
10.185722	-18.379116	2.6296387
10.185197	-14.167121	2.6394043
10.187058	-9.4315777	2.6491699
10.187931	-7.5679712	2.6589355
10.187936	-7.1281371	2.6687012
10.18842	-10.017764	2.6784668
10.189822	-12.524704	2.6882324
10.190568	-12.654289	2.697998
10.191636	-10.776525	2.7077637
10.191885	-2.6700637	2.7175293
10.193917	-1.4257224	2.7272949
10.194127	-6.6887598	2.7370605
10.195265	-7.3422232	2.7468262
10.195751	-8.4013844	2.7565918
10.196239	-7.4461331	2.7663574
10.196795	-3.108789	2.776123
10.197777	-1.6627693	2.7858887
10.198315	0.51086891	2.7956543
10.199755	-2.5785508	2.8054199
10.200681	-5.1562605	2.8151855
10.200136	-6.6314859	2.8249512
10.202067	-2.9186065	2.8347168
10.203192	5.6466727	2.8444824
10.203459	5.860002	2.854248
10.204017	3.9878614	2.8640137
10.205012	-1.2161934	2.8737793
10.206351	-2.6551082	2.8835449
10.2076	1.4304719	2.8933105
10.207543	3.0397046	2.9030762
10.208795	8.6610775	2.9128418
10.208944	12.312324	2.9226074
10.210241	5.2393799	2.932373
10.210485	0.82519847	2.9421387
10.211828	0.63153625	2.9519043
10.212171	8.4233055	2.9616699
10.213348	14.758336	2.9714355
10.214467	13.931323	2.9812012
10.214782	9.8354177	2.9909668
10.216284	6.4644265	3.0007324
10.216858	5.525135	3.010498
10.217834	6.5060816	3.0202637
10.217566	12.668506	3.0300293
10.219239	20.150568	3.0397949
10.219923	17.680525	3.0495605
10.22058	9.6801472	3.0593262
10.221294	7.6350994	3.0690918
10.222731	10.215015	3.0788574
10.22321	17.713116	3.088623
10.223334	23.82082	3.0983887
10.225567	19.395288	3.1081543
10.225683	17.479696	3.1179199
10.225416	13.004408	3.1276855
10.226611	10.372459	3.1374512
10.226972	18.969595	3.1472168
10.228106	24.199621	3.1569824
10.230071	28.882614	3.166748
10.23011	23.023884	3.1765137
10.231559	16.389198	3.1862793
10.232707	16.08083	3.1960449
10.233552	21.329548	3.2058105
10.234672	27.044687	3.2155762
10.233951	28.036922	3.2253418
10.235456	26.893307	3.2351074
10.237565	24.004126	3.244873
10.237347	19.848803	3.2546387
10.236599	22.671745	3.2644043
10.238376	28.291456	3.2741699
10.238758	33.539757	3.2839355
10.240802	33.552956	3.2937012
10.241748	27.27309	3.3034668
10.24305	24.568319	3.3132324
10.242834	27.615446	3.322998
10.243641	28.372478	3.3327637
10.244471	34.164097	3.3425293
10.244964	35.399052	3.3522949
10.246345	35.925598	3.3620605
10.246734	31.346106	3.3718262
10.247907	29.062931	3.3815918
10.248293	28.774467	3.3913574
10.24929	37.92168	3.401123
10.250115	40.459579	3.4108887
10.250598	37.656467	3.4206543
10.251928	35.25198	3.4304199
10.252274	34.080574	3.4401855
10.253563	35.484623	3.4499512
10.254428	34.719021	3.4597168
10.25488	41.137016	3.4694824
10.257073	44.35881	3.479248
10.255648	42.408646	3.4890137
10.257054	39.029335	3.4987793
10.259017	34.248798	3.5085449
10.25844	40.398415	3.5183105
10.260219	46.28661	3.5280762
10.261089	46.638561	3.5378418
10.261658	48.964638	3.5476074
10.262508	42.269932	3.557373
10.26323	41.535851	3.5671387
10.263516	40.197319	3.5769043
10.26407	42.186859	3.5866699
10.265655	50.91436	3.5964355
10.266822	53.797779	3.6062012
10.268177	48.644455	3.6159668
10.268479	44.668816	3.6257324
10.268972	41.330708	3.635498
10.269495	49.494915	3.6452637
10.269994	52.567341	3.6550293
10.270993	56.426373	3.6647949
10.272625	55.52002	3.6745605
10.272835	49.403431	3.6843262
10.273822	47.948956	3.6940918
10.273441	46.4725	3.7038574
10.274574	54.589676	3.713623
10.275799	62.129642	3.7233887
10.276944	61.595119	3.7331543
10.277608	55.089622	3.7429199
10.279365	50.071896	3.7526855
10.279311	52.622082	3.7624512
10.279449	55.958134	3.7722168
10.281725	63.186138	3.7819824
10.281199	63.159637	3.791748
10.282932	63.149303	3.8015137
10.284322	54.937431	3.8112793
10.284507	53.505577	3.8210449
10.285407	58.290833	3.8308105
10.285949	65.165474	3.8405762
10.287105	69.624527	3.8503418
10.287229	65.509636	3.8601074
10.287736	61.383827	3.869873
10.288824	59.342651	3.8796387
10.290807	60.583698	3.8894043
10.291045	68.062164	3.8991699
10.29215	67.187904	3.9089355
10.292933	71.829002	3.9187012
10.29319	69.626709	3.9284668
10.293993	60.345493	3.9382324
10.294611	64.209122	3.947998
10.294659	67.122696	3.9577637
10.295958	73.975067	3.9675293
10.297488	77.240425	3.9772949
10.297749	70.573082	3.9870605
10.29917	69.035553	3.9968262
10.29967	67.866753	4.0065918
10.300568	70.243271	4.0163574
10.301073	74.624184	4.026123
10.301796	77.745949	4.0358887
10.302524	79.217583	4.0456543
10.30373	75.283531	4.0554199
10.30451	71.000763	4.0651855
10.305118	71.316795	4.0749512
10.306141	76.047028	4.0847168
10.30814	81.684021	4.0944824
10.307283	79.904617	4.104248
10.309338	80.46817	4.1140137
10.310647	77.687126	4.1237793
10.310505	76.821625	4.1335449
