MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.016846	s	4/13/2019 8:23:06 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034191	-162.09448	0.022216797
-40.034069	-161.51016	0.031982422
-40.03434	-162.88638	0.041748047
-40.033867	-164.50644	0.051513672
-40.034698	-166.34572	0.061279297
-40.03371	-167.07019	0.071044922
-40.033676	-164.39523	0.080810547
-40.033577	-162.9314	0.090576172
-40.033409	-160.1624	0.1003418
-40.03231	-163.6629	0.11010742
-40.033413	-166.12912	0.11987305
-40.030811	-167.59622	0.12963867
-40.029125	-163.61903	0.1394043
-40.027943	-160.86432	0.14916992
-40.028591	-161.30952	0.15893555
-40.025749	-159.22182	0.16870117
-40.025822	-158.97166	0.1784668
-40.025333	-162.30685	0.18823242
-40.024578	-161.39558	0.19799805
-40.022526	-163.54968	0.20776367
-40.023182	-156.09721	0.2175293
-40.022846	-155.24774	0.22729492
-40.02187	-157.3756	0.23706055
-40.019844	-157.15477	0.24682617
-40.020016	-158.72122	0.2565918
-40.019535	-157.14928	0.26635742
-40.018559	-156.85536	0.27612305
-40.016788	-154.81441	0.28588867
-40.016384	-151.57092	0.2956543
-40.01572	-153.49286	0.30541992
-40.014938	-156.76605	0.31518555
-40.014412	-156.77104	0.32495117
-40.012524	-155.45561	0.3347168
-40.012714	-150.79761	0.34448242
-40.011799	-150.73425	0.35424805
-40.010845	-151.01355	0.36401367
-40.010422	-151.88734	0.3737793
-40.00943	-152.90965	0.38354492
-40.007748	-153.63951	0.39331055
-40.007545	-150.78043	0.40307617
-40.006485	-148.43527	0.4128418
-40.006008	-144.18494	0.42260742
-40.005272	-147.01585	0.43237305
-40.004257	-152.48502	0.44213867
-40.002613	-150.23994	0.4519043
-40.001865	-147.35295	0.46166992
-40.001595	-145.92328	0.47143555
-40.000237	-143.22449	0.48120117
-40.000546	-146.40569	0.4909668
-39.999027	-145.19229	0.50073242
-39.99781	-150.0276	0.51049805
-39.997463	-148.62247	0.52026367
-39.996826	-144.10811	0.5300293
-39.995373	-138.56569	0.53979492
-39.995384	-138.18353	0.54956055
-39.995033	-144.11989	0.55932617
-39.993885	-146.49168	0.5690918
-39.993725	-143.83389	0.57885742
-39.992283	-141.36038	0.58862305
-39.991505	-137.56285	0.59838867
-39.989933	-139.87509	0.6081543
-39.989986	-138.03152	0.61791992
-39.989086	-140.41733	0.62768555
-39.987106	-143.8412	0.63745117
-39.988155	-139.80652	0.6472168
-39.98645	-135.6187	0.65698242
-39.985111	-133.63094	0.66674805
-39.985294	-136.00572	0.67651367
-39.985268	-140.61789	0.6862793
-39.983646	-140.59348	0.69604492
-39.980549	-136.52415	0.70581055
-39.981388	-133.88768	0.71557617
-39.981266	-132.39737	0.7253418
-39.979385	-131.98094	0.73510742
-39.979534	-132.995	0.74487305
-39.977531	-136.2901	0.75463867
-39.978947	-135.47987	0.7644043
-39.976116	-132.95715	0.77416992
-39.976452	-128.43718	0.78393555
-39.974583	-128.15602	0.79370117
-39.974632	-131.06551	0.8034668
-39.973995	-133.08812	0.81323242
-39.971916	-130.16605	0.82299805
-39.972313	-129.56291	0.83276367
-39.971416	-130.0191	0.8425293
-39.969482	-125.97838	0.85229492
-39.968803	-125.96884	0.86206055
-39.968639	-128.83383	0.87182617
-39.967457	-129.38971	0.8815918
-39.967628	-131.5583	0.89135742
-39.966415	-124.87181	0.90112305
-39.966129	-123.43922	0.91088867
-39.963642	-124.85135	0.9206543
-39.962746	-122.36012	0.93041992
-39.963577	-125.28932	0.94018555
-39.96254	-124.99411	0.94995117
-39.96064	-125.79945	0.9597168
-39.96138	-125.83406	0.96948242
-39.959084	-119.6203	0.97924805
-39.958797	-119.59792	0.98901367
-39.957806	-121.01331	0.9987793
-39.955742	-124.1826	1.0085449
-39.9562	-123.80235	1.0183105
-39.95565	-119.1796	1.0280762
-39.954971	-118.96304	1.0378418
-39.953335	-115.83116	1.0476074
-39.953686	-118.26756	1.057373
-39.952782	-120.00174	1.0671387
-39.951336	-119.85138	1.0769043
-39.950153	-121.89406	1.0866699
-39.950645	-116.52136	1.0964355
-39.949818	-110.05383	1.1062012
-39.947979	-113.3427	1.1159668
-39.947235	-118.58092	1.1257324
-39.946583	-120.51855	1.135498
-39.944756	-116.14855	1.1452637
-39.944649	-113.37402	1.1550293
-39.94323	-110.92782	1.1647949
-39.943333	-112.64471	1.1745605
-39.94249	-110.78206	1.1843262
-39.941689	-114.54497	1.1940918
-39.940956	-115.52727	1.2038574
-39.940392	-112.30103	1.213623
-39.938667	-108.20116	1.2233887
-39.939098	-107.46437	1.2331543
-39.937771	-111.19869	1.2429199
-39.936108	-114.48553	1.2526855
-39.935379	-112.00425	1.2624512
-39.934551	-108.384	1.2722168
-39.934574	-106.38843	1.2819824
-39.932781	-105.52509	1.291748
-39.932281	-106.14005	1.3015137
-39.932159	-107.69546	1.3112793
-39.92984	-112.02762	1.3210449
-39.930305	-106.67202	1.3308105
-39.928673	-104.88379	1.3405762
-39.929688	-100.79622	1.3503418
-39.92754	-101.80166	1.3601074
-39.926182	-107.12177	1.369873
-39.925591	-106.94761	1.3796387
-39.924915	-103.84254	1.3894043
-39.925327	-102.44917	1.3991699
-39.924255	-100.85034	1.4089355
-39.922436	-99.921608	1.4187012
-39.922668	-101.92615	1.4284668
-39.920784	-102.81333	1.4382324
-39.921452	-102.75304	1.447998
-39.920311	-103.2217	1.4577637
-39.918327	-98.690941	1.4675293
-39.916847	-96.369835	1.4772949
-39.917099	-98.749023	1.4870605
-39.916859	-100.57066	1.4968262
-39.915516	-98.61248	1.5065918
-39.914822	-98.986366	1.5163574
-39.91407	-99.472427	1.526123
-39.913124	-96.080025	1.5358887
-39.912754	-94.116982	1.5456543
-39.912556	-93.941681	1.5554199
-39.910709	-96.716789	1.5651855
-39.910465	-99.00811	1.5749512
-39.908894	-95.498413	1.5847168
-39.909157	-93.147041	1.5944824
-39.908264	-92.051697	1.604248
-39.907158	-88.34684	1.6140137
-39.904968	-94.102516	1.6237793
-39.905472	-93.455635	1.6335449
-39.903786	-92.75293	1.6433105
-39.903812	-93.076256	1.6530762
-39.902737	-87.80735	1.6628418
-39.90258	-85.431503	1.6726074
-39.902088	-86.978973	1.682373
-39.899628	-92.479462	1.6921387
