MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.019043	s	4/13/2019 8:14:16 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-40.034519	-204.48138	0.023193359
-40.0345	-206.94635	0.032958984
-40.034451	-205.64636	0.042724609
-40.034077	-202.01064	0.052490234
-40.034519	-205.53766	0.062255859
-40.03466	-203.57364	0.072021484
-40.033436	-207.17516	0.081787109
-40.033081	-207.17519	0.091552734
-40.030933	-205.87099	0.10131836
-40.029968	-206.74518	0.11108398
-40.029114	-200.08609	0.12084961
-40.028187	-197.59047	0.13061523
-40.028435	-200.851	0.14038086
-40.026981	-204.36797	0.15014648
-40.026554	-206.67802	0.15991211
-40.025684	-201.63998	0.16967773
-40.024479	-195.52454	0.17944336
-40.023602	-195.55612	0.18920898
-40.022919	-197.67358	0.19897461
-40.023045	-200.40189	0.20874023
-40.02103	-200.2274	0.21850586
-40.020103	-201.14729	0.22827148
-40.018936	-197.59149	0.23803711
-40.019356	-191.88739	0.24780273
-40.017956	-194.12497	0.25756836
-40.018181	-197.48756	0.26733398
-40.017204	-201.74995	0.27709961
-40.016682	-199.44547	0.28686523
-40.01474	-192.04817	0.29663086
-40.015133	-190.04785	0.30639648
-40.013607	-192.2	0.31616211
-40.011772	-192.80795	0.32592773
-40.011715	-195.26395	0.33569336
-40.010235	-197.40739	0.34545898
-40.010258	-193.0062	0.35522461
-40.009438	-190.8544	0.36499023
-40.007328	-184.86081	0.37475586
-40.008198	-187.89784	0.38452148
-40.005733	-192.90128	0.39428711
-40.005119	-193.0882	0.40405273
-40.004814	-189.72337	0.41381836
-40.004555	-187.15808	0.42358398
-40.003605	-186.53003	0.43334961
-40.002361	-188.12302	0.44311523
-40.001785	-186.77562	0.45288086
-40.000355	-190.12167	0.46264648
-40.001022	-188.89893	0.47241211
-39.999207	-186.52312	0.48217773
-39.998814	-184.43051	0.49194336
-39.997395	-180.01535	0.50170898
-39.99638	-185.19489	0.51147461
-39.99577	-186.59125	0.52124023
-39.995266	-184.10855	0.53100586
-39.994198	-183.67728	0.54077148
-39.994095	-180.66556	0.55053711
-39.992756	-182.59846	0.56030273
-39.991501	-180.60439	0.57006836
-39.989948	-180.34062	0.57983398
-39.990944	-183.50549	0.58959961
-39.98917	-183.97548	0.59936523
-39.988304	-181.26616	0.60913086
-39.987865	-177.60896	0.61889648
-39.987003	-176.37238	0.62866211
-39.987312	-179.82761	0.63842773
-39.986366	-181.63245	0.64819336
-39.984848	-179.78697	0.65795898
-39.984913	-178.74902	0.66772461
-39.98328	-177.28369	0.67749023
-39.98114	-175.20116	0.68725586
-39.981499	-173.48633	0.69702148
-39.981239	-173.94394	0.70678711
-39.979702	-180.33171	0.71655273
-39.979706	-178.43152	0.72631836
-39.97813	-173.4718	0.73608398
-39.978294	-170.52792	0.74584961
-39.976608	-169.46594	0.75561523
-39.975903	-173.87227	0.76538086
-39.975269	-174.37331	0.77514648
-39.974045	-173.66634	0.78491211
-39.973675	-175.88959	0.79467773
-39.972275	-168.40771	0.80444336
-39.971962	-165.88232	0.81420898
-39.970699	-168.06699	0.82397461
-39.970352	-171.83401	0.83374023
-39.969334	-175.50363	0.84350586
-39.968445	-171.17529	0.85327148
-39.967617	-166.3396	0.86303711
-39.967426	-165.41377	0.87280273
-39.966454	-166.20877	0.88256836
-39.964642	-169.27725	0.89233398
-39.965221	-169.45961	0.90209961
-39.963211	-171.32922	0.91186523
-39.962791	-165.36078	0.92163086
-39.962952	-161.91524	0.93139648
-39.960289	-162.32372	0.94116211
-39.96138	-163.87608	0.95092773
-39.9594	-170.51431	0.96069336
-39.958858	-167.93698	0.97045898
-39.957695	-162.26187	0.98022461
-39.95586	-160.46223	0.98999023
-39.955673	-161.22701	0.99975586
-39.955856	-161.96451	1.0095215
-39.955811	-163.47189	1.0192871
-39.954201	-163.68898	1.0290527
-39.95285	-162.24025	1.0388184
-39.951534	-159.61516	1.048584
-39.952099	-156.14279	1.0583496
-39.950043	-156.77231	1.0681152
-39.949978	-160.86928	1.0778809
-39.949394	-161.5632	1.0876465
-39.947937	-160.46429	1.0974121
-39.947952	-156.74347	1.1071777
-39.946896	-156.1476	1.1169434
-39.945648	-157.38231	1.126709
-39.945404	-155.75977	1.1364746
-39.944382	-158.15596	1.1462402
-39.943348	-157.56363	1.1560059
-39.942726	-158.91142	1.1657715
-39.941162	-154.15224	1.1755371
-39.940495	-148.5282	1.1853027
-39.939854	-153.84813	1.1950684
-39.938507	-152.20056	1.204834
-39.938175	-154.53903	1.2145996
-39.93784	-154.56015	1.2243652
-39.937248	-150.67307	1.2341309
-39.935829	-153.03406	1.2438965
-39.934086	-148.21156	1.2536621
-39.933552	-148.87221	1.2634277
-39.933098	-151.96255	1.2731934
-39.932995	-152.53073	1.282959
-39.931679	-151.40584	1.2927246
-39.930626	-146.20236	1.3024902
-39.930099	-145.33781	1.3122559
-39.930431	-146.05421	1.3220215
-39.928772	-149.00151	1.3317871
-39.927158	-148.97348	1.3415527
-39.928207	-147.94609	1.3513184
-39.925434	-147.85124	1.361084
-39.925209	-143.69223	1.3708496
-39.924747	-140.5938	1.3806152
-39.924252	-142.91081	1.3903809
-39.922295	-149.81631	1.4001465
-39.92189	-147.63176	1.4099121
-39.921795	-144.69563	1.4196777
-39.920094	-140.01651	1.4294434
-39.918804	-138.90952	1.439209
-39.9188	-142.01285	1.4489746
-39.918427	-143.42326	1.4587402
-39.91872	-143.29489	1.4685059
-39.916622	-145.97568	1.4782715
-39.915916	-138.99387	1.4880371
-39.914406	-137.75006	1.4978027
-39.913448	-134.95723	1.5075684
-39.913704	-139.74138	1.517334
-39.91317	-145.67825	1.5270996
-39.911289	-140.61212	1.5368652
-39.910011	-136.33128	1.5466309
-39.909939	-133.97774	1.5563965
-39.909748	-134.61374	1.5661621
-39.908768	-137.64639	1.5759277
-39.907017	-137.64352	1.5856934
-39.907181	-139.79724	1.595459
-39.906101	-135.28137	1.6052246
-39.904881	-133.16936	1.6149902
-39.905006	-130.73625	1.6247559
-39.902866	-132.28043	1.6345215
-39.903236	-136.56694	1.6442871
-39.902115	-136.58858	1.6540527
-39.901066	-133.77155	1.6638184
-39.899612	-130.89259	1.673584
-39.898933	-127.27171	1.6833496
-39.89872	-130.97566	1.6931152
