MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_4545_r0			Time:	20.017334	s	4/13/2019 8:38:08 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.900242	-146.03308	1.6628418
-39.901016	-140.74118	1.6726074
-39.899075	-135.7585	1.682373
-39.897625	-136.28337	1.6921387
-39.898552	-137.2052	1.7019043
-39.897778	-140.88527	1.7116699
-39.896393	-140.11693	1.7214355
-39.894894	-139.68843	1.7312012
-39.894642	-135.66087	1.7409668
-39.893513	-131.58208	1.7507324
-39.892532	-130.87135	1.760498
-39.891918	-134.60202	1.7702637
-39.8909	-138.52455	1.7800293
-39.890228	-136.1656	1.7897949
-39.889397	-130.65718	1.7995605
-39.888702	-128.51779	1.8093262
-39.887779	-129.30788	1.8190918
-39.886604	-131.65424	1.8288574
-39.886093	-132.1649	1.838623
-39.885796	-132.93195	1.8483887
-39.884621	-130.29498	1.8581543
-39.883942	-128.78746	1.8679199
-39.882847	-123.6966	1.8776855
-39.881268	-125.42004	1.8874512
-39.880695	-130.97359	1.8972168
-39.880726	-128.95313	1.9069824
-39.878983	-128.30405	1.916748
-39.878448	-124.51241	1.9265137
-39.877491	-122.64665	1.9362793
-39.877251	-125.05743	1.9460449
-39.876415	-122.6973	1.9558105
-39.87558	-124.73985	1.9655762
-39.874359	-125.03825	1.9753418
-39.873619	-124.85437	1.9851074
-39.872818	-122.41341	1.994873
-39.872349	-117.33617	2.0046387
-39.871029	-119.67557	2.0144043
-39.87096	-120.82072	2.0241699
-39.869511	-122.33104	2.0339355
-39.868839	-120.56236	2.0437012
-39.869236	-116.04993	2.0534668
-39.867676	-117.41519	2.0632324
-39.866947	-114.09134	2.072998
-39.865921	-114.28488	2.0827637
-39.864464	-116.96442	2.0925293
-39.86377	-118.30453	2.1022949
-39.863071	-117.18868	2.1120605
-39.862373	-112.06258	2.1218262
-39.861412	-111.00914	2.1315918
-39.861061	-112.4257	2.1413574
-39.860077	-114.11449	2.151123
-39.859325	-115.09363	2.1608887
-39.859512	-113.1479	2.1706543
-39.85799	-111.21725	2.1804199
-39.857189	-107.35716	2.1901855
-39.855629	-106.04143	2.1999512
-39.855854	-107.21144	2.2097168
-39.853382	-111.7029	2.2194824
-39.852779	-111.94839	2.229248
-39.851418	-106.59051	2.2390137
-39.852062	-103.83777	2.2487793
-39.851624	-101.04929	2.2585449
-39.85006	-106.11047	2.2683105
-39.849281	-106.91502	2.2780762
-39.848118	-106.47337	2.2878418
-39.847012	-107.33814	2.2976074
-39.84618	-100.14353	2.307373
-39.844868	-100.51893	2.3171387
-39.845909	-99.765045	2.3269043
-39.844143	-102.63947	2.3366699
-39.844524	-107.42464	2.3464355
-39.842968	-101.58953	2.3562012
-39.842758	-97.182747	2.3659668
-39.84169	-97.37513	2.3757324
-39.84156	-94.667915	2.385498
-39.840309	-99.115097	2.3952637
-39.83947	-97.533424	2.4050293
-39.83844	-101.49018	2.4147949
-39.836967	-96.602554	2.4245605
-39.836571	-92.89817	2.4343262
-39.834732	-91.755707	2.4440918
-39.835415	-92.620934	2.4538574
-39.833527	-98.714478	2.463623
-39.832813	-96.5933	2.4733887
-39.832687	-93.215271	2.4831543
-39.83168	-90.780861	2.4929199
-39.830719	-89.8526	2.5026855
-39.829971	-90.412735	2.5124512
-39.828983	-92.386375	2.5222168
-39.828342	-92.030884	2.5319824
-39.827286	-93.155968	2.541748
-39.827091	-90.154045	2.5515137
-39.826015	-86.621208	2.5612793
-39.825916	-86.081863	2.5710449
-39.824055	-89.852638	2.5808105
-39.822895	-88.642258	2.5905762
