MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.017578	s	4/13/2019 7:22:03 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-40.03418	-207.44751	0.022705078
-40.034893	-207.31731	0.032470703
-40.03545	-205.24309	0.042236328
-40.034584	-201.20776	0.052001953
-40.03442	-203.27225	0.061767578
-40.033245	-208.10362	0.071533203
-40.033657	-207.95949	0.081298828
-40.031532	-207.06317	0.091064453
-40.030525	-202.75938	0.10083008
-40.030693	-199.76823	0.1105957
-40.029217	-201.84235	0.12036133
-40.028862	-198.8336	0.13012695
-40.029366	-205.08751	0.13989258
-40.027969	-206.52626	0.1496582
-40.026279	-201.53772	0.15942383
-40.024773	-198.93474	0.16918945
-40.024242	-194.85997	0.17895508
-40.023174	-196.51358	0.1887207
-40.02319	-202.86801	0.19848633
-40.022095	-201.77095	0.20825195
-40.021278	-201.21748	0.21801758
-40.021576	-196.30476	0.2277832
-40.02047	-195.07837	0.23754883
-40.018909	-195.38844	0.24731445
-40.018139	-195.68608	0.25708008
-40.01815	-199.98184	0.2668457
-40.016949	-197.99429	0.27661133
-40.016701	-194.59058	0.28637695
-40.015095	-191.16795	0.29614258
-40.01445	-190.30032	0.3059082
-40.013279	-194.04678	0.31567383
-40.011425	-195.64816	0.32543945
-40.012032	-192.39081	0.33520508
-40.011127	-192.79433	0.3449707
-40.01059	-191.68224	0.35473633
-40.010929	-189.36209	0.36450195
-40.009731	-188.61055	0.37426758
-40.008144	-190.45691	0.3840332
-40.006718	-190.83707	0.39379883
-40.006226	-191.16348	0.40356445
-40.005207	-187.21446	0.41333008
-40.00457	-185.6875	0.4230957
-40.004433	-186.07123	0.43286133
-40.003292	-184.78555	0.44262695
-40.002289	-187.73471	0.45239258
-40.000423	-185.95993	0.4621582
-40.002121	-188.95909	0.47192383
-40.00029	-186.07181	0.48168945
-39.999012	-181.96541	0.49145508
-39.998608	-180.65727	0.5012207
-39.996784	-181.67159	0.51098633
-39.99659	-185.6541	0.52075195
-39.995159	-183.44365	0.53051758
-39.995018	-181.52942	0.5402832
-39.994797	-180.97827	0.55004883
-39.993	-177.68707	0.55981445
-39.992245	-178.50333	0.56958008
-39.991344	-179.91187	0.5793457
-39.990788	-181.98463	0.58911133
-39.989822	-183.63065	0.59887695
-39.988277	-177.18449	0.60864258
-39.988941	-174.12886	0.6184082
-39.987839	-175.40933	0.62817383
-39.98658	-176.96806	0.63793945
-39.985817	-180.85869	0.64770508
-39.984863	-178.71878	0.6574707
-39.984394	-175.72818	0.66723633
-39.982891	-172.59212	0.67700195
-39.982742	-171.37289	0.68676758
-39.982235	-174.565	0.6965332
-39.981674	-177.88332	0.70629883
-39.980549	-178.56441	0.71606445
-39.979149	-176.06532	0.72583008
-39.979111	-169.51021	0.7355957
-39.977772	-168.67705	0.74536133
-39.975685	-171.84039	0.75512695
-39.9758	-173.9653	0.76489258
-39.975132	-175.22192	0.7746582
-39.974144	-171.69298	0.78442383
-39.974285	-168.73827	0.79418945
-39.972801	-168.22876	0.80395508
-39.971882	-166.42784	0.8137207
-39.970833	-166.98788	0.82348633
-39.971657	-171.19293	0.83325195
-39.969555	-170.91675	0.84301758
-39.968292	-165.95146	0.8527832
-39.967384	-163.05759	0.86254883
-39.967766	-163.43039	0.87231445
-39.966335	-167.77284	0.88208008
-39.966301	-166.7652	0.8918457
-39.965553	-167.44347	0.90161133
-39.96402	-162.80742	0.91137695
-39.962727	-163.8707	0.92114258
-39.962223	-161.93727	0.9309082
-39.960617	-160.98366	0.94067383
-39.960159	-166.37376	0.95043945
-39.959309	-164.59378	0.96020508
-39.958702	-161.93779	0.9699707
-39.957924	-159.30573	0.97973633
-39.957722	-156.19519	0.98950195
-39.956753	-160.22746	0.99926758
-39.955391	-160.57552	1.0090332
-39.955147	-160.2914	1.0187988
-39.953674	-159.88087	1.0285645
-39.953892	-159.62201	1.0383301
-39.953526	-155.20897	1.0480957
-39.95174	-153.23155	1.0578613
-39.950588	-154.63048	1.067627
-39.951103	-157.68526	1.0773926
-39.949444	-158.46724	1.0871582
-39.948349	-155.46083	1.0969238
-39.948013	-154.03874	1.1066895
-39.946342	-152.73441	1.1164551
-39.946262	-151.72682	1.1262207
-39.946056	-151.05225	1.1359863
-39.945431	-153.58376	1.145752
-39.942825	-155.12321	1.1555176
-39.941704	-152.07832	1.1652832
-39.941593	-149.25215	1.1750488
-39.941254	-144.9045	1.1848145
-39.940903	-147.64351	1.1945801
-39.93853	-152.76559	1.2043457
-39.938793	-150.8287	1.2141113
-39.937916	-148.23332	1.223877
-39.935658	-147.5015	1.2336426
-39.936146	-144.01863	1.2434082
-39.935543	-145.44543	1.2531738
-39.93417	-145.67145	1.2629395
-39.933483	-148.65694	1.2727051
-39.93428	-149.57532	1.2824707
-39.932861	-145.45213	1.2922363
-39.931511	-139.55164	1.302002
-39.931332	-139.83299	1.3117676
-39.930225	-142.62749	1.3215332
-39.927986	-145.96179	1.3312988
-39.926949	-143.41914	1.3410645
-39.927414	-143.80818	1.3508301
-39.928318	-138.93706	1.3605957
-39.925911	-136.01381	1.3703613
-39.924259	-139.54958	1.380127
-39.923828	-139.91769	1.3898926
-39.923542	-145.37407	1.3996582
-39.922844	-141.33888	1.4094238
-39.920269	-136.33928	1.4191895
-39.922157	-134.054	1.4289551
-39.919659	-135.50868	1.4387207
-39.91856	-140.26253	1.4484863
-39.918453	-140.59836	1.458252
-39.917564	-137.02174	1.4680176
-39.916119	-134.0867	1.4777832
-39.916096	-134.13286	1.4875488
-39.914639	-131.02449	1.4973145
-39.914001	-132.3929	1.5070801
-39.914101	-136.88788	1.5168457
-39.912983	-137.04329	1.5266113
-39.912163	-132.79042	1.536377
-39.910591	-129.17488	1.5461426
-39.909245	-130.36906	1.5559082
-39.909538	-131.45078	1.5656738
-39.908672	-132.71004	1.5754395
-39.909027	-131.67448	1.5852051
-39.907116	-130.63727	1.5949707
-39.906647	-129.94885	1.6047363
-39.90538	-126.05944	1.614502
-39.903961	-126.65498	1.6242676
-39.904202	-128.28445	1.6340332
-39.902882	-128.0932	1.6437988
-39.902248	-130.29466	1.6535645
-39.900951	-125.21259	1.6633301
-39.900341	-123.49891	1.6730957
-39.899155	-125.78522	1.6828613
-39.899139	-124.43218	1.692627
