MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.2540hd_typei_85%uts_0.25hz_r			Time:	20.030762	s	4/27/2019 8:07:45 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	0.2540HD_TypeI_85%UTS_0.25HZ.tst
Force	Displacement	Running Time	Count
N	mm	s	segments
6.6535525	10.284734	0.03515625	246
3.0916753	10.283373	0.044921875	246
8.7751579	10.286634	0.0546875	246
8.5887976	10.290382	0.064453125	246
2.7466583	10.294792	0.07421875	246
2.270721	10.300415	0.083984375	246
7.4002481	10.30986	0.09375	246
23.740135	10.317431	0.10351563	246
33.925724	10.32589	0.11328125	246
37.038567	10.335254	0.12304688	246
37.932693	10.345879	0.1328125	246
37.508961	10.357714	0.14257813	246
45.165298	10.367435	0.15234375	246
56.325588	10.38054	0.16210938	246
69.761116	10.392376	0.171875	246
83.761208	10.405428	0.18164063	246
84.695061	10.418903	0.19140625	246
84.942207	10.431992	0.20117188	246
87.088272	10.445118	0.2109375	246
97.71003	10.458545	0.22070313	246
116.57605	10.472924	0.23046875	246
128.60393	10.487618	0.24023438	246
134.14751	10.502175	0.25	246
137.90347	10.516228	0.25976563	246
139.22148	10.530945	0.26953125	246
150.13486	10.544397	0.27929688	246
160.61034	10.559545	0.2890625	246
180.40076	10.574548	0.29882813	246
190.22435	10.590002	0.30859375	246
192.27759	10.604849	0.31835938	246
192.80981	10.620415	0.328125	246
196.39049	10.635179	0.33789063	246
214.35583	10.650758	0.34765625	246
231.0797	10.666445	0.35742188	246
241.73007	10.681192	0.3671875	246
249.85727	10.696589	0.37695313	246
251.64955	10.711896	0.38671875	246
254.98065	10.72754	0.39648438	246
262.93732	10.7436	0.40625	246
280.03491	10.758739	0.41601563	246
297.1011	10.774792	0.42578125	246
306.36224	10.788894	0.43554688	246
307.46341	10.805291	0.4453125	246
307.88556	10.821631	0.45507813	246
316.58124	10.836656	0.46484375	246
331.74417	10.852769	0.47460938	246
349.34979	10.868139	0.484375	246
358.57764	10.885131	0.49414063	246
364.177	10.899281	0.50390625	246
367.71866	10.916029	0.51367188	246
367.68674	10.93164	0.5234375	246
383.2334	10.947639	0.53320313	246
398.95786	10.964552	0.54296875	246
414.82159	10.978316	0.55273438	246
421.00946	10.992697	0.5625	246
416.45367	11.005049	0.57226563	246
419.69876	11.016752	0.58203125	246
426.5325	11.026371	0.59179688	246
439.74176	11.034864	0.6015625	246
446.56613	11.042962	0.61132813	246
451.66592	11.050268	0.62109375	246
454.24518	11.057175	0.63085938	246
444.94766	11.062829	0.640625	246
446.6319	11.068448	0.65039063	246
454.20779	11.072874	0.66015625	246
464.86218	11.07697	0.66992188	246
471.42856	11.080994	0.6796875	246
462.74594	11.08436	0.68945313	246
460.18747	11.088639	0.69921875	246
458.33627	11.090755	0.70898438	246
466.39462	11.094607	0.71875	246
472.44061	11.096942	0.72851563	246
472.19611	11.098871	0.73828125	246
473.59131	11.10056	0.74804688	246
466.75635	11.102835	0.7578125	246
467.18015	11.105118	0.76757813	246
468.40039	11.105739	0.77734375	246
478.82306	11.107868	0.78710938	246
482.91803	11.108861	0.796875	246
474.15091	11.108604	0.80664063	246
470.151	11.111311	0.81640625	246
466.62479	11.112514	0.82617188	246
476.62433	11.112722	0.8359375	246
481.62857	11.113933	0.84570313	246
479.26276	11.113779	0.85546875	246
480.36673	11.114602	0.86523438	246
473.0502	11.115253	0.875	246
473.97327	11.116341	0.88476563	246
473.4032	11.118281	0.89453125	246
480.70355	11.118846	0.90429688	246
488.16824	11.119725	0.9140625	246
483.81824	11.120413	0.92382813	246
480.06052	11.121715	0.93359375	246
474.14853	11.123025	0.94335938	246
476.44949	11.123321	0.953125	246
482.05014	11.125184	0.96289063	246
482.9101	11.126324	0.97265625	246
491.93893	11.127492	0.98242188	246
487.18509	11.129333	0.9921875	246
481.45676	11.130299	1.0019531	246
477.5629	11.131924	1.0117188	246
479.53836	11.134018	1.0214844	246
486.26898	11.135594	1.03125	246
495.60556	11.138041	1.0410156	246
493.70001	11.139377	1.0507813	246
492.32568	11.141791	1.0605469	246
485.04312	11.143922	1.0703125	246
486.00253	11.146532	1.0800781	246
487.96939	11.147491	1.0898438	246
495.09457	11.15092	1.0996094	246
504.03107	11.153154	1.109375	246
503.70819	11.15515	1.1191406	246
499.37985	11.158912	1.1289063	246
493.43277	11.159793	1.1386719	246
493.42389	11.163384	1.1484375	246
504.37225	11.16653	1.1582031	246
509.24683	11.168976	1.1679688	246
514.23901	11.171981	1.1777344	246
510.34827	11.175678	1.1875	246
