MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.3302solid_typei_75%uts_0.25hz_r0			Time:	20.02002	s	4/3/2019 2:30:09 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	0.3302Solid_TypeI_75%UTS_0.25HZ.tst
Force	Displacement	Running Time	Count
N	mm	s	segments
-126.91179	9.9795847	0.022460938	0
-127.41615	9.9807186	0.032226563	0
-128.24115	9.9821682	0.041992188	0
-130.36804	9.9867964	0.051757813	0
-132.76822	9.9925995	0.061523438	0
-128.89297	9.9996262	0.071289063	0
-117.20217	10.007598	0.081054688	0
-103.91882	10.018144	0.090820313	0
-93.016716	10.029056	0.10058594	0
-82.630867	10.040605	0.11035156	0
-81.173912	10.052633	0.12011719	0
-81.443314	10.06472	0.12988281	0
-66.224533	10.078519	0.13964844	0
-52.887295	10.091605	0.14941406	0
-28.269779	10.106124	0.15917969	0
-20.222372	10.120074	0.16894531	0
-18.577679	10.134806	0.17871094	0
-13.520358	10.149974	0.18847656	0
-3.0645549	10.163805	0.19824219	0
13.122486	10.179637	0.20800781	0
31.688725	10.194826	0.21777344	0
47.056072	10.209073	0.22753906	0
59.887989	10.224779	0.23730469	0
59.414494	10.240742	0.24707031	0
66.564102	10.254735	0.25683594	0
79.160004	10.271657	0.26660156	0
99.774406	10.286052	0.27636719	0
120.46641	10.301298	0.28613281	0
127.97603	10.316708	0.29589844	0
136.46204	10.331625	0.30566406	0
141.09708	10.348334	0.31542969	0
150.23924	10.364761	0.32519531	0
167.64499	10.379607	0.33496094	0
186.80183	10.395475	0.34472656	0
204.87793	10.411287	0.35449219	0
211.39847	10.426972	0.36425781	0
215.61508	10.442798	0.37402344	0
221.31876	10.459027	0.38378906	0
237.16733	10.473984	0.39355469	0
259.33658	10.491459	0.40332031	0
273.51651	10.505889	0.41308594	0
286.84729	10.522743	0.42285156	0
290.82397	10.537897	0.43261719	0
296.66931	10.554369	0.44238281	0
305.10818	10.569796	0.45214844	0
322.29691	10.58494	0.46191406	0
344.91888	10.603202	0.47167969	0
361.66116	10.618533	0.48144531	0
367.61011	10.633815	0.49121094	0
366.81027	10.651612	0.50097656	0
375.74521	10.668047	0.51074219	0
395.5322	10.683724	0.52050781	0
413.94333	10.699326	0.53027344	0
433.03433	10.715285	0.54003906	0
439.1868	10.731193	0.54980469	0
441.01611	10.743378	0.55957031	0
443.18225	10.753728	0.56933594	0
447.53857	10.762571	0.57910156	0
464.93442	10.770792	0.58886719	0
476.23703	10.777776	0.59863281	0
