MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typei_0.3302_solid_4545_monotonic_r0			Time:	20.017822	s	4/14/2019 3:06:31 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.906208	-74.463516	1.673584
-39.90691	-70.772491	1.6833496
-39.905434	-70.560822	1.6931152
-39.903606	-68.589561	1.7028809
-39.903946	-67.572113	1.7126465
-39.901855	-65.59417	1.7224121
-39.901424	-70.69297	1.7321777
-39.901543	-70.794426	1.7419434
-39.899307	-67.894806	1.751709
-39.898178	-64.474976	1.7614746
-39.898514	-63.802734	1.7712402
-39.897476	-67.084946	1.7810059
-39.896366	-66.666634	1.7907715
-39.895878	-65.021629	1.8005371
-39.894852	-63.942032	1.8103027
-39.894535	-64.005516	1.8200684
-39.892838	-61.008087	1.829834
-39.893887	-61.067589	1.8395996
-39.891026	-61.067268	1.8493652
-39.891209	-61.510231	1.8591309
-39.890594	-63.498169	1.8688965
-39.889584	-60.900597	1.8786621
-39.889626	-58.069778	1.8884277
-39.888165	-58.649727	1.8981934
-39.887173	-55.952087	1.907959
-39.886211	-57.49464	1.9177246
-39.884422	-58.566341	1.9274902
-39.884369	-59.188126	1.9372559
-39.883831	-58.231911	1.9470215
-39.881939	-52.164234	1.9567871
-39.882046	-52.655418	1.9665527
-39.882019	-54.449982	1.9763184
-39.879353	-58.875183	1.986084
-39.879314	-56.08633	1.9958496
-39.878502	-52.145569	2.0056152
-39.878063	-52.173172	2.0153809
-39.877476	-49.234814	2.0251465
-39.877106	-49.23753	2.0349121
-39.875156	-53.143116	2.0446777
-39.874828	-53.155964	2.0544434
-39.874607	-54.042473	2.064209
-39.872665	-48.619331	2.0739746
-39.872406	-44.35437	2.0837402
-39.872162	-44.548996	2.0935059
-39.870804	-48.263966	2.1032715
-39.869789	-50.548279	2.1130371
-39.868874	-48.595325	2.1228027
-39.868156	-45.615002	2.1325684
