MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			low_high_4545_typei_monotonic			Time:	20.017822	s	4/13/2019 9:30:46 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
19.955643	-104.95925	0.022705078
19.956278	-91.935371	0.032470703
19.956961	-79.348724	0.042236328
19.956219	-81.886444	0.052001953
19.956003	-98.635201	0.061767578
19.955994	-107.90292	0.071533203
19.956669	-108.57153	0.081298828
19.958071	-91.82917	0.091064453
19.957359	-80.264	0.10083008
19.95734	-84.796318	0.1105957
19.95999	-93.5923	0.12036133
19.960447	-105.38361	0.13012695
19.960993	-105.0253	0.13989258
19.962307	-98.390953	0.1496582
19.963345	-85.013481	0.15942383
19.964453	-75.428802	0.16918945
19.964647	-85.486229	0.17895508
19.964314	-96.164444	0.1887207
19.966532	-104.74842	0.19848633
19.96686	-99.805214	0.20825195
19.968861	-85.349205	0.21801758
19.968653	-78.790749	0.2277832
19.968773	-77.782501	0.23754883
19.969954	-87.421638	0.24731445
19.970444	-99.525475	0.25708008
19.971598	-101.9973	0.2668457
19.971468	-92.290802	0.27661133
19.973726	-77.265831	0.28637695
19.974848	-72.490562	0.29614258
19.975481	-81.230278	0.3059082
19.975613	-96.906563	0.31567383
19.976055	-99.970619	0.32543945
19.977453	-93.772949	0.33520508
19.977551	-79.127052	0.3449707
19.978727	-70.871071	0.35473633
19.978678	-74.685112	0.36450195
19.980963	-85.295097	0.37426758
19.980934	-98.569298	0.3840332
19.982243	-96.87854	0.39379883
19.982111	-83.900925	0.40356445
19.983025	-69.692772	0.41333008
19.985489	-65.831635	0.4230957
19.985523	-80.494339	0.43286133
19.985826	-91.897552	0.44262695
19.987518	-94.873917	0.45239258
19.987713	-88.335304	0.4621582
19.989246	-71.380386	0.47192383
19.990149	-66.183617	0.48168945
19.98966	-69.833443	0.49145508
19.99122	-82.939545	0.5012207
19.991177	-95.229095	0.51098633
19.992964	-88.942673	0.52075195
19.993553	-73.126434	0.53051758
19.993525	-63.313084	0.5402832
19.995428	-66.261101	0.55004883
19.995764	-78.874344	0.55981445
19.996284	-86.551178	0.56958008
19.997963	-87.871895	0.5793457
19.997669	-77.219452	0.58911133
19.998812	-64.777832	0.59887695
19.999569	-61.996029	0.60864258
20.001623	-67.964455	0.6184082
20.002209	-84.066566	0.62817383
20.002981	-89.92083	0.63793945
20.003328	-79.032532	0.64770508
20.003487	-65.977997	0.6574707
20.003468	-58.951401	0.66723633
20.005644	-63.9683	0.67700195
20.006126	-76.003883	0.68676758
20.007685	-82.613594	0.6965332
20.008076	-81.959808	0.70629883
20.009066	-71.717262	0.71606445
20.009295	-58.96904	0.72583008
20.01178	-57.2882	0.7355957
20.01071	-68.337074	0.74536133
20.011915	-79.831833	0.75512695
20.012945	-83.534607	0.76489258
20.014179	-72.149597	0.7746582
20.014351	-61.789169	0.78442383
20.015388	-54.389015	0.79418945
20.015566	-60.719311	0.80395508
20.017265	-72.153412	0.8137207
20.017372	-77.716385	0.82348633
20.019321	-76.795982	0.83325195
20.019707	-63.00769	0.84301758
20.020651	-50.932465	0.8527832
20.021503	-54.152081	0.86254883
20.021652	-64.450447	0.87231445
20.02317	-76.184196	0.88208008
20.025221	-75.612709	0.8918457
20.024776	-65.257477	0.90161133
20.025473	-55.788708	0.91137695
20.026733	-48.326283	0.92114258
20.026054	-56.580914	0.9309082
20.028078	-67.254745	0.94067383
20.028675	-76.264755	0.95043945
20.028318	-71.968437	0.96020508
20.030367	-56.164764	0.9699707
20.030371	-44.714466	0.97973633
20.031574	-50.261135	0.98950195
20.032688	-63.139351	0.99926758
20.033289	-72.935013	1.0090332
20.033794	-69.937027	1.0187988
20.035416	-58.68586	1.0285645
20.035139	-46.620659	1.0383301
20.037476	-42.764671	1.0480957
20.038013	-54.507122	1.0578613
20.03792	-67.799438	1.067627
20.038851	-72.775772	1.0773926
20.039827	-62.323551	1.0871582
20.041325	-46.100437	1.0969238
20.042082	-39.073544	1.1066895
20.042265	-48.542725	1.1164551
20.043484	-59.628395	1.1262207
20.043951	-66.887863	1.1359863
20.045082	-63.261589	1.145752
20.045794	-50.023769	1.1555176
20.047678	-40.921631	1.1652832
20.047052	-37.926304	1.1750488
20.049431	-51.833622	1.1848145
20.049139	-66.475601	1.1945801
20.049797	-64.003731	1.2043457
20.051676	-52.456741	1.2141113
20.052603	-37.752712	1.223877
20.052683	-36.056702	1.2336426
20.053158	-46.666512	1.2434082
20.054083	-55.525581	1.2531738
20.055584	-62.710621	1.2629395
20.055792	-54.360771	1.2727051
20.057177	-43.632988	1.2824707
20.057808	-33.469139	1.2922363
20.058281	-35.413242	1.302002
20.058939	-51.643379	1.3117676
20.059999	-60.569714	1.3215332
20.060223	-56.664883	1.3312988
20.061844	-43.924934	1.3410645
20.06226	-33.408215	1.3508301
20.062458	-33.83654	1.3605957
20.064594	-41.867397	1.3703613
20.064594	-50.147285	1.380127
20.06543	-56.958042	1.3898926
20.066639	-48.270885	1.3996582
20.066971	-32.890247	1.4094238
20.06805	-27.013186	1.4191895
20.068951	-34.723003	1.4289551
20.069845	-46.902367	1.4387207
20.070456	-53.486893	1.4484863
20.071505	-48.764046	1.458252
20.072453	-37.279469	1.4680176
20.073515	-28.158682	1.4777832
20.073706	-28.079088	1.4875488
20.073372	-37.628559	1.4973145
20.076038	-47.19186	1.5070801
20.075989	-51.498302	1.5168457
20.077229	-40.96418	1.5266113
20.078575	-26.928675	1.536377
20.078663	-23.957716	1.5461426
20.080833	-28.157667	1.5559082
20.079731	-45.330956	1.5656738
20.080624	-48.481815	1.5754395
20.083822	-41.882755	1.5852051
20.083197	-31.931166	1.5949707
20.083334	-19.750288	1.6047363
20.084637	-23.450459	1.614502
20.085665	-33.227558	1.6242676
20.086369	-46.448448	1.6340332
20.086023	-47.342396	1.6437988
20.087982	-30.910261	1.6535645
20.088928	-18.124609	1.6633301
20.089539	-16.641666	1.6730957
20.090017	-27.806591	1.6828613
20.090929	-41.360886	1.692627
20.092422	-42.159554	1.7023926
20.092756	-36.425827	1.7121582
20.09403	-21.621641	1.7219238
20.094713	-13.300576	1.7316895
20.094934	-20.613995	1.7414551
20.095629	-33.669121	1.7512207
20.096859	-43.685154	1.7609863
20.097095	-38.245213	1.770752
20.098633	-21.617891	1.7805176
20.09827	-13.149045	1.7902832
20.09951	-13.844848	1.8000488
