MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			low_high_4545_typei_monotonic			Time:	20.018311	s	4/13/2019 9:27:44 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
19.956972	-98.428566	0.022705078
19.956062	-103.92682	0.032470703
19.955965	-117.43678	0.042236328
19.956175	-129.4705	0.052001953
19.957569	-124.82525	0.061767578
19.957645	-107.60355	0.071533203
19.958557	-96.704819	0.081298828
19.959137	-99.029037	0.091064453
19.960331	-114.63007	0.10083008
19.960575	-127.05843	0.1105957
19.961283	-124.06767	0.12036133
19.962765	-112.7539	0.13012695
19.964163	-98.125732	0.13989258
19.96373	-98.321373	0.1496582
19.965796	-106.16586	0.15942383
19.965969	-119.75828	0.16918945
19.96648	-126.75889	0.17895508
19.967287	-114.62063	0.1887207
19.968473	-101.57789	0.19848633
19.96925	-91.420479	0.20825195
19.970741	-98.248001	0.21801758
19.970047	-115.34302	0.2277832
19.970678	-120.07772	0.23754883
19.972849	-117.30649	0.24731445
19.972914	-103.23765	0.25708008
19.973856	-94.403992	0.2668457
19.975367	-94.353363	0.27661133
19.974848	-103.9364	0.28637695
19.977024	-116.64408	0.29614258
19.976151	-119.22345	0.3059082
19.978279	-108.12506	0.31567383
19.978523	-94.733871	0.32543945
19.979345	-90.357536	0.33520508
19.979986	-99.266304	0.3449707
19.98144	-111.15584	0.35473633
19.981735	-117.23821	0.36450195
19.983665	-110.65508	0.37426758
19.983707	-99.234741	0.3840332
19.982988	-89.608322	0.39379883
19.986568	-90.159782	0.40356445
19.986431	-101.73471	0.41333008
19.986538	-112.2626	0.4230957
19.987425	-113.84843	0.43286133
19.9888	-100.62363	0.44262695
19.989368	-88.221397	0.45239258
19.9911	-88.518913	0.4621582
19.990973	-94.599335	0.47192383
19.991316	-107.31316	0.48168945
19.990896	-109.1538	0.49145508
19.994526	-106.01086	0.5012207
19.994184	-93.136253	0.51098633
19.993822	-83.89782	0.52075195
19.99683	-86.433067	0.53051758
19.996206	-97.920128	0.5402832
19.997492	-110.72207	0.55004883
19.99822	-107.46073	0.55981445
19.999306	-92.976585	0.56958008
19.999481	-81.907585	0.5793457
19.999723	-79.938591	0.58911133
20.001623	-91.037544	0.59887695
20.001963	-104.17948	0.60864258
20.00313	-106.3297	0.6184082
20.003521	-100.58919	0.62817383
20.005482	-85.111618	0.63793945
20.004957	-76.068291	0.64770508
20.006104	-84.622627	0.6574707
20.007435	-97.713959	0.66723633
20.008177	-107.25788	0.67700195
20.008442	-101.51956	0.68676758
20.008926	-85.701233	0.6965332
20.010801	-77.096535	0.70629883
20.011045	-79.42543	0.71606445
20.012375	-90.987808	0.72583008
20.012827	-102.45853	0.7355957
20.013769	-103.56282	0.74536133
20.015034	-90.180122	0.75512695
20.014412	-76.565948	0.76489258
20.015564	-72.287987	0.7746582
20.017319	-84.693535	0.78442383
20.018173	-98.537971	0.79418945
20.018402	-101.97952	0.80395508
20.018936	-92.444145	0.8137207
20.020039	-77.719788	0.82348633
20.022034	-73.545982	0.83325195
20.021063	-75.500381	0.84301758
20.023045	-87.878479	0.8527832
20.023029	-99.866898	0.86254883
20.024923	-95.209724	0.87231445
20.026031	-84.105576	0.88208008
20.026764	-69.083267	0.8918457
20.025805	-71.437332	0.90161133
20.027437	-84.605148	0.91137695
20.027922	-94.909256	0.92114258
20.028614	-94.943062	0.9309082
20.030516	-85.798836	0.94067383
20.030411	-72.613892	0.95043945
20.031456	-69.914543	0.96020508
20.031586	-71.442505	0.9699707
20.032778	-86.603683	0.97973633
20.034094	-93.891319	0.98950195
20.033173	-89.135864	0.99926758
20.034788	-75.703133	1.0090332
20.037348	-64.394699	1.0187988
20.037912	-68.881981	1.0285645
20.037935	-78.09864	1.0383301
20.038702	-87.632713	1.0480957
20.040295	-89.442307	1.0578613
20.040546	-79.001961	1.067627
20.04224	-66.9039	1.0773926
20.041971	-62.935101	1.0871582
20.043303	-68.844444	1.0969238
20.043577	-82.666328	1.1066895
20.044964	-89.480476	1.1164551
20.045647	-82.641182	1.1262207
20.047079	-67.962418	1.1359863
20.046986	-58.06176	1.145752
20.048315	-63.057446	1.1555176
20.047874	-76.771683	1.1652832
20.04945	-82.384811	1.1750488
20.051702	-84.082626	1.1848145
20.050472	-73.942032	1.1945801
20.051788	-59.313332	1.2043457
20.0529	-58.515335	1.2141113
20.054026	-66.833443	1.223877
20.054668	-80.755516	1.2336426
20.055355	-85.445335	1.2434082
20.05608	-74.788208	1.2531738
20.057127	-60.488415	1.2629395
20.059158	-51.793232	1.2727051
20.059258	-61.678993	1.2824707
20.058746	-72.991539	1.2922363
20.061134	-80.100304	1.302002
20.061329	-79.610237	1.3117676
20.062311	-62.726982	1.3215332
20.063356	-51.996265	1.3312988
20.064301	-53.266842	1.3410645
20.064747	-64.80378	1.3508301
20.064939	-78.966354	1.3605957
20.065754	-76.519203	1.3703613
20.066938	-64.378799	1.380127
20.067171	-53.297749	1.3898926
20.068344	-49.258335	1.3996582
20.069183	-58.600864	1.4094238
20.070635	-69.97731	1.4191895
20.070335	-77.049706	1.4289551
20.071529	-70.122116	1.4387207
20.072844	-55.818554	1.4484863
20.073465	-46.135536	1.458252
20.073847	-51.196033	1.4680176
20.075329	-64.392738	1.4777832
20.07634	-72.81115	1.4875488
20.076374	-67.847069	1.4973145
20.076509	-55.726048	1.5070801
20.07839	-47.442177	1.5168457
20.079586	-44.792549	1.5266113
20.080412	-55.214977	1.536377
20.080544	-66.354713	1.5461426
20.080725	-69.501244	1.5559082
20.081501	-63.300407	1.5656738
20.083158	-47.661057	1.5754395
20.084156	-40.809944	1.5852051
20.084095	-48.850559	1.5949707
20.086245	-58.864964	1.6047363
20.08629	-67.756111	1.614502
20.086367	-61.768883	1.6242676
20.088011	-51.085476	1.6340332
20.088886	-43.306923	1.6437988
20.090166	-39.995441	1.6535645
20.090063	-52.720196	1.6633301
20.09091	-62.779346	1.6730957
20.091299	-64.235069	1.6828613
20.093254	-55.016533	1.692627
20.093979	-39.609093	1.7023926
20.094669	-37.333035	1.7121582
20.094828	-44.206486	1.7219238
20.096336	-55.271542	1.7316895
20.096975	-61.741291	1.7414551
20.098383	-57.242908	1.7512207
20.098322	-45.090202	1.7609863
20.099648	-36.45668	1.770752
20.100967	-35.698975	1.7805176
20.100494	-48.915504	1.7902832
20.102245	-60.501869	1.8000488
