MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typeiv_0.3302_solid_090_monotonic_r0			Time:	20.021729	s	4/14/2019 3:34:30 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.907444	-40.664803	1.677002
-39.905334	-39.149601	1.6867676
-39.904961	-37.504158	1.6965332
-39.905285	-37.339382	1.7062988
-39.903545	-36.885506	1.7160645
-39.90353	-39.211689	1.7258301
-39.901524	-40.140137	1.7355957
-39.901039	-38.407627	1.7453613
-39.900982	-32.959858	1.755127
-39.899517	-33.95586	1.7648926
-39.899246	-34.756496	1.7746582
-39.897648	-36.757053	1.7844238
-39.897659	-36.788597	1.7941895
-39.897137	-36.461433	1.8039551
-39.896221	-34.993481	1.8137207
-39.894756	-31.167389	1.8234863
-39.893734	-29.01111	1.833252
-39.893108	-32.373451	1.8430176
-39.891972	-37.551163	1.8527832
-39.890411	-35.580807	1.8625488
-39.890709	-29.92597	1.8723145
-39.890381	-27.445086	1.8820801
-39.88958	-26.12801	1.8918457
-39.888065	-29.603977	1.9016113
-39.887955	-30.853422	1.911377
-39.887043	-30.767876	1.9211426
-39.885792	-32.523659	1.9309082
-39.885429	-25.791971	1.9406738
-39.883713	-22.104507	1.9504395
-39.883427	-23.598986	1.9602051
-39.883087	-27.028969	1.9699707
-39.882584	-31.048225	1.9797363
-39.880882	-27.326687	1.989502
-39.879944	-22.686085	1.9992676
-39.87899	-22.327572	2.0090332
-39.879299	-21.431677	2.0187988
-39.877911	-23.674675	2.0285645
-39.876053	-24.014046	2.0383301
-39.877182	-26.469784	2.0480957
-39.875702	-22.146038	2.0578613
-39.873344	-17.483614	2.067627
-39.873253	-17.871517	2.0773926
-39.873466	-19.490891	2.0871582
-39.872036	-24.372868	2.0969238
-39.871487	-24.662436	2.1066895
-39.870667	-18.110451	2.1164551
-39.870007	-15.052961	2.1262207
-39.868889	-15.325149	2.1359863
-39.868778	-17.919243	2.145752
-39.866653	-17.245821	2.1555176
-39.865993	-20.201878	2.1652832
-39.865349	-17.795551	2.1750488
-39.864353	-16.264927	2.1848145
-39.863663	-9.9368668	2.1945801
-39.864185	-14.036325	2.2043457
-39.860722	-16.401594	2.2141113
-39.861511	-16.368431	2.223877
-39.86021	-15.996831	2.2336426
-39.859592	-13.33553	2.2434082
-39.859653	-10.392369	2.2531738
-39.857445	-10.476602	2.2629395
-39.858387	-9.9843941	2.2727051
-39.856667	-12.36147	2.2824707
-39.855885	-13.876861	2.2922363
-39.855347	-14.488297	2.302002
-39.853447	-10.389449	2.3117676
-39.85408	-5.2610197	2.3215332
-39.852558	-9.1079473	2.3312988
-39.852692	-8.7766333	2.3410645
-39.850044	-9.6080265	2.3508301
-39.85038	-9.5488377	2.3605957
-39.848595	-7.5030541	2.3703613
-39.8493	-7.5486555	2.380127
-39.84684	-4.6197562	2.3898926
-39.847153	-4.4322767	2.3996582
-39.846786	-7.2608085	2.4094238
-39.844906	-7.1013961	2.4191895
-39.843891	-7.7103872	2.4289551
-39.843513	-3.7245538	2.4387207
-39.842304	-0.6820507	2.4484863
-39.841343	0.22673982	2.458252
-39.841312	-3.4221864	2.4680176
-39.8405	-4.3008075	2.4777832
-39.83868	-4.439744	2.4875488
-39.83786	-2.1683998	2.4973145
-39.838619	2.2571535	2.5070801
-39.836536	4.6080899	2.5168457
-39.836121	2.1526222	2.5266113
-39.836643	-1.541118	2.536377
-39.834515	-3.7483745	2.5461426
-39.834915	0.35922429	2.5559082
-39.833176	2.6292639	2.5656738
-39.83176	7.0836401	2.5754395
-39.830658	3.0619512	2.5852051
-39.831543	3.0412064	2.5949707
-39.829636	1.9618495	2.6047363
-39.828396	-0.46412241	2.614502
-39.828087	6.4608431	2.6242676
-39.827221	9.4406252	2.6340332
-39.825623	10.963233	2.6437988
-39.825447	6.389091	2.6535645
-39.82531	1.5065635	2.6633301
-39.824997	3.3037415	2.6730957
-39.823975	7.65833	2.6828613
-39.821968	12.899276	2.692627
-39.820862	11.155974	2.7023926
-39.821545	9.5179281	2.7121582
-39.820057	9.3468447	2.7219238
-39.819946	4.2958736	2.7316895
-39.817524	8.9519596	2.7414551
-39.817127	12.82683	2.7512207
-39.817089	16.487246	2.7609863
-39.816517	16.076345	2.770752
-39.815674	9.8654108	2.7805176
-39.8139	9.0804043	2.7902832
-39.813145	15.087124	2.8000488
-39.812176	15.850116	2.8098145
-39.81274	16.226332	2.8195801
-39.812092	17.347771	2.8293457
-39.810734	16.572546	2.8391113
-39.809788	13.508879	2.848877
-39.808441	14.241013	2.8586426
-39.807762	16.393072	2.8684082
-39.806858	20.74637	2.8781738
-39.806595	19.831501	2.8879395
-39.8055	16.762434	2.8977051
-39.804661	16.408318	2.9074707
-39.803963	17.243206	2.9172363
-39.802658	19.662031	2.927002
-39.801865	19.264715	2.9367676
-39.800911	22.487684	2.9465332
-39.800541	25.577047	2.9562988
-39.800655	20.738344	2.9660645
-39.799175	21.172348	2.9758301
-39.798042	18.487631	2.9855957
-39.797886	21.431952	2.9953613
-39.797031	27.007645	3.005127
-39.796604	24.504587	3.0148926
-39.794537	26.284678	3.0246582
-39.793564	22.604738	3.0344238
-39.793503	23.967743	3.0441895
-39.792992	24.918596	3.0539551
-39.79015	23.299789	3.0637207
-39.791176	29.701677	3.0734863
-39.789375	31.404066	3.083252
-39.789112	25.549072	3.0930176
-39.789356	24.754286	3.1027832
-39.787491	25.021837	3.1125488
-39.786572	30.564573	3.1223145
-39.7868	30.930431	3.1320801
-39.785782	32.878193	3.1418457
-39.784367	32.814247	3.1516113
