Time,Extension,Load
20.2,0.16829,73.55193
20.3,0.16921,73.7386
20.4,0.16993,73.81196
20.5,0.17071,73.66044
20.6,0.17186,73.78932
20.7,0.17245,73.49669
20.8,0.17325,73.78641
20.9,0.17432,73.90815
21,0.17496,73.48338
21.1,0.17566,73.56422
21.2,0.17676,73.54002
21.3,0.17754,73.55916
21.4,0.17829,73.55024
21.5,0.17922,73.83059
21.6,0.17997,73.65598
21.7,0.18067,73.70241
21.8,0.18185,73.71988
21.9,0.18252,73.4757
22,0.18321,73.59976
22.1,0.18431,73.75231
22.2,0.18501,73.62317
22.3,0.18568,73.78017
22.4,0.1867,73.64078
22.5,0.18758,73.5603
22.6,0.1883,73.59852
22.7,0.18919,73.56729
22.8,0.19002,73.67263
22.9,0.19069,73.68815
23,0.19176,73.79386
23.1,0.19259,73.56593
23.2,0.19323,73.71395
23.3,0.19425,74.12733
23.4,0.19508,73.39906
23.5,0.1957,73.38776
23.6,0.19658,73.41563
23.7,0.19762,73.25239
23.8,0.19832,73.39086
23.9,0.19915,73.11655
24,0.20004,73.75358
24.1,0.20073,73.56583
24.2,0.20164,73.59209
24.3,0.20266,73.35574
24.4,0.20322,73.29062
24.5,0.20416,73.48337
24.6,0.20512,73.48072
24.7,0.20571,73.56353
24.8,0.20652,73.82932
24.9,0.20764,73.57252
25,0.20831,73.82349
25.1,0.20914,73.45694
25.2,0.21005,73.75187
25.3,0.21075,73.82486
25.4,0.21155,73.55156
25.5,0.21271,73.80808
25.6,0.21329,73.43626
25.7,0.2141,73.66192
25.8,0.21514,73.90369
25.9,0.21579,73.7031
26,0.21651,73.68299
26.1,0.21761,73.79839
26.2,0.21836,74.03344
26.3,0.21913,73.64272
26.4,0.22004,73.86917
26.5,0.22079,73.76898
26.6,0.22152,73.59969
26.7,0.2227,73.87078
26.8,0.22337,74.06105
26.9,0.22406,73.96511
27,0.22513,73.74845
27.1,0.22586,74.05435
27.2,0.2265,73.69043
27.3,0.22752,73.84687
27.4,0.2284,74.02319
27.5,0.22912,74.19394
27.6,0.23001,74.06041
27.7,0.23084,73.7906
27.8,0.23151,74.14853
27.9,0.23261,73.89783
28,0.23341,73.76632
28.1,0.23405,73.86308
28.2,0.23507,74.07939
28.3,0.23593,74.02452
28.4,0.23654,73.9193
28.5,0.2374,73.81024
28.6,0.23847,73.65476
28.7,0.23914,73.87071
28.8,0.24,73.69025
28.9,0.24088,73.90541
29,0.24158,73.87631
29.1,0.24246,74.03229
29.2,0.24351,73.59266
29.3,0.24407,73.62248
29.4,0.24498,73.76132
29.5,0.24597,73.95923
29.6,0.24656,73.80869
29.7,0.24734,74.05171
29.8,0.24849,73.90023
29.9,0.24916,73.94159
30,0.24996,73.76512
30.1,0.25087,74.13333
30.2,0.2516,73.8223
30.3,0.25237,74.06771
30.4,0.25353,74.18268
30.5,0.25412,74.21624
30.6,0.25489,73.76002
30.7,0.25599,74.12751
30.8,0.25663,74.17934
30.9,0.2573,73.77377
31,0.25843,74.10651
31.1,0.25921,73.9711
31.2,0.25996,73.74572
31.3,0.26087,74.04595
31.4,0.26164,74.18615
31.5,0.26234,74.10033
31.6,0.26349,74.27349
31.7,0.26419,74.28225
31.8,0.26488,74.41373
31.9,0.26596,74.73479
32,0.26671,74.58308
32.1,0.26735,74.79184
32.2,0.26831,74.83581
32.3,0.26928,75.0496
32.4,0.26995,74.95983
32.5,0.27083,74.75177
32.6,0.27169,75.23809
32.7,0.27236,75.50103
32.8,0.27337,75.27415
32.9,0.27429,74.98193
33,0.2749,75.05859
33.1,0.27584,75.15911
33.2,0.2768,75.29419
33.3,0.27739,75.41138
33.4,0.27822,75.28912
33.5,0.27932,75.09144
33.6,0.27999,75.28972
33.7,0.28079,75.34349
33.8,0.28173,75.20796
33.9,0.2824,74.83781
34,0.28326,75.29191
34.1,0.28436,75.09052
34.2,0.28495,74.98243
34.3,0.28578,75.43073
34.4,0.28682,75.3204
34.5,0.28744,75.0962
34.6,0.28816,75.27096
34.7,0.28931,75.07641
34.8,0.29001,74.90825
34.9,0.29079,74.84723
35,0.29172,75.19
35.1,0.29245,75.16739
35.2,0.2932,75.13922
35.3,0.29437,74.80189
35.4,0.29499,74.7197
35.5,0.29574,75.13826
35.6,0.29684,75.17709
35.7,0.29748,74.57212
35.8,0.29815,75.22755
35.9,0.29925,75.07896
36,0.30005,75.1911
36.1,0.30078,75.05525
36.2,0.30169,74.74343
36.3,0.30249,74.83364
36.4,0.30319,74.7977
36.5,0.30429,74.9558
36.6,0.30504,74.70821
36.7,0.30571,74.86627
36.8,0.30678,74.7234
36.9,0.30755,74.88503
37,0.30817,75.01431
37.1,0.30913,75.04913
37.2,0.3101,75.01251
37.3,0.31079,75.22584
37.4,0.31165,75.15601
37.5,0.31254,75.0248
37.6,0.31321,75.20387
37.7,0.31417,75.40064
37.8,0.31511,75.11184
37.9,0.31572,74.93641
38,0.31666,75.205
38.1,0.31762,75.05849
38.2,0.31821,75.05586
38.3,0.31904,75.12242
38.4,0.32017,74.96328
38.5,0.32081,75.15412
38.6,0.32164,75.12753
38.7,0.32258,75.02313
38.8,0.32322,75.00511
38.9,0.32408,75.12059
39,0.32518,74.95275
39.1,0.32577,74.86931
39.2,0.3266,75.05471
39.3,0.32767,74.93875
39.4,0.32826,75.12491
39.5,0.32901,75.44944
39.6,0.33016,75.11187
39.7,0.33086,74.58706
39.8,0.33161,74.88032
39.9,0.33257,74.88807
40,0.33327,74.93283
40.1,0.33402,75.234
40.2,0.3352,75.68776
40.3,0.33584,75.30598
40.4,0.33656,75.64698
40.5,0.33766,75.41985
40.6,0.3383,75.43216
40.7,0.339,75.59639
40.8,0.3401,75.41692
40.9,0.3409,75.51847
41,0.3416,75.39787
41.1,0.34254,75.69097
41.2,0.34331,75.22198
41.3,0.34401,75.4617
41.4,0.34516,75.48712
41.5,0.34588,75.545
41.6,0.34655,75.23592
41.7,0.34762,75.55422
41.8,0.34835,75.42248
41.9,0.34899,75.35492
42,0.34998,75.41351
42.1,0.35095,75.87531
42.2,0.35162,75.74191
42.3,0.3525,75.66914
42.4,0.35336,75.72671
42.5,0.354,75.40386
42.6,0.35507,75.54877
42.7,0.35593,75.46467
42.8,0.35657,75.7461
42.9,0.35754,75.77405
43,0.35842,75.76368
43.1,0.35904,75.85232
43.2,0.35992,75.68931
43.3,0.36096,76.04602
43.4,0.36163,75.8036
43.5,0.36246,75.80915
43.6,0.3634,75.96517
43.7,0.36404,76.15137
43.8,0.36498,75.94767
43.9,0.366,75.83842
44,0.36659,76.17847
44.1,0.36747,76.05915
44.2,0.36846,75.92533
44.3,0.36908,76.01963
44.4,0.36986,75.73838
44.5,0.37098,75.54134
44.6,0.37165,76.0485
44.7,0.37246,75.89603
44.8,0.37342,76.01618
44.9,0.37409,75.95599
45,0.37489,75.92023
45.1,0.37602,76.15253
45.2,0.37663,75.96614
45.3,0.37741,76.26917
45.4,0.37848,76.26888
45.5,0.37912,76.19282
45.6,0.37985,76.01398
45.7,0.38095,76.03624
45.8,0.3817,76.2809
45.9,0.38245,76.38457
46,0.38341,76.2755
46.1,0.38413,76.25487
46.2,0.38486,76.16799
46.3,0.38604,76.35723
46.4,0.38668,76.46079
46.5,0.38737,76.2533
46.6,0.3885,76.38758
46.7,0.38917,76.0827
46.8,0.38984,76.45129
46.9,0.39088,76.76447
47,0.39174,76.48182
47.1,0.39244,76.72515
47.2,0.39335,76.51285
47.3,0.39418,76.68987
47.4,0.39482,76.22212
47.5,0.39595,76.74629
47.6,0.39672,76.43827
47.7,0.39737,76.67498
47.8,0.39841,76.70518
47.9,0.39921,76.43783
48,0.39986,76.67697
48.1,0.40077,77.01244
48.2,0.40179,77.3869
48.3,0.40246,77.32136
48.4,0.40334,77.90726
48.5,0.40422,78.4478
48.6,0.40487,78.50504
48.7,0.40583,78.44834
48.8,0.40679,78.88792
48.9,0.40738,78.86623
49,0.40835,79.09985
49.1,0.40929,79.15442
49.2,0.40987,79.50279
49.3,0.41073,80.1344
49.4,0.4118,79.88335
49.5,0.41247,80.00552
49.6,0.4133,80.5088
49.7,0.41424,80.52714
49.8,0.41491,80.43257
49.9,0.41574,80.78151
50,0.41687,81.04955
50.1,0.41743,80.98768
50.2,0.41829,81.08368
50.3,0.4193,81.60644
50.4,0.41992,81.60488
50.5,0.42067,81.68459
50.6,0.42179,82.05902
50.7,0.42252,82.26178
50.8,0.42329,82.1905
50.9,0.42423,82.94024
51,0.42496,82.94657
51.1,0.42568,83.37394
51.2,0.42686,84.00382
51.3,0.4275,83.94495
51.4,0.42822,84.38958
51.5,0.42932,84.74637
51.6,0.42999,84.83315
51.7,0.43066,85.0699
51.8,0.43171,85.49571
51.9,0.43256,85.76926
52,0.43329,85.97221
52.1,0.4342,86.33857
52.2,0.435,86.60635
52.3,0.4357,86.79947
52.4,0.43679,87.40685
52.5,0.43757,87.46412
52.6,0.43821,87.44817
52.7,0.43926,88.0832
52.8,0.44004,88.37977
52.9,0.44068,88.55172
53,0.44162,88.401
53.1,0.44263,88.89695
53.2,0.4433,89.05905
53.3,0.44416,88.99059
53.4,0.44504,89.61365
53.5,0.44569,89.75524
53.6,0.44671,89.61287
53.7,0.44762,90.10744
53.8,0.44823,90.3471
53.9,0.4492,90.72028
54,0.45011,91.49599
54.1,0.45072,91.48227
54.2,0.45153,91.90997
54.3,0.45265,91.95915
54.4,0.45332,92.64084
54.5,0.45412,92.1684
54.6,0.45506,92.95411
54.7,0.45573,92.97995
54.8,0.45656,93.50923
54.9,0.45771,93.92835
55,0.45828,93.87263
55.1,0.45911,94.19099
55.2,0.46018,94.35145
55.3,0.46079,94.13295
55.4,0.46149,94.73989
55.5,0.46264,95.17287
55.6,0.46337,94.992
55.7,0.46412,95.52217
55.8,0.46505,95.57736
55.9,0.46578,95.75716
56,0.46653,96.37045
56.1,0.46771,96.51918
56.2,0.46835,96.84469
56.3,0.46904,97.14551
56.4,0.47014,97.3488
56.5,0.47084,97.72114
56.6,0.47148,97.67406
56.7,0.47255,98.14678
56.8,0.47341,98.4485
56.9,0.47411,98.75414
57,0.47499,98.76417
57.1,0.47582,99.41608
57.2,0.47652,99.54979
57.3,0.47759,100.27564
57.4,0.47842,100.43664
57.5,0.47904,100.33394
57.6,0.48008,100.87269
57.7,0.48091,101.12983
57.8,0.48153,101.58962
57.9,0.48241,101.72527
58,0.48346,102.18995
58.1,0.48412,102.56916
58.2,0.48498,102.80439
58.3,0.48589,102.88523
58.4,0.48656,103.58295
58.5,0.48745,103.74142
58.6,0.48852,104.07483
58.7,0.48908,104.05977
58.8,0.48996,103.98906
58.9,0.49098,104.66247
59,0.49157,105.20634
59.1,0.49235,105.68467
59.2,0.49347,105.99906
59.3,0.49417,106.01976
59.4,0.49495,106.03885
59.5,0.49591,106.60714
59.6,0.49658,106.9776
59.7,0.49736,106.58451
59.8,0.49856,107.32829
59.9,0.49912,107.58161
60,0.49993,107.68068
60.1,0.501,108.22229
60.2,0.50164,108.52544
60.3,0.50231,108.62935
60.4,0.50344,108.97508
60.5,0.50421,109.15599
60.6,0.50494,109.57024
60.7,0.50587,109.75541
60.8,0.50665,110.34359
60.9,0.50737,110.47192
61,0.5085,110.74208
61.1,0.5092,111.37612
61.2,0.50987,111.34618
61.3,0.51096,111.97808
61.4,0.51169,111.95508
61.5,0.51233,112.75313
61.6,0.51335,112.86561
61.7,0.51429,112.99045
61.8,0.51496,113.34519
61.9,0.51584,113.74257
62,0.5167,114.1896
62.1,0.51737,114.23666
62.2,0.51838,114.8606
62.3,0.51927,115.43373
62.4,0.51988,115.55844
62.5,0.52087,115.82717
62.6,0.52176,116.61956
62.7,0.52235,116.85926
62.8,0.52323,117.2913
62.9,0.52433,117.88346
63,0.52497,118.24379
63.1,0.5258,118.63506
63.2,0.52671,119.51211
63.3,0.52738,119.733
63.4,0.52827,120.38255
63.5,0.52934,120.97694
63.6,0.5299,121.23338
63.7,0.53081,121.8932
63.8,0.53183,122.43809
63.9,0.53239,123.216
64,0.53317,123.36618
64.10001,0.53435,123.90013
64.2,0.53499,124.75632
64.3,0.53579,125.22377
64.4,0.53673,125.73246
64.5,0.53743,126.46446
64.60001,0.53821,126.64406
64.7,0.53936,127.72069
64.8,0.53997,127.95737
64.9,0.54075,128.44005
65,0.54185,129.22783
65.10001,0.54246,129.58604
65.2,0.54319,130.28993
65.3,0.54426,130.84174
65.4,0.54506,131.37057
65.5,0.54579,131.86641
65.60001,0.5467,132.63247
65.70001,0.54747,133.25685
65.8,0.54817,133.46835
65.9,0.54937,134.34358
66,0.55002,134.90573
66.10001,0.55071,135.67903
66.20001,0.55181,136.32341
66.3,0.55251,136.67939
66.4,0.55318,137.16579
66.5,0.5542,137.54354
66.60001,0.55511,138.47277
66.70001,0.55578,138.96816
66.8,0.55669,139.70479
66.9,0.55752,140.55863
67,0.55819,140.70177
67.10001,0.55926,141.23984
67.20001,0.56009,142.35226
67.3,0.56071,142.59424
67.4,0.56175,143.11888
67.5,0.56255,143.85059
67.60001,0.56317,144.77277
67.70001,0.56408,144.95132
67.8,0.56512,145.75166
67.9,0.56579,146.33075
68,0.56665,146.81902
68.10001,0.56756,147.4624
68.20001,0.56821,147.96399
68.3,0.56914,148.55696
68.4,0.57013,149.32493
68.5,0.57075,150.06897
68.60001,0.57163,150.67745
68.70001,0.57262,151.08751
68.8,0.57321,151.34462
68.9,0.57402,152.01501
69,0.57517,152.83842
69.10001,0.57581,153.80976
69.20001,0.57664,154.24618
69.3,0.57758,154.6667
69.4,0.57822,155.47751
69.5,0.57908,155.7441
69.60001,0.58021,156.76916
69.70001,0.58077,157.23552
69.8,0.5816,158.04488
69.9,0.58264,158.44579
70,0.58326,159.32021
70.10001,0.58401,159.45537
70.20001,0.58513,160.68993
70.3,0.58586,160.93289
70.4,0.58661,161.79248
70.5,0.58757,162.28172
70.60001,0.58827,162.72531
70.70001,0.58904,163.37833
70.8,0.5902,163.81172
70.9,0.59081,164.66898
71,0.59156,165.09164
71.10001,0.59266,165.51223
71.20001,0.5933,166.27756
71.3,0.594,167.10004
71.4,0.59507,167.47667
71.5,0.5959,168.54093
71.60001,0.59662,168.72226
71.70001,0.59754,169.34292
71.8,0.59831,169.72064
71.9,0.59901,170.32945
72,0.60016,171.01369
72.10001,0.60088,171.95002
72.20001,0.60155,172.32525
72.3,0.60262,172.9033
72.4,0.60337,173.55804
72.5,0.60402,173.90288
72.60001,0.60498,174.70277
72.70001,0.60595,175.40301
72.8,0.60662,175.82728
72.9,0.6075,176.58777
73,0.60836,176.99937
73.10001,0.609,177.92757
73.20001,0.61004,178.37081
73.3,0.61096,178.93291
73.4,0.61154,179.42498
73.5,0.61254,179.83131
73.60001,0.61345,180.47716
73.70001,0.61404,180.98454
73.8,0.61489,181.5764
73.9,0.61599,182.39794
74,0.61663,182.92204
74.10001,0.61749,183.51807
74.20001,0.6184,184.00217
74.3,0.61907,184.73796
74.4,0.61993,185.35452
74.5,0.62103,185.95136
74.60001,0.62156,186.2199
74.70001,0.6225,186.84168
74.8,0.62349,187.83764
74.9,0.62408,188.2378
75,0.62486,188.96419
75.10001,0.62596,189.53283
75.20001,0.62668,190.23025
75.3,0.62746,190.74504
75.4,0.62839,191.38518
75.5,0.62909,192.04242
75.60001,0.62987,192.43532
75.70001,0.63104,193.44613
75.8,0.63161,193.85088
75.9,0.63244,194.55564
76,0.63348,195.41041
76.10001,0.63412,195.8689
76.20001,0.63482,196.29479
76.3,0.63595,196.86213
76.4,0.6367,197.88465
76.5,0.63745,198.25643
76.60001,0.63838,198.62149
76.70001,0.63916,199.53887
76.8,0.63983,199.81985
76.9,0.64101,200.78672
77,0.64171,201.13308
77.10001,0.6424,201.77669
77.20001,0.64345,202.52103
77.3,0.6442,202.86513
77.4,0.64484,203.3507
77.5,0.64583,204.0117
77.60001,0.64677,204.87604
77.70001,0.64746,205.16198
77.8,0.64835,205.70674
77.9,0.64918,206.57473
78,0.64987,206.81995
78.10001,0.65089,207.622
78.20001,0.65178,208.04822
78.3,0.65237,208.97107
78.4,0.65338,209.50455
78.5,0.65427,210.24486
78.60001,0.65486,210.80244
78.70001,0.65571,211.26163
78.8,0.65681,212.22034
78.9,0.65748,212.50807
79,0.65831,213.18572
79.10001,0.65922,213.42142
79.20001,0.65989,214.14252
79.3,0.66078,214.41276
79.4,0.66185,215.75559
79.5,0.66241,215.97794
79.60001,0.66329,216.50007
79.70001,0.66431,217.29409
79.8,0.6649,217.83253
79.9,0.66565,218.3734
80,0.66683,219.04993
80.10001,0.6675,220.08447
80.20001,0.6683,220.28629
80.3,0.66921,221.07589
80.4,0.66994,221.73633
80.50001,0.67069,222.08174
80.60001,0.67189,222.94284
80.70001,0.67248,223.68003
80.8,0.67323,224.17358
80.9,0.67433,224.71431
81.00001,0.67497,225.23401
81.10001,0.67567,225.71483
81.20001,0.67677,226.42044
81.3,0.67754,227.39696
81.4,0.67827,227.45046
81.50001,0.67918,228.30341
81.60001,0.67998,228.89802
81.70001,0.68068,229.06982
81.8,0.6818,229.94899
81.9,0.68255,230.65202
82.00001,0.68322,231.01945
82.10001,0.68427,231.66756
82.20001,0.68507,232.29886
82.3,0.68569,232.7156
82.4,0.68662,233.51051
82.50001,0.68762,234.16255
82.60001,0.68829,234.70495
82.70001,0.68917,235.25755
82.8,0.69003,235.85078
82.9,0.6907,236.49454
83.00001,0.69169,236.96723
83.10001,0.69262,237.82642
83.20001,0.69321,237.95911
83.3,0.69418,238.94827
83.4,0.69512,239.61107
83.50001,0.69571,239.8608
83.60001,0.69654,240.65701
83.70001,0.69766,241.57041
83.8,0.6983,242.13889
83.9,0.69913,242.71903
84.00001,0.70004,243.04069
84.10001,0.70074,243.72963
84.20001,0.70157,244.34268
84.3,0.70272,245.36494
84.4,0.70329,245.6418
84.50001,0.70409,246.23016
84.60001,0.70519,247.06346
84.70001,0.70578,247.60102
84.8,0.7065,248.39304
84.9,0.70762,248.86751
85.00001,0.70835,249.32045
85.10001,0.70912,249.70081
85.20001,0.71006,250.6424
85.3,0.71079,250.70049
85.4,0.71151,251.64883
85.50001,0.71271,252.12863
85.60001,0.71333,252.81445
85.70001,0.71405,253.36915
85.8,0.71518,253.84272
85.9,0.71582,254.68147
86.00001,0.71646,255.2042
86.10001,0.71756,255.61803
86.20001,0.71842,256.37071
86.3,0.71912,257.01844
86.4,0.72003,257.26811
86.50001,0.72083,258.19531
86.60001,0.72153,258.56369
86.70001,0.7226,259.24481
86.8,0.7234,259.57038
86.9,0.72404,260.13602
87.00001,0.72509,260.95384
87.10001,0.72592,261.67401
87.20001,0.72651,262.12581
87.3,0.72742,262.46177
87.4,0.72846,263.30168
87.50001,0.72913,263.8357
87.60001,0.72999,264.4235
87.70001,0.73087,265.09468
87.8,0.73154,265.51785
87.9,0.73248,266.16775
88.00001,0.73347,267.03109
88.10001,0.73406,267.19586
88.20001,0.735,267.8202
88.3,0.73596,268.65127
88.4,0.73655,269.0136
88.50001,0.73736,269.58829
88.60001,0.73851,270.33961
88.70001,0.73915,270.9857
88.8,0.73996,271.34095
88.9,0.74089,271.92801
89.00001,0.74159,272.92434
89.10001,0.74239,273.10988
89.20001,0.74352,274.50738
89.3,0.74411,274.55124
89.4,0.74491,275.21858
89.50001,0.74601,275.65097
89.60001,0.7466,276.53719
89.70001,0.74729,276.90174
89.8,0.74847,277.42411
89.9,0.7492,278.32957
90.00001,0.74997,278.8533
90.10001,0.75091,279.78355
90.20001,0.75161,279.85391
90.3,0.75236,280.54111
90.4,0.75351,281.17853
90.50001,0.75415,281.91467
90.60001,0.75487,282.1218
90.70001,0.75597,283.01624
90.8,0.75667,283.89932
90.9,0.75734,284.14535
91.00001,0.75838,284.58247
91.10001,0.75927,285.7581
91.20001,0.75996,285.93962
91.3,0.76085,286.5375
91.4,0.76165,287.06861
91.50001,0.76235,287.4282
91.60001,0.76347,288.46592
91.70001,0.76422,288.82502
91.8,0.76489,289.12355
91.9,0.76594,289.96849
92.00001,0.76671,290.79276
92.10001,0.76733,290.91765
92.20001,0.76829,291.51819
92.3,0.76929,292.60577
92.4,0.76996,292.78584
92.50001,0.77084,293.35967
92.60001,0.7717,294.31533
92.70001,0.77237,294.84809
92.8,0.77336,295.49859
92.9,0.77429,295.83729
93.00001,0.77491,296.68414
93.10001,0.77585,297.17588
93.20001,0.77679,297.70024
93.3,0.77737,298.08641
93.4,0.7782,298.59624
93.50001,0.77933,299.73038
93.60001,0.77997,300.13514
93.70001,0.78083,300.56078
93.8,0.78171,301.29878
93.9,0.78241,301.84349
94.00001,0.78327,302.20563
94.10001,0.78434,302.62494
94.20001,0.78493,303.6726
94.3,0.78576,303.9358
94.4,0.78683,304.52325
94.50001,0.78739,305.20686
94.60001,0.78817,305.58505
94.70001,0.78932,306.43332
94.8,0.78999,306.65819
94.9,0.79079,307.1923
95.00001,0.79173,308.25655
95.10001,0.79243,308.4301
95.20001,0.7932,309.08005
95.3,0.79438,309.94441
95.4,0.79497,310.56229
95.50001,0.79572,310.6931
95.60001,0.79682,311.96272
95.70001,0.79746,312.18266
95.8,0.79816,312.68829
95.9,0.79923,313.54504
96.00001,0.80004,314.22193
96.10001,0.80079,314.203
96.20001,0.80172,315.23891
96.3,0.80247,315.74289
96.4,0.8032,316.27528
96.50001,0.80432,316.97373
96.60001,0.80502,317.6562
96.70001,0.80571,317.94054
96.8,0.80681,318.73176
96.9,0.80751,319.52972
97.00001,0.80818,319.67219
97.10001,0.80917,320.45329
97.20001,0.81008,321.28023
97.3,0.8108,321.55369
97.4,0.81169,322.57377
97.50001,0.81252,323.19345
97.60001,0.81319,323.47133
97.70001,0.81426,323.83956
97.8,0.81509,325.17628
97.9,0.8157,325.22774
98.00001,0.81675,325.97908
98.10001,0.81758,326.55168
98.20001,0.8182,326.91928
98.3,0.81908,327.64575
98.4,0.82015,328.25577
98.50001,0.82082,328.82977
98.60001,0.82165,329.51105
98.70001,0.82256,329.66819
98.8,0.8232,330.53537
98.9,0.82417,330.80385
99.00001,0.82516,331.59554
99.10001,0.82572,332.07873
99.20001,0.82666,332.69885
99.3,0.82762,333.4817
99.4,0.82821,333.8302
99.50001,0.82902,334.3516
99.60001,0.83017,335.1843
99.70001,0.83081,335.5518
99.8,0.83164,335.78137
