MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.120179	-12.384857	1.7631836
10.121652	-10.199369	1.7729492
10.12226	-13.772101	1.7827148
10.12256	-16.872789	1.7924805
10.124093	-16.442453	1.8022461
10.124123	-17.383245	1.8120117
10.124516	-11.180969	1.8217773
10.125534	-8.7673216	1.831543
10.125995	-8.5709467	1.8413086
10.127278	-8.8041506	1.8510742
10.128282	-16.566973	1.8608398
10.127407	-14.729568	1.8706055
10.129571	-9.0751686	1.8803711
10.1295	-5.9741387	1.8901367
10.131519	-5.6326118	1.8999023
10.131921	-9.5916319	1.909668
10.132568	-9.8116112	1.9194336
10.133888	-10.570352	1.9291992
10.136056	-9.1332178	1.9389648
10.135313	-6.1039824	1.9487305
10.135914	-3.4047973	1.9584961
10.136941	-3.5267594	1.9682617
10.138452	-6.9432573	1.9780273
10.139244	-9.5765419	1.987793
10.139311	-7.0671148	1.9975586
10.140278	-4.5004978	2.0073242
10.142183	-1.6823024	2.0170898
10.141547	-2.5170622	2.0268555
10.1434	-3.2948079	2.0366211
10.143622	-2.5103097	2.0463867
10.143688	-4.5274873	2.0561523
10.1463	-6.0933666	2.065918
10.146158	0.1843079	2.0756836
10.147529	5.4766235	2.0854492
10.147003	1.7875855	2.0952148
10.14931	1.2843683	2.1049805
10.14991	-3.1533647	2.1147461
10.150826	0.37213925	2.1245117
10.150876	2.2753193	2.1342773
10.152338	2.5053756	2.144043
10.152622	6.1180735	2.1538086
10.152933	4.1646628	2.1635742
10.153864	3.1297677	2.1733398
10.154607	-0.57777822	2.1831055
10.156299	0.89037395	2.1928711
10.156374	9.2408628	2.2026367
10.157283	9.9247866	2.2124023
10.15844	8.6976986	2.222168
10.159118	5.7657862	2.2319336
10.160261	2.8504753	2.2416992
10.160243	6.7697558	2.2514648
10.161273	6.4044089	2.2612305
10.162591	11.803213	2.2709961
10.163126	15.405736	2.2807617
10.164859	10.148462	2.2905273
10.165032	5.9075089	2.300293
10.166033	6.1805043	2.3100586
10.166615	9.6459389	2.3198242
10.167095	17.505928	2.3295898
10.168275	17.091791	2.3393555
10.169162	14.149241	2.3491211
10.168863	11.652739	2.3588867
10.170085	11.007188	2.3686523
10.171332	9.9258728	2.378418
10.172318	17.129665	2.3881836
10.172343	20.129913	2.3979492
10.174265	20.91507	2.4077148
10.174005	14.563856	2.4174805
10.174924	10.423601	2.4272461
10.176088	12.755544	2.4370117
10.177984	19.963194	2.4467773
